,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,A A Gill,Fri 25 Aug 2006,Captain Slaughterboard Drops Anchor - Mervyn Peake,My children's pillows,Incidental song from Jules and Jim,Blow the Wind Southerly,Out Of Time,Cool For Cats,Common People,99 Luftballoons,Turn! Turn! Turn! (To Everything There is a Season),Love Song from Sanders of the River,Jeanne Moreau,[traditional] & Kathleen Ferrier,Chris Farlowe,Squeeze,Pulp,Nena,The Byrds,Paul Robeson,Jules et Jim soundtrack. ,Your Hundred Best Tunes: Volume 4. ,Out of Time: The Best of Chris Farlowe. ,Greatest Hits. ,Common People. ,Nena. ,The Collection. ,Big Fella. ,"
Sue Lawley's castaway is columnist A A Gill.

Show more

", ,26b42bdb-2521-4fe3-bf5f-3a1b5b710837,9be7f096-97ec-4615-8957-8d40b5dcbc41,6bb0bcaa-f96f-4c1a-b51d-c766db2af8ae,0509a681-a362-4800-9075-656041dccdbd,76b2e842-5e85-4c97-ab62-d5bc315595b5,c954d136-c7fd-4fd9-8bb0-fb0491fc6a02,2819834e-4e08-47b0-a2c4-b7672318e8f0,bbc5febe-0321-4bb2-adcd-8dafbf8d8841, ,0,"https://www.bbc.co.uk/programmes/p0093v5l
"
0,A E Matthews,Wed 15 Aug 1951,,,A Room with a View,British Guards March Medley,The Merry Widow,Medley/The Honeysuckle and The Bee,Monckton Melodies,The Jewel Of Asia,The Invincible Eagle,When We Are Married,Noël Coward,Unknown,Franz Lehár,Ellaline Terriss & Seymour Hicks,BBC Theatre Orchestra,Marie Tempest,The Band of the Coldstream Guards,Albert Sandler Trio,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor A E Matthews.
", ,6aa4bb26-36f8-4a96-8328-4810a4e9a617,125ec42a-7229-4250-afc5-e057484327fe,8efca5f7-663e-4a2e-a2f0-9fd1e563a801,,,,c7cdb399-a9f6-45b7-9602-b9515723813d,, ,0,"https://www.bbc.co.uk/programmes/p009ycmx
"
0,A G Street,Mon 17 Dec 1962,Ladies Whose Bright Eyes - Ford Madox Ford,Painting of the south Wiltshire countryside,Dawn Chorus,Lycidas,Drinking,"Melody in F major, Op. 3/1",Hounds in Full Cry (The Hunt),Hey Ho! The Wind and the Rain,Piano Sonata No 14 in C sharp minor Op 27 No 2 'Moonlight',Nights of Gladness,None,John Milton,Malcolm McEachern,Arthur Rubinstein,Michael Berry,Shakespeare/Quilter,Ludwig van Beethoven,Blue Hungarian Band,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer and farmer A G Street.
Favourite track: Hounds in Full Cry (The Hunt) by Michael BerryBook: Ladies Whose Bright Eyes by Ford Madox FordLuxury: Painting of the south Wiltshire countryside
", ,,,62077bfc-cca5-4800-bbbf-bdf24efcfe7c,7cc89d05-3db5-4d08-bea0-9c328aa56c39,c03bcf52-1e36-4568-8042-4202204ea8fc,,1f9df192-a621-4f54-8850-2c5373b7eac9,, ,0,"https://www.bbc.co.uk/programmes/p009y5pl
"
0,A L Rowse,Mon 15 Aug 1977,A La Recherche Du Temps Perdu - Marcel Proust,"G. Seurat, Sunday On The Island Of La Grande Jat","Brandenburg Concerto No 5 in D major, BWV 1050",Agnus Dei,L'invitation au voyage,"Piano Sonata No 10 in G major, Op 14 No 2 (feat. Igor Levit)",Polonaise from Eugene Onegin,"Cello Concerto in E minor, Op 85 (feat. BBC Scottish Symphony Orchestra)",Death By Water,"This Was Their Finest Hour (speech, 18 June 1940)","Johann Sebastian Bach, Lars Ulrik Mortensen & Ensemble 415","Christ Church Cathedral Choir, Oxford",Maggie Teyte,Ludwig van Beethoven & Igor Levit,Pyotr Ilyich Tchaikovsky,Sir Edward Elgar & BBC Scottish Symphony Orchestra,T. S. Eliot,Winston Churchill,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is biographer A L Rowse.
Favourite track: Agnus Dei by Christ Church Cathederal, OxfordBook: A La Recherche Du Temps Perdu by Marcel ProustLuxury: G. Seurat, Sunday On The Island Of La Grande Jat
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,8a028c5e-2c8e-434c-901e-74edada31080,5c0ac816-fb89-4102-aedd-493344c28f33,1f9df192-a621-4f54-8850-2c5373b7eac9,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,4e60a56a-514a-4a19-a3cc-49927c96b3cb,ae90c453-e8ed-4fb7-9d27-35b81fd0fdac,e9fb8bad-ec0e-4cf1-aa82-a7e04a34b278, ,0,"https://www.bbc.co.uk/programmes/p009mzfj
"
0,A N Wilson,Fri 6 May 1983,The Golden Treasury - Francis Palgrave,Bed and blankets,A nightingale sang in Berkeley Square,"Impromptu in A flat major, D 899 No 4 (feat. Maria João Pires)",Eternal Father Strong To Save,Duo for Violin and Viola No. 6 in C major - Minuet,Se tradirmi tu potrai (from Lucia di Lammermoor),Comus,The Winged Horse,"The Dream of Gerontius - Proficiscere, anima Christiana",Barbara Cartland,Franz Schubert & Maria João Pires,The Royal Navy College Chapel Choir,Joseph Haydn,Gaetano Donizetti,Henry Lawes,Hilaire Belloc,Edward Elgar,None,None,None,Duo No 6 Haydn. ,Lucia Di Lammermoor Act 2. ,None,None,None,"
Roy Plomley's castaway is writer A N Wilson.
Favourite track: Profisciere Anima Christiana by Edward ElgarBook: The Golden Treasury by Francis PalgraveLuxury: Bed and blankets
", ,de92bfdc-a3ab-4898-975a-ac6210abc020,f91e3a88-24ee-4563-8963-fab73d2765ed,,c130b0fb-5dce-449d-9f40-1437f889f7fe,b8ecf204-6be8-4041-ab11-6d9971ea2711,650f35f9-34be-457a-94c2-c5218688ba73,47e90c13-ce5f-47d7-99e1-887c05f35f3f,4e60a56a-514a-4a19-a3cc-49927c96b3cb, ,0,"https://www.bbc.co.uk/programmes/p009mjpg
"
0,A S Byatt,Fri 10 Jan 1992,A La Recherche Du Temps Perdu - Marcel Proust,Large filing cabinet full of A4 paper & pens,He shall feed his flocks (Messiah),"Clarinet Concerto in A major, K 622",Care-Charming Sleep,The Idea Of Order At Key West,Dies Irae (from Requiem),When that I was and a little tiny boy (from Twelfth Night),Jetzt fand ich's (from Das Rheingold),"Zwielicht  (from Liederkreis, Op. 39)",George Frideric Handel,Wolfgang Amadeus Mozart,Alfred Deller,Wallace Stevens,Giuseppe Verdi,William Shakespeare,Richard Wagner,Robert Schumann,Messiah. ,Concerto in A Major For Clarinet and Orchestra. ,English Lute Songs. ,The Caedoon Treasury Of Modern Poets Reading Poems. ,Requiem 4 Sacred Pieces. ,Wordsongs. ,None,Liederkreis Opus 39. ,"
Sue Lawley's castaway is novelist A S Byatt.

Show more

", ,27870d47-bb98-42d1-bf2b-c7e972e6befc,b972f589-fb0e-474e-b64a-803b0364fa75,113a1384-1d7d-4e70-86e6-a5fc0da0c1b0,1975f7c4-0ea4-4f9d-8f9d-95e52eac4995,f1bedf1f-4445-4651-9c35-f4a3f3860a13,a4ba11db-ae2b-4ec3-9084-2136db11acfa,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,3cd3882c-00f8-4362-a0c2-ad89ed248533, ,0,"https://www.bbc.co.uk/programmes/p0093z2k
"
0,Aaron Copland,Mon 15 Dec 1958,,,"Chorale Prelude: Liebster jesu, wir sind hier",When I am laid in earth (Dido's Lament) (from Dido and Aeneas),"Les collines d'Anacapri (from Preludes, Book 1)",33 Variations on a Waltz by Diabelli - Variation No. 24,Flight into Egypt (from The Childhood of Christ),Symphony of Psalms – first movement,Five Orchestral Pieces - No. 1,"Symphony No 3 in C major, Op 52",Johann Sebastian Bach,Henry Purcell,Claude Debussy,Ludwig van Beethoven,Hector Berlioz,Igor Stravinsky,Arnold Schoenberg,Aaron Copland,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is composer Aaron Copland.
Favourite track: Liebster Jesu, wir sind Hier by Johann Sebastian BachLuxury: Chess set
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,ddea5540-2c7d-4266-8507-b367c2635d35,be50643c-0377-4968-b48c-47e06b2e2a3b,1f9df192-a621-4f54-8850-2c5373b7eac9,274774a7-1cde-486a-bc3d-375ec54d552d,c278de2c-9696-4fdf-a919-0781cd945e2c,9b490b96-ad82-4d7b-9055-f0a196ad64cc,aad3af83-5b59-4b86-a569-1a8409149b09, ,0,"https://www.bbc.co.uk/programmes/p009y7zl
"
0,Abi Morgan,Fri 11 May 2018,BOOK CHOICE,LUXURY ITEM,Chelsea Morning,Sorry,Ballad of Barry and Freda,"Si, mi chiamano Mimi",Being Alive,Goldberg Variations - Aria,Hoppipolla,Over The Rainbow,Joni Mitchell,Beyoncé,Victoria Wood,"Giacomo Puccini, Kiri Te Kanawa, Richard Leech & London Symphony Orchestra",Adrian Lester & 1996 London Cast,Johann Sebastian Bach & Glenn Gould,Sigur Rós,Israel Kamakawiwoʻole,Clouds. ,Lemonade. ,Victoria Wood Live. ,Best of Kiri Te Kanawa. ,Company - 1996 London Cast Recording. ,Johann Sebastian Bach - Goldberg Variations. ,Takk. ,Somewhere Over The Rainbow. ,"
Abi Morgan, stage and screenwriter, is interviewed by Kirsty Young.

Show more

", ,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,859d0860-d480-4efd-970c-c05d5f1776b8,d488fc33-69ac-40ed-a442-605740006d6c,a693df4a-8762-4a45-b7fd-6695b558385e,,24f1766e-9635-4d58-a4d4-9413f9f98a4c,f6f2326f-6b25-4170-b89d-e235b25508e8,e7ae37b1-624f-47b9-bf4f-53b52ef19528, ,0,"https://www.bbc.co.uk/programmes/b0b1pjs9
"
0,AC Grayling,Fri 15 Aug 2008,The Man Without Qualities - Robert Musil,A good piano,Violin Concerto in D major - 3rd movement,Träumerei (from Scenes from Childhood),Days,Symphony No. 4 in B flat major - 1st movement,Nunc Dimittis,Cello Concerto No. 1 in A minor - 1st movement,Nocturne in E flat major,Un bel dì vedremo ('One fine day') from Madame Butterfly Act 2,Johannes Brahms,Robert Schumann,The Kinks,Ludwig van Beethoven,"The Choir of Magdalen College, Oxford",Camille Saint‐Saëns,Frédéric Chopin,Giacomo Puccini,Great Violin Concertos. ,Horowitz in Moscow. ,The Kinks: The Ultimate Collection. ,Wilhelm Furtwangler. ,Music for Evensong. ,Mstislav Rostropovich Cello Concertos/Encores. ,Chopin Favourites: Vladimir Ashkenazy. ,Opera Scenes and Arias. ,"
Kirsty Young's castaway is academic and philosopher A C Grayling.

Show more

", ,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,3cd3882c-00f8-4362-a0c2-ad89ed248533,17b53d9f-5c63-4a09-a593-dde4608e0db9,1f9df192-a621-4f54-8850-2c5373b7eac9,c2cdba48-9603-4ac8-af3d-7552d1b2a88f,4137c070-15b2-4d00-a9f0-3517d02a9ba8,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,a693df4a-8762-4a45-b7fd-6695b558385e, ,0,"https://www.bbc.co.uk/programmes/b00cx1ds
"
0,Acker Bilk,Mon 10 Dec 1962,The Wind in the Willows - Kenneth Grahame,Apple seeds,Burgundy Street Blues,Diminuendo and Crescendo in Blue (Live At Newport 1956),Doctor Jazz Stomp,Papa Dip,You Made Me Love You,Singin' the Blues,I Know it was the Lord,Stompin' at the Savoy,George Lewis' Ragtime Band,Duke Ellington & His Orchestra,Jelly Roll Morton’s Red Hot Peppers,New Orleans Wanderers,Edmond Hall & Lopez Furst,Bix Beiderbecke,The Famous Ward Singers,Benny Goodman,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is jazz clarinettist Acker Bilk.
Favourite track: Papa Dip by New Orleans WanderersBook: The Wind in the Willows by Kenneth GrahameLuxury: Apple seeds
", ,6c735b48-e1ba-43c0-82c9-aaae135e020e,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f,52e9e9d5-348e-4e25-a9ee-90daf87f9f1d,a47d679b-cf89-4442-8d10-52eb81d9c499,d0025855-ed85-40c1-8584-fa0171862ca2,32286190-da0f-4a85-b3d6-09a84d7e2bbc,4b203a19-3773-4cdd-944e-0c029c638bcc,b09ae88f-4156-4caa-b129-1cacb5e1632e, ,0,"https://www.bbc.co.uk/programmes/p009y5pt
"
