,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,B C Hilliam,Mon 3 Aug 1959,The Gilbert & Sullivan Book - Leslie Baily,Whisky,Incidental Music to Mary Rose,The Typewriter (feat. Leroy Anderson),"To the Children, Op. 26/7",The Headless Horsemen,"None but the lonely heart, Op. 6. No. 6",Piano Sonata No. 1 in  C major - 4th movement,Serenade to a Beautiful Day,Changing Of The Guard,O'Neill,Leroy Anderson & Frederick Fennell,Sergei Rachmaninov,Ron Goodwin and His Concert Orchestra,Pyotr Ilyich Tchaikovsky,Carl Maria von Weber,Gladys Ripley,Malcolm McEachern,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is pianist B C Hilliam.
Book: The Gilbert & Sullivan Book by Leslie BailyLuxury: Whisky
", ,0358ba98-0189-46be-b322-1f970df39dfd,a0fc8f79-fa55-406d-8a5e-b1ed237c1b70,44b16e44-da77-4580-b851-0d765904573e,5fc85fb0-42d5-42e5-a9bd-b2b1f2f47deb,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,c2d17829-1424-435b-9386-c77d3a920abe,410b6767-d027-4e78-a87e-a594de7b0292,62077bfc-cca5-4800-bbbf-bdf24efcfe7c, ,0,"https://www.bbc.co.uk/programmes/p009y7px
"
0,Baaba Maal,Fri 20 Mar 2009,Coups de Pilon - David Diop,Guitar,Boulmamine,Lion,Amen,Ame,Noir C'est Noir,Senegal-Mauritanie,So What,One Love / People Get Ready,"Orchestra Baobab, Ndiouga Dieng",Burning Spear,Otis Redding,Bébé Manga,Johnny Hallyday,Kaouding Cissoko,Miles Davis,Bob Marley & The Wailers,Orchestra Baobab: Bamba. ,Burning Spear: Reggae Greats. ,Otis Redding Story. ,Golden Afrique Vol.1. ,Johnny Hallyday: No. 9. ,Kora Revolution. ,Kind Of Blue. ,Legend: The Best of Bob Marley and the Wailers. ,"
Kirsty Young's castaway is musician Baaba Maal.

Show more

", ,,16dad944-c492-43dd-88ed-e0b7ac520c40,82b1f5fd-cd31-41a9-b5d4-7e33f0eb9751,d290ca9b-4a12-4dae-96c7-863356a93f26,323ed974-8bf6-4f54-9525-b774a659f805,4004b763-3321-489b-add0-5b576245bb63,561d854a-6a28-4aa7-8c99-323e6ce46c2a,c296e10c-110a-4103-9e77-47bfebb7fb2e, ,0,"https://www.bbc.co.uk/programmes/b00j26xw
"
0,Bamber Gascoigne,Fri 6 Nov 1987,Tristram Shandy - Laurence Sterne,Carpentry tools,Make Me A Pallet On The Floor,May We Entertain You,Soave sia il vento (Così fan tutte),Ah! verranno a te (from Lucia di Lammermoor,Absence (from Nuits d'Ete),Dite alla giovine (from La traviata),Button up your Overcoat,Turandot,Ottilie Patterson,Karen Moore,"Bryn Terfel, Wolfgang Amadeus Mozart, Sir Charles Mackerras, Christine Rice, Scottish Chamber Orchestra & Miah Persson",Gaetano Donizetti,Hector Berlioz,Giuseppe Verdi,Ray Henderson & Ruth Etting,Giacomo Puccini,None,None,None,None,None,None,None,None,"
Michael Parkinson's castaway is broadcaster and writer Bamber Gascoigne.

Show more

", ,e73ea182-6756-438d-be5c-7e6b8424b1b3,,b972f589-fb0e-474e-b64a-803b0364fa75,b8ecf204-6be8-4041-ab11-6d9971ea2711,274774a7-1cde-486a-bc3d-375ec54d552d,f1bedf1f-4445-4651-9c35-f4a3f3860a13,3cfcefad-c713-4214-b40e-1b7fe49ce36d,a693df4a-8762-4a45-b7fd-6695b558385e, ,0,"https://www.bbc.co.uk/programmes/p009ml76
"
0,Barbara Cartland,Mon 13 Jul 1970,The Knave of Hearts - Louise Saunders,Make-up box,April in Paris,Say A Prayer For Me Tonight,Harrow School Song,I'm In Love,Climb Every Mountain,Keep Young and Beautiful,If You Are But A Dream,If I Ruled The World,Frank Sinatra,Leslie Caron,West End Cast,Mrs Gerald Legge,Sammy Davis Jr.,Roy Fox and His Orchestra,Frank Sinatra,Harry Secombe,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is novelist Barbara Cartland.
Favourite track: April In Paris by Frank SinatraBook: The Knave of Hearts by Louise SaundersLuxury: Make-up box
", ,197450cd-0124-4164-b723-3c22dd16494d,87d1cab5-70f4-412b-814b-033a55b3d8d9,,,4bc9e8c3-7eae-454f-a56c-bccf96f3926b,4e953fe1-0e42-40d2-99f3-c209cab82a40,197450cd-0124-4164-b723-3c22dd16494d,adcfccd9-30fa-449b-a4bb-4c1e3312912c, ,0,"https://www.bbc.co.uk/programmes/p009nf4d
"
0,Barbara Dickson,Fri 22 Dec 1995,English & Scottish Ballads - Francis Child,A very large set of solar-powered hair rollers,The Deadwood Stage,Fantasia on a theme by Thomas Tallis,Come All Ye Tramps And Hawkers,Rock 'n' Roll Doctor,Don't Let Me Be Lonely Tonight,My Boomerang Won't Come Back,Dixie Flyer,The Irish Rover,Doris Day,"Britten Sinfonia, Ralph Vaughan Williams & Nicholas Cleobury",Jimmy MacBeath,Little Feat,James Taylor,Charlie Drake,Randy Newman,The Pogues & The Dubliners,The Doris Day Hit Singles Collection. ,Butterworth. ,World Library Of Folk And Primitive Music. ,Feat Don't Fail Me Now. ,James Taylor Live. ,Hello Children Everywhere Vol 3. ,Land Of Dreams. ,The Best Of The Pogues. ,"
Sue Lawley's castaway is singer Barbara Dickson.

Show more

", ,3db5dfb1-1b91-4038-8268-ae04d15b6a3e,4f3b96ed-f1f1-4a68-be73-0e0657837096,d1d8128a-d0f4-4bb9-8c48-ed2db78d3e36,9b106beb-12b5-4525-8025-42e295a2b90a,107d0c22-d051-4d98-8206-4e14de02132a,adebd47c-c1c7-4b2d-b1ce-105005f3fdb1,da7bb7d8-557d-4635-9ca1-e6e985525bd5,d41a6875-b626-4c0f-89a1-aecb643d29ff, ,0,"https://www.bbc.co.uk/programmes/p0093p1c
"
0,Barbara Hulanicki,Fri 13 Dec 2013,Thesaurus - Roget,Sketch book,Baby Love,Begin The Beguine,Polonaise,Such A Night,La vie en rose,The Girl from Ipanema,One Love / People Get Ready,Walk On The Wild Side,The Supremes,Artie Shaw,"Czech Philharmonic Orchestra, Fryderyk Chopin, Vladimir Ashkenazy & Elisabeth Leonskaja",Johnnie Ray,Marlene Dietrich,"Antônio Carlos Jobim, Astrud Gilberto, João Gilberto, Antônio Carlos Jobim, Stan Getz & Tommy Williams",Bob Marley & The Wailers,Lou Reed,Love Supreme: Diana Ross and the Supremes. ,Begin the Beguine. ,Piano Concertos.. ,16 Most Requested Songs. ,The Cosmopolitan. ,Getz/Gilberto. ,The Very Best of Bob Marley and the Wailers. ,Best Rock Album in the World Ever.. ,"
Kirsty Young talks to Barbara Hulanicki, fashion designer and creator of Biba.

Show more

", ,c1aa2ec9-53e7-4d90-8d36-bac75832e986,85545102-7c29-4707-aea2-30ff55018df9,,a74dcc96-ed1b-4b0c-8492-cc5345d629d8,191cba6a-b83f-49ca-883c-02b20c7a9dd5,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,c296e10c-110a-4103-9e77-47bfebb7fb2e,9d1ebcfe-4c15-4d18-95d3-d919898638a1, ,0,"https://www.bbc.co.uk/programmes/b03kpkyj
"
0,Barbara Jefford,Mon 10 Apr 1961,History of the English Speaking Peoples - Sir Winston Churchill,Piano,Violin Concerto in D minor,Libera Me - from Requiem,Sigh No More,Dance of the Knights (Romeo and Juliet),Adagio in G Minor for Organ & Strings,The Edge of Shelley Berman,El mirar de la Maja (from Tonadillas),"Symphony No 40 in G minor, K 550",Aram Khachaturian,Giuseppe Verdi,George Shearing,Sergei Prokofiev,Tomaso Albinoni & Remo Giazotto,Shelley Berman,Enrique Granados,"Wolfgang Amadeus Mozart, Les Musiciens du Louvre & Marc Minkowski",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Barbara Jefford.
Favourite track: Symphony No 40 in G Minor by Wolfgang Amadeus MozartBook: History of the English Speaking Peoples by Sir Winston ChurchillLuxury: Piano
", ,fa25cd1f-beeb-4718-b4bb-d3da4f53539f,f1bedf1f-4445-4651-9c35-f4a3f3860a13,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,0e43fe9d-c472-4b62-be9e-55f971a023e1,,b63fa338-d106-4da3-8e57-ef992d46c21c,e378c6b3-7d74-48b5-ab04-9aac0df7562c,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p009y6pf
"
0,Barbara Kelly,Thu 19 May 1955,,,Gone Fishin' (feat. John Scott Trotter and His Orchestra),Uncle Harry,Béla Bartók - 44 Duos for Two Violins - No. 20,I Wonder as I Wander,Skye Boat Song,Joyce Grenfell & Norman Wisdom - Narcissus,"I bless you, forests (Pilgrim's song), Op. 47/5",Blues In Burlesque,Bing Crosby & Louis Armstrong,Noël Coward,Béla Bartók,Jo Stafford,Scottish Junior Singers,Joyce Grenfell & Norman Wisdom,Pyotr Ilyich Tchaikovsky,Stan Kenton and His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress and broadcaster Barbara Kelly.
Luxury: Beach ball
", ,2437980f-513a-44fc-80f1-b90d9d7fcf8f,6aa4bb26-36f8-4a96-8328-4810a4e9a617,fd14da1b-3c2d-4cc8-9ca6-fc8c62ce6988,1761dd90-8afd-4e77-8fd8-3f6028f02cf8,,,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,9134e915-d22a-4f43-a591-ebd8e0eb7390, ,0,"https://www.bbc.co.uk/programmes/p009y9x9
"
0,Barbara Mills QC,Fri 15 Jan 1993,History of the Crusades - Stephen Runciman,"Tennis court, balls, racket and wall",Blue Suede Shoes,Non Je Ne Regrette Rien,"Toccata from Organ Symphony No.5, Op.42, no.1","E scherzo, od e follia (Act 1, Un ballo in mashcera)",Maple Leaf Rag,"Waltz in A flat major, Op. 42",For Unto Us A Child Is Born from Messiah,Requiem in D minor - Dies Irae,Elvis Presley,Édith Piaf,Charles‐Marie Widor,Giuseppe Verdi,Dick Wellstood,Frédéric Chopin,George Frideric Handel,Wolfgang Amadeus Mozart,G.I. Blues. ,The Legendary Edith Piaf. ,The World Of The Organ. ,Un Ballo In Maschera. ,Ragtime Piano Favourites. ,None,Messiah. ,None,"
Sue Lawley's castaway is QC Barbara Mills.
Favourite track: Un Ballo In Maschera: E Scherzo Od E Follia by Giuseppe VerdiBook: History of the Crusades by Stephen RuncimanLuxury: Tennis court, balls, racket and wall
", ,01809552-4f87-45b0-afff-2c6f0730a3be,4f8ef4a3-40fa-46b5-8773-97686a8424f4,b1cf260d-0862-4e1b-91b8-7da537130261,f1bedf1f-4445-4651-9c35-f4a3f3860a13,912e2001-48ea-4067-91ca-ebb32cb81193,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,27870d47-bb98-42d1-bf2b-c7e972e6befc,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p0093x8k
"
0,Barbara Mullen,Mon 13 Dec 1971,Illustrated Herbal,Dart board and darts of different weights,The Big Country,Jonah And The Whale,"Jesu, Joy of Mans Desiring from Cantata BWV 147",Raindrops Keep Falling On My Head,"Symphony No 40 in G minor, K 550","Solveig's Song (from Peer Gynt, Suite No.2, op.55)",Jig A Jig,Adeste Fideles,Jerome Moross,Louis Armstrong,Johann Sebastian Bach,B.J. Thomas,"Wolfgang Amadeus Mozart, Les Musiciens du Louvre & Marc Minkowski",Edvard Grieg,East of Eden,King's College Chapel Choir,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Barbara Mullen.
Favourite track: Adeste Fideles by St John's College Choir, CambridgeBook: Illustrated HerbalLuxury: Dart board and darts of different weights
", ,246e0d51-6ca2-4df1-b4ae-7381848bd5db,eea8a864-fcda-4602-9569-38ab446decd6,24f1766e-9635-4d58-a4d4-9413f9f98a4c,42a19448-ff60-4fd2-9d10-959bf2000729,b972f589-fb0e-474e-b64a-803b0364fa75,013c8e5b-d72a-4cd3-8dee-6c64d6125823,5aca49f3-3661-4280-83de-32ce88fc95e3,, ,0,"https://www.bbc.co.uk/programmes/p009nc9k
"
