,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,C A Joyce,Mon 1 Nov 1971,Novels - Georgette Heyer,Self-portrait painted by his wife,Roses of Picardy,Nobody Knows the Trouble I've Seen,Serenade,For You,Look For The Silver Lining,The British Grenadiers,"Jesu, Joy of Mans Desiring from Cantata BWV 147","Finlandia, Op 26",Haydn Wood,Paul Robeson,Riccardo Drigo,Donald Peers,Vera Lynn,HM Grenadiers Guards Bands,Johann Sebastian Bach,"Jean Sibelius, Oslo-Filharmonien & Mariss Jansons",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is prison worker C A Joyce.
Favourite track: Nobody Knows The Trouble I've Seen by Paul RobesonBook: Novels by Georgette HeyerLuxury: Self-portrait painted by his wife
", ,3d337798-445d-4731-aba0-2da46dd8062d,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,a47c544f-5324-42ea-b08b-3dabab4c7dd8,6f52863a-18f6-402d-82ba-5ece2228080c,7d32fa5a-7ccb-483b-87ea-5370b4be4d64,,24f1766e-9635-4d58-a4d4-9413f9f98a4c,691b0e9d-9e57-41cf-932d-a3d21b068e75, ,0,"https://www.bbc.co.uk/programmes/p009ncds
"
0,C A Lejeune,Mon 26 Jul 1943,,,The Old Refrain,Roamin in the Gloamin,O mio babbino caro from Gianni Schicchi,Turn Ye To Me,Incidental Music to Peter Pan,Oh Miss Hannah,When the night wind howls (from Ruddigore),White Christmas,Fritz Kreisler,Sir Harry Lauder,"Leona Mitchell, Giacomo Puccini, National Philharmonic Orchestra & Kurt Herbert Adler",Joseph Hislop,The London Palladium Orchestra,The Revellers,Gilbert & Sullivan,Bing Crosby,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is critic C A Lejeune.
", ,590fcad4-2ba4-43bc-a22f-a4bb9b496fe8,b51f17ae-1405-46e0-95cb-b31252bb4355,a693df4a-8762-4a45-b7fd-6695b558385e,,07e67549-3d44-4fcf-bebf-48a655cf7cbb,24f79af6-1155-4ccb-9f23-ba44aa2845eb,,2437980f-513a-44fc-80f1-b90d9d7fcf8f, ,0,"https://www.bbc.co.uk/programmes/p009y0c5
"
0,C A Lejeune,Mon 16 Sep 1957,,,Già nella notte densa (love duet) (from Otello),Richard Wagner - Die Meistersinger von Nurnberg - opera in 3 acts,Dawn Chorus,Immer Oder Nimmer,La Bohème Act 3,Three Kings,La Mattinata,Skye Boat Song,Giuseppe Verdi,Richard Wagner,Wildlife Recording,Dol Dauber Salon Orchestra,Giacomo Puccini,King's College Chapel Choir,Ruggero Leoncavallo,Scottish Junior Singers,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is film critic C A Lejeune.
Luxury: Soil and rose bushes
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,,,a693df4a-8762-4a45-b7fd-6695b558385e,,9bfbcb17-bd72-444e-be7d-0129b6389ca1,, ,0,"https://www.bbc.co.uk/programmes/p009y8q5
"
0,C B Cochran,Thu 19 Feb 1942,,,C B Cochran Medley,J'ai Deux Amants,Galante (Dance No. 1) (from Danzas españolas),Dear Little Cafe,Once in the town of Kazan (from Boris Godunov),Flamingo (feat. Herb Jeffries),L'amour est une vertu rare (from Thaïs),Suite: The Love for Three Oranges,C B Cochran/Edward Cooper/Elisabeth Welch,André Messager,Enrique Granados,Peggy Wood & Georges Metaxa,Modest Mussorgsky,Duke Ellington and His Famous Orchestra,Jules Massenet,"London Symphony Orchestra, Сергей Сергеевич Прокофьев & Antal Doráti",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is theatrical manager C B Cochran.
", ,,7d3968cf-a36a-402f-bcb2-4f967d39d642,e378c6b3-7d74-48b5-ab04-9aac0df7562c,,c1380b12-3909-47d8-a5fd-d20e76123310,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f,85d783d6-6795-4726-b817-9d83095ad7be,0e43fe9d-c472-4b62-be9e-55f971a023e1, ,0,"https://www.bbc.co.uk/programmes/p009y0nd
"
0,C Day Lewis,Mon 26 Feb 1968,Short stories - Anton Chekhov,Bourbon Whiskey,Harpsichord Concerto No. 1 in D Minor,Oboe Concerto in B Flat Major,"Serenade for Tenor, Horn and Strings",Piano Concerto No. 19 in F major,Offertorio (from Requiem Mass),Piano Quintet in F minor,"Nocturne in F sharp major, op 15'2",The Old House,Johann Sebastian Bach,George Frideric Handel,"Peter Pears, Benjamin Britten, Barry Tuckwell, London Symphony Orchestra & Benjamin Britten",Wolfgang Amadeus Mozart,Giuseppe Verdi,César Franck,Frédéric Chopin,John McCormack,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is Poet Laureate C Day Lewis.
Favourite track: Piano Concerto No 19 in F Major by Wolfgang Amadeus MozartBook: Short stories by Anton ChekhovLuxury: Bourbon Whiskey
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,27870d47-bb98-42d1-bf2b-c7e972e6befc,49ae5227-605a-47a8-9b8e-cd89bf01a97c,b972f589-fb0e-474e-b64a-803b0364fa75,f1bedf1f-4445-4651-9c35-f4a3f3860a13,69802473-e361-4e15-bbd8-53fe83cd1587,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,22c3d1de-793c-4094-b60a-26775617c14b, ,0,"https://www.bbc.co.uk/programmes/p009y23q
"
0,C Day Lewis,Mon 18 Jul 1960,Novels - Jane Austen,Wine,Brandenburg Concerto No. 6 in B flat major,Frédéric Chopin - Waltz No. 1 in E flat Major Op. 18,Offertorio (from Requiem Mass),"String Quartet No. 15 in A minor, Op. 132",Piano Concerto No. 23 in A major K.488 (feat. Christian Zacharias & Orchestre national de France),"Cello Concerto in E minor, Op 85 (feat. BBC Scottish Symphony Orchestra)","Come, my beloved (adaptation of Care selve) (from Atalanta)",The Wife of Usher's Well,Johann Sebastian Bach,Frédéric Chopin,Giuseppe Verdi,Ludwig van Beethoven,"Orchestre National de France, Christian Zacharias & Wolfgang Amadeus Mozart",Sir Edward Elgar & BBC Scottish Symphony Orchestra,George Frideric Handel,John Laurie,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is poet C Day Lewis.
Favourite track: Offertorio by Giuseppe VerdiBook: Novels by Jane AustenLuxury: Wine
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,f1bedf1f-4445-4651-9c35-f4a3f3860a13,1f9df192-a621-4f54-8850-2c5373b7eac9,b972f589-fb0e-474e-b64a-803b0364fa75,4e60a56a-514a-4a19-a3cc-49927c96b3cb,27870d47-bb98-42d1-bf2b-c7e972e6befc,, ,0,"https://www.bbc.co.uk/programmes/p009y743
"
0,C H Middleton,Tue 16 Nov 1943,,,Dear Old Home Songs,Standchen from Schwanengesang,The Old Sow,In a Monastery Garden,Drinking,Barcarolle from the Tales of Hoffmann,Poet and Peasant (Overture),In an Old-Fashioned Town,BBC Symphony Chorus,Franz Schubert,Albert Richardson,The Band of the Coldstream Guards,Malcolm McEachern,Jacques Offenbach,"Franz von Suppé, Detroit Symphony Orchestra & Paul Paray",Harold Williams,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is horticulturalist C H Middleton.
", ,d8337e35-8605-4d31-8ae3-2d3079fa5fe6,f91e3a88-24ee-4563-8963-fab73d2765ed,,c7cdb399-a9f6-45b7-9602-b9515723813d,62077bfc-cca5-4800-bbbf-bdf24efcfe7c,27bc8cf5-72e1-4888-87de-259fbcaac3ff,3f23bb80-a2a1-4a7e-9458-447fd21b946a,fc88bac6-6859-4346-85ef-5bc29d2dbd18, ,0,"https://www.bbc.co.uk/programmes/p009y09j
"
0,C Northcote Parkinson,Tue 17 Jul 1979,The History of the Decline and Fall of the Roman Empire - Edward Gibbon,Radio receiver,Sumer is icumen in,Fill Every Glass (The Beggar's Opera),Spanish Ladies,This Heart Of Mine,Agincourt Song (Henry V),The Old Hundredth,Never on Sunday,I Remember It Well,Deller Consort,John Gay,Uffa Fox,Fred Astaire,William Walton,Coronation of HM Queen Elizabeth II,Manos Hadjidakis,Maurice Chevalier & Hermione Gingold,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is historian C Northcote Parkinson.
Favourite track: The Old Hundredth by Coronation of HM Queen Elizabeth IIBook: The History of the Decline and Fall of the Roman Empire by Edward GibbonLuxury: Radio receiver
", ,2adc8bdf-0c91-4f60-abdd-42c43ca6451f,b99916a0-eb72-4145-80ad-1b4516db1d5f,,3ae3fa20-d295-467c-b59f-969376a28470,d019a8cc-060f-4491-83d6-76e1211a1a08,,e34c6bac-7b2b-4898-a488-81792da6aca3,e0371cd0-a5f8-420e-be17-bd980adc7393, ,0,"https://www.bbc.co.uk/programmes/p009mx8k
"
0,C P Snow,Mon 4 Aug 1975,Russian grammar,Writing materials,Violin Sonata No.1 in D minor Op.75,"Henry IV Part II Act 3, Scene 2",Hebridian Boat Song,The Twenty-Third Psalm,Were I Laid On Greenland's Coast,War and Peace,The Farmer and The Cowman,"Symphony no. 9 (Op.125) in D minor ""Choral""",Camille Saint‐Saëns,William Shakespeare,John Laurie & Robert King,Sir Laurence Olivier,Elsie Morrison & John Cameron,Sergei Prokofiev,Gordon MacRae,Ludwig van Beethoven,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer C P Snow.
Favourite track: Henry IV Part II (Act 3, Scene 2) by William ShakespeareBook: Russian grammarLuxury: Writing materials
", ,4137c070-15b2-4d00-a9f0-3517d02a9ba8,a4ba11db-ae2b-4ec3-9084-2136db11acfa,,efbc067e-d225-4ec9-93b0-8f012df85ed2,,0e43fe9d-c472-4b62-be9e-55f971a023e1,63da067e-d1ba-4e39-a1ac-ef09594993c4,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009n6dn
"
0,Caitlin Moran,Fri 27 Jan 2017,"The Secret Diary of Adrian Mole, Aged 13¾ by Sue Townsend",LUXURY ITEM,Twist and Shout,Wuthering Heights,Weekender,Not The Girl You Think You Are,Vogue,Rock 'n' Roll Suicide,Common People,Gotta Work,The Beatles,Kate Bush,Flowered Up,Crowded House,Madonna,David Bowie,Pulp,Amerie,Please Please Me. ,The Kick Inside. ,Weekender. ,Recurring Dream. ,Im Breathless. ,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars. ,Different Class. ,Because I Love It. ,"
Caitlin Moran, columnist and author, is interviewed by Kirsty Young for Desert Island Discs.

Show more

", ,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,4b585938-f271-45e2-b19a-91c634b5e396,b8579750-0ee9-4dcd-ae35-f23672bc1a3d,9854d99f-d954-4c0f-9ae5-58a0cdd885f5,79239441-bfd5-4981-a70c-55c3f15c1287,5441c29d-3602-4898-b1a1-b77fa23b8e50,76b2e842-5e85-4c97-ab62-d5bc315595b5,56ef1af4-5184-49f8-a972-583f35c2485c, ,0,"https://www.bbc.co.uk/programmes/b08b3k40
"
