,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,E P Thompson,Fri 8 Nov 1991,Songs of Innocence and Experience - William Blake,Typewriter and paper,Carolan's Receipt,Purano Sai Diner Katha,The Peat Bog Soldiers,Batell Galliard,The Prisoners Chorus (from Fidelio),He hears the cry of the sedge (from The Curlew),Keyboard Trio No. 2 In E flat major 'Kegelstatt',Hark! Now all things (from The Fairy Queen),Derek Bell,Rabindranath Tagore,Paul Robeson,Julian Bream,Ludwig van Beethoven,Peter Warlock,Wolfgang Amadeus Mozart,Henry Purcell,Carolan's Receipt. ,None,Songs Of Free Men (Spirituals). ,The Golden Age Of English Lute Music. ,Famous Opera Choruses. ,The Curlew. ,Mozart Trio. ,Songs And Airs. ,"
Sue Lawley's castaway is historian and campaigner E P Thompson.

Show more

", ,294eadc8-56a0-4a49-aa47-16786003adc9,13274b60-181b-431a-b049-b48560c58e2a,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,5bada1be-28e1-45b8-9d89-6e14700d82d9,1f9df192-a621-4f54-8850-2c5373b7eac9,f4c98151-1c63-4cbb-b95e-1a3f3f638e04,b972f589-fb0e-474e-b64a-803b0364fa75,ddea5540-2c7d-4266-8507-b367c2635d35, ,0,"https://www.bbc.co.uk/programmes/p0093yqd
"
0,Eamonn Andrews,Mon 4 Aug 1958,Collected short stories - W. Somerset Maugham,Field glasses,A Foggy Day,I'm A-Rollin,Waltz from Divertissement,Goodnight Vienna,Intermezzo,Un bel dì vedremo ('One fine day') from Madame Butterfly Act 2,Ebb Tide,Panis Angelicus,Ella Fitzgerald,Jack Miles,Jacques Ibert,Jack Buchanan,Albert Sandler Trio,Giacomo Puccini,Frank Chacksfield & His Orchestra,César Franck,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is broadcaster Eamonn Andrews.
Book: Collected short stories by W. Somerset MaughamLuxury: Field glasses
", ,54799c0e-eb45-4eea-996d-c4d71a63c499,,a11feb37-7516-4303-a301-e03d238f6ec2,8ca11ab0-d3e9-444d-b9c8-908d443aebbe,,a693df4a-8762-4a45-b7fd-6695b558385e,d429ea08-b65a-45b4-a388-69f994684dcb,69802473-e361-4e15-bbd8-53fe83cd1587, ,0,"https://www.bbc.co.uk/programmes/p009y85q
"
0,Earl Hines,Fri 28 Dec 1984,The World of Duke Ellington - Stanley Dance,Physical culture equipment,Chant of the Weed,Have You Met Miss Jones?,Sleep (Five Elizabethan Songs),East Of The Sun,It Isn't Fair,It Happens To Be Me,Trust In Me,Satin Doll,Don Redman,Sam Browne,Fred Waring & His Pennsylvanians,Tommy Dorsey and His Orchestra,Bill Farrell,Ben Webster,Dinah Washington & Quincy Jones and his Orchestra,Duke Ellington & His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is jazz pianist Earl Hines.
Favourite track: Trust In Me by Dinah Washington & Quincy Jones and his OrchestraBook: The World of Duke Ellington by Stanley DanceLuxury: Physical culture equipment
", ,,ce095cef-b10a-4f78-8028-0685bbd05900,4a903390-4381-4c32-90d0-803bd4f9ce34,1e8f0ed0-a67f-4203-97a6-add12b4b1ab3,a9f41ef3-db02-43a0-9f72-334619e32dbe,e28c0b26-3bdb-45dc-b4f5-f309c7c35ec4,,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f, ,0,"https://www.bbc.co.uk/programmes/p009mw6x
"
0,Earl Hines,Mon 16 Dec 1957,,,Cherry,Makin' Whoopee,You've Changed,April in Paris,I Hadn't Anyone Till You,It's Alright With Me,Somehow,Love is Just Around the Corner,Bobby Hackett,Nat King Cole,Connie Russell,Count Basie & His Orchestra,Bob Manning,Lena Horne,Billy Eckstine,Les Elgart & His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is jazz pianist Earl Hines.
Luxury: Piano
", ,92ffa91d-bc56-4da9-947a-e5659c40f561,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,7a8ac90a-13b7-4970-a9b1-1649e4946c29,0dbd6300-efdc-420b-857e-895e18fad317,a2cb971b-049e-4aa0-bbd5-d6038ddf5fd1,0031bc7a-1b6f-4620-99db-5202405b0749,dc335fdb-9bc6-42ca-86a1-e652318764cc,e816e679-a548-4174-9268-30da6ca843da, ,0,"https://www.bbc.co.uk/programmes/p009y8kv
"
0,Earl of Harewood,New Year's Day 1982,Anthology of Poetry,Typewriter,"String Quartet in G major, Op 77 No 1 (feat. Takács Quartet)","Selig wie die Sonne (Die Meistersinger von Nurnberg, Act 3) (feat. John Barbirolli, Elisabeth Schimana & Hallé)","Piano Trio in D Major, Op 70 No 1 ""Ghost""",Qui la voce sua soave (I Puritani),Ma lassù si vedremo (from Don Carlos),Katya Kabanova,"Now, until the break of day (from A Midsummer Night's Dream)",Piano Sonata in A major,Joseph Haydn & Takács Quartet,"Richard Wagner, Hallé Orchestra, Sir John Barbirolli & Elisabeth Schimana",Ludwig van Beethoven,Vincenzo Bellini,Giuseppe Verdi,Leos Janáček,Benjamin Britten,Franz Schubert,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is the managing director of the ENO George Lascelles.
Favourite track: Piano Sonata In A by Franz SchubertBook: Anthology of PoetryLuxury: Typewriter
", ,c130b0fb-5dce-449d-9f40-1437f889f7fe,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,1f9df192-a621-4f54-8850-2c5373b7eac9,6f5bfd20-84cc-4879-8a40-05631ad576c7,f1bedf1f-4445-4651-9c35-f4a3f3860a13,edfced8a-01bc-4c22-96b2-da58edd6b8af,49ae5227-605a-47a8-9b8e-cd89bf01a97c,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p009mtf8
"
0,Earl of Harewood,Christmas Day 1965,Encyclopaedia,Typewriter,When I am laid in earth (Dido's Lament) (from Dido and Aeneas),Serenade in B flat major K.361 for 13 wind instruments (feat. Neville Marriner & Academy of St Martin in the Fields),Ella giammai m'amò (from Don Carlos),"String Quintet in C major, D 956 (feat. Takács Quartet)",The Cunning little vixen - suite,Symphony in three movements,Nun sag ich dir zum ersten mal (from Gurrelieder),"Serenade for Tenor, Horn and Strings",Henry Purcell,"Wolfgang Amadeus Mozart, Sir Neville Marriner & Academy of St Martin in the Fields",Giuseppe Verdi,Franz Schubert & Takács Quartet,Leos Janáček,Igor Stravinsky,Arnold Schoenberg,"Peter Pears, Benjamin Britten, Barry Tuckwell, London Symphony Orchestra & Benjamin Britten",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer and musician Earl of Harewood.
Favourite track: Quintet in C Major (Opus 163 D 956) by Franz SchubertBook: EncyclopaediaLuxury: Typewriter
", ,ddea5540-2c7d-4266-8507-b367c2635d35,b972f589-fb0e-474e-b64a-803b0364fa75,f1bedf1f-4445-4651-9c35-f4a3f3860a13,f91e3a88-24ee-4563-8963-fab73d2765ed,edfced8a-01bc-4c22-96b2-da58edd6b8af,c278de2c-9696-4fdf-a919-0781cd945e2c,9b490b96-ad82-4d7b-9055-f0a196ad64cc,49ae5227-605a-47a8-9b8e-cd89bf01a97c, ,0,"https://www.bbc.co.uk/programmes/p009y3sz
"
0,Earl Of Snowdon,Fri 12 Sep 1980,A History of Architecture on the Comparative Method - Sir Banister Fletcher,Painting Materials,The Green Cockatoo,London Pride,Night and Day,See What The Boys In The Back Room Will Have,West Side Story (Prologue),Swan Lake - Act 4 (finale),"Symphony no. 9 (Op.125) in D minor ""Choral""",Land of My Fathers,Roberto Inglez & his Orchestra,Noël Coward,Al Bowlly,Marlene Dietrich,Leonard Bernstein,Pyotr Ilyich Tchaikovsky,Ludwig van Beethoven,The Fron Male Voice Choir,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is photographer Antony Armstrong-Jones, The Earl Of Snowdon.
Favourite track: Swan Lake (Finale) by Pyotr Ilyich TchaikovskyBook: A History of Architecture on the Comparative Method by Sir Banister FletcherLuxury: Painting Materials
", ,3befab11-0720-42cc-a946-9f26a6e7ba74,6aa4bb26-36f8-4a96-8328-4810a4e9a617,f747a4ff-d54f-41b1-be56-97abcf1eb688,191cba6a-b83f-49ca-883c-02b20c7a9dd5,fa39bc82-9b27-4bbb-9425-d719a72e09ac,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,1f9df192-a621-4f54-8850-2c5373b7eac9,8aee6b6c-32d8-40ce-803d-0d5104b2efc7, ,0,"https://www.bbc.co.uk/programmes/p009mvxv
"
0,Earl Wild,Mon 3 Sep 1973,Transcript of the Watergate hearings,Bernini columns from The Vatican,Symphony No. 4 in B Flat Major (BBC Proms 2014),Manfred Symphony,Great Balls Of Fire,Die Frau Ohne Schatten: Falcon Aria,"Enigma Variations, Op 36 (feat. BBC National Orchestra of Wales)","Hello, Dolly",Bacchanale,J'aurais sur ma poitrine (from Werther),Ludwig van Beethoven (BBC Scottish Symphony Orchestra conducted by Donald Runnicles),Pyotr Ilyich Tchaikovsky,Mae West,Richard Strauss,Sir Edward Elgar & BBC National Orchestra of Wales,Carol Channing,New York Philharmonic,Jules Massenet,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is concert pianist Earl Wild.
Favourite track: Symphony No. 4 In B Flat Major by Ludwig van BeethovenBook: Transcript of the Watergate hearingsLuxury: Bernini columns from The Vatican
", ,1f9df192-a621-4f54-8850-2c5373b7eac9,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,9cde9e3a-e8af-4659-9c59-bdbf96acb558,4cb43d82-824e-4034-b03d-1a98f36f6e16,4e60a56a-514a-4a19-a3cc-49927c96b3cb,1b3004ab-ca43-495e-8b11-88a10773c8d5,7cdb68bc-c4f1-4a92-9bd2-739641c5eff0,85d783d6-6795-4726-b817-9d83095ad7be, ,0,"https://www.bbc.co.uk/programmes/p009n8mx
"
0,Eartha Kitt,Mon 18 Jun 1956,,,Oba Grelegbuwa,Into Each Life Some Rain Must Fall,A Foggy Day,Symphony no. 3 in A minor Op.56 (Scottish),(Dear Mr. Gable) You Made Me Love You,The Woman and The Chivalrous Shark,I Cover the Waterfront,The Fountains of Rome,Irewolede Denge,Ella Fitzgerald & The Ink Spots,Frank Sinatra & Willie Nelson,"London Symphony Orchestra, Felix Mendelssohn & Claudio Abbado",Judy Garland,Burl Ives,Erroll Garner Piano,Ottorino Respighi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress and singer Eartha Kitt.
Book: Autobiography by Eartha Kitt
", ,ee3f3d69-eeb0-451e-b426-14956c9be8fc,54799c0e-eb45-4eea-996d-c4d71a63c499,197450cd-0124-4164-b723-3c22dd16494d,0e85eb79-1c05-44ba-827c-7b259a3d941a,b9348d59-b91b-423f-847b-8db155a0653b,086c1936-9eaa-4091-b140-ad33a51a3b71,,788c380d-247b-42f0-b7a9-64881e1f0fd9, ,0,"https://www.bbc.co.uk/programmes/p009y99f
"
0,Ed McBain,Tue 26 Jun 1979,Streets of Gold - Ed McBain,Whisky,"Sing, Sing, Sing",Artistry Jumps,The Rite of Spring (feat. BBC Symphony Orchestra),Ode to Billie Joe,L'Ascension - 4th movement,When Joanna Loved Me,Something,Piano Concerto No.2 in C minor,Benny Goodman and His Orchestra,Stan Kenton and His Orchestra,Игорь Фёдорович Стравинский & BBC Symphony Orchestra,Bobbie Gentry,Olivier Messiaen,Tony Bennett,The Beatles,Sergei Rachmaninov,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is the writer Ed McBain.
Favourite track: Piano Concerto No. 3 in D Minor by Sergei RachmaninovBook: Streets of Gold by Ed McBainLuxury: Whisky
", ,a2019e51-9ce1-4c14-98d0-25428761e9f0,9134e915-d22a-4f43-a591-ebd8e0eb7390,c278de2c-9696-4fdf-a919-0781cd945e2c,a5106366-6368-4a02-a580-73a3c02abb2f,c6e5c5f4-984e-432a-87b8-b6afa288bca1,8be0594f-8c13-46bb-ab06-f93ffba5c776,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,44b16e44-da77-4580-b851-0d765904573e, ,0,"https://www.bbc.co.uk/programmes/p009mxbl
"
