,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Iain Banks,Fri 29 Aug 1997,The Complete Monty Python Television Scripts - Monty Python,Front Seat Of A Porsche,Hares on the Mountain,For a Dancer,Cold Wars,Beware of the Beautiful Stranger,Me My Friend,Nkosi sikelel' iAfrika,Road To Moscow - Cambridge Folk Festival 1989,Mohammed's Radio,Steeleye Span,Jackson Browne,The Rezillos,Pete Atkin,Family,Thuli Dumakuda,Al Stewart,Warren Zevon,Parcel Of Rogues. ,Late For The Sky. ,Can't Stand The Rezillos. ,The Clive James and Pete Atkin Songbook 1967-1974. ,Music In A Doll's House. ,Cry Freedom. ,"Past, Present And Future. ",A Quiet Normal Life. ,"
Sue Lawley's castaway is writer Iain Banks.

Show more

", ,68c6926c-03e0-4afc-9f54-2190b2c8d468,88527d26-7496-47c5-8358-ebdb1868a90f,e9a64ec8-afc6-4aff-aa1f-34fdd3448b7d,aa66d77b-2cdf-4179-95ac-d315ec48ea95,7745d370-9cf1-41be-916c-9c8d2e502628,,ab7d49fa-c383-4c41-b890-3fe68e559dc4,970fb29f-e288-403e-a388-d2a7889bfa47, ,0,"https://www.bbc.co.uk/programmes/p009446p
"
0,Ian Bostridge,Fri 31 Oct 2008,War and Peace - Leo Tolstoy,A solar computer loaded with pictures of my family and friends,"Das Wandern (from Die Schöne Müllerin)Contessa, perdono (from The Marriage of Figaro)Sonata No. 31 in A-flat major, op. 110 (1st movement)Now, until the break of day (from A Midsummer Night's Dream)The Opening of Schumann's Piano Quintet in E flatThe Quintet from the end of Thomas Ades's opera The Tempest - 2007Cantata No 51, 'Jauchzet Gott in allen Landen'", , , , , , , ,Franz SchubertWolfgang Amadeus MozartLudwig van BeethovenBenjamin BrittenRobert SchumannThomas AdèsJohann Sebastian Bach, , , , , , , , , , , , , , , ,"
Kirsty Young's castaway is musician and opera singer Ian Bostridge.

Show more

", , , , , , , , , , ,1,"https://www.bbc.co.uk/programmes/b00f2fd3
"
0,Ian Botham,Fri 10 Nov 1989,Encyclopaedia of species of fish of the world,Fishing rod,Get Off Of My Cloud,Symphony no. 3 in E flat major Op.55 (Eroica) (feat. Scottish Chamber Orchestra),"No Woman, No Cry",Layla,"1812 Overture, Op 49",Yesterday,I'm Still Standing,Pomp & Circumstance March No 1 in D major (Land of Hope and Glory),The Rolling Stones,Scottish Chamber Orchestra & Ludwig van Beethoven,Bob Marley & The Wailers,Eric Clapton,Pyotr Ilyich Tchaikovsky,The Beatles,Elton John,Sir Edward Elgar & BBC Symphony Orchestra,None,"Symphony No. 3, Egmont Overture. ",None,The Cream of Eric Clapton. ,"1812 Overture, Romeo & Juliet, etc.. ",Help!. ,Too Low for Zero. ,Enigma Variations. ,"
Sue Lawley's castaway is cricketer Ian Botham.

Show more

", ,b071f9fa-14b0-4217-8e97-eb41da73f598,1f9df192-a621-4f54-8850-2c5373b7eac9,c296e10c-110a-4103-9e77-47bfebb7fb2e,618b6900-0618-4f1e-b835-bccb17f84294,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,4e60a56a-514a-4a19-a3cc-49927c96b3cb, ,0,"https://www.bbc.co.uk/programmes/p009mdfs
"
0,Ian Carmichael,Tue 12 Jun 1979,War and Peace - Leo Tolstoy,Paper and pencils,The Planets,Theme From Murder On The Orient Express (from),"Waltz in C Sharp Minor, Opus 64",Adagio of Spartacus and Phrygia from Spartacus Suite No 2,On The Alamo,"Theme From Film Boeing, Boeing",Duet Of Guy and Madeleine,Doin' Basie's Thing,"BBC Symphony Orchestra, Gustav Holst, Edward Gardner & The BBC Symphony Chorus","Orchestra of the Royal Opera House, Covent Garden",Frédéric Chopin,Aram Khachaturian,Jimmy Dorsey & His Orchestra,Neal Hefti,Nino Castelnuovo & Ellen Farner,Count Basie & His Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Ian Carmichael.
Favourite track: Adagio (from Spartacus) by Aram KhachaturianBook: War and Peace by Leo TolstoyLuxury: Paper and pencils
", ,3ba68671-e3b5-4263-81dc-76b16b29bbc6,94d7c0dd-1e8e-4579-807b-8b7c86f57a53,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,fa25cd1f-beeb-4718-b4bb-d3da4f53539f,79b493ea-42ad-41a3-a729-11ccc1bd85e9,75770f14-cbe0-4b06-8825-14797098ff2a,,0dbd6300-efdc-420b-857e-895e18fad317, ,0,"https://www.bbc.co.uk/programmes/p009mxd3
"
0,Ian Carmichael,Mon 7 Apr 1958,,,Les Girls,Prisoner of Love,Let's Kiss and Make Up,Selection (from The Lilac Domino),Moonlight Srenade,How Deep Is The Ocean,"Swan Lake - Act 1, Waltz",I’ve Got The World On A String,Gene Kelly,Bing Crosby,Fred Astaire,The London Palladium Orchestra,Glenn Miller Orchestra,Kay Thompson,Pyotr Ilyich Tchaikovsky,Frank Sinatra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Ian Carmichael.
Luxury: Writing materials and beer
", ,aaff7c7e-5793-4fa7-9a7c-9af3b45e8132,2437980f-513a-44fc-80f1-b90d9d7fcf8f,3ae3fa20-d295-467c-b59f-969376a28470,07e67549-3d44-4fcf-bebf-48a655cf7cbb,ce8cacb6-c917-41f5-b403-8fb601c89e70,6c0a95ca-0a61-4595-b5c7-4d84bb6c51aa,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,197450cd-0124-4164-b723-3c22dd16494d, ,0,"https://www.bbc.co.uk/programmes/p009y8c7
"
0,Ian Dury,Fri 31 Mar 2000,Macmillan Dictionary of Art,Mixing Desk - Solar Powered,Small Town Talk,That's Amore,Abdul Abul Bul Emir,Woman Love,Music Keeps Me Together,The Naughty Lady Of Shady Lane,I Can't Stand The Rain,Ramblin',Bobby Charles,Dean Martin,Frank Crumit,Gene Vincent,Taj Mahal,Alma Cogan,Ann Peebles,Ornette Coleman,Bear Pack No. 1 - Various Artists. ,Moonstruck Original Motion Picture Soundtrack. ,Mountain Greenery. ,Gene Vincent Be Bop A Lula. ,Music Keeps Me Together. ,The A-Z Of Alma. ,Get Around The 70s. ,Ornette Coleman - Complete Atlantic Recordings. ,"
Sue Lawley's castaway is punk rocker Ian Dury.

Show more

", ,c886358c-ea7b-4d82-babd-c5bb5e887313,5e6c760b-42e0-4df4-a221-0269355da00a,5f2b77ec-419c-410d-944f-d1139a46b91a,f491f5ad-0946-40a6-bab9-da319c3f3995,4f48167c-29b8-4bde-a749-6803ce0a3922,9cadcc15-043f-4fed-ba38-de3c0131ddf5,a7e05e3f-7459-4ba6-9041-8b5cacf6338c,169c0d1b-fcb8-4a43-9097-829aa7b39205, ,0,"https://www.bbc.co.uk/programmes/p0093n4m
"
0,Ian Fleming,Mon 5 Aug 1963,War and Peace in German - Leo Tolstoy,Typewriter and paper,Cecilia,Dinah,La vie en rose,If I Didn't Care,This Ole House,Theme From A Summer Place,The Third Man Theme,Darktown Strutters Ball,“Whispering” Jack Smith,The Revellers,Édith Piaf,The Ink Spots,Rosemary Clooney,Billy Vaughn,Anton Karas,Joe “Fingers” Carr,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Ian Fleming.
Favourite track: The Darktown Strutters Ball by Joe Fingers CarrBook: War and Peace in German by Leo TolstoyLuxury: Typewriter and paper
", ,a7cbadfc-4caa-4f64-b40f-a548e1b4c78f,24f79af6-1155-4ccb-9f23-ba44aa2845eb,4f8ef4a3-40fa-46b5-8773-97686a8424f4,75f47650-8a52-494a-8334-c5279bc6db09,b6f69ada-cb4f-4083-913f-a00f47bfbe4b,547e9b0c-66ea-42a3-8990-ac1969f3521c,c635851e-7da6-41cf-9a8a-4674f2c27d4a,583b12aa-b1d1-4d8b-a4d2-e0e0b4bbfe0a, ,0,"https://www.bbc.co.uk/programmes/p009y5b3
"
0,Ian Hay,Mon 12 Apr 1943,,,The King is Still in London,I'll Sing Thee Songs of Araby,Ombra mai fu (Largo) (from Xerxes),A Nightingale Sang in Berkeley Square,The Lion and Albert,Cherry Ripe,Message to the Empire (Christmas Day 1935),The Gondoliers,George Hancock,Ben Davies,George Frideric Handel,Vera Lynn,Marriott Edgar,Albert Sandler Trio,King George V,Gilbert & Sullivan,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Ian Hay.
", ,,2dea0e51-f578-4449-b5dd-6a540d1d8795,27870d47-bb98-42d1-bf2b-c7e972e6befc,7d32fa5a-7ccb-483b-87ea-5370b4be4d64,5cbdc022-51f1-446e-a6a5-81f72d8fa0f8,,61fa34e7-b983-4592-bac4-dafd05da1a0e,, ,0,"https://www.bbc.co.uk/programmes/p009y0fr
"
0,Ian Hendry,Mon 1 Oct 1973,Timetable of Passing Steamers,Brandy,Lights Out,You're Nobody 'til Somebody Loves You,A String of Pearls,The Driving Instructor,Sally,Girl Of My Dreams,What A Wonderful World,"There, I've Said It Again",The Massed Pipes And Drums Of The Scottish Regiments,Dean Martin,Glenn Miller Orchestra,Bob Newhart,Gracie Fields,Erroll Garner,Louis Armstrong,The Nat King Cole Trio,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Ian Hendry.
Favourite track: Sally by Gracie FieldsBook: Timetable of Passing SteamersLuxury: Brandy
", ,,5e6c760b-42e0-4df4-a221-0269355da00a,ce8cacb6-c917-41f5-b403-8fb601c89e70,14abda46-7ed4-4cf6-b4c6-f694166cd5f0,e4a0e9ed-a318-4396-9f23-1d68ec924241,75bd5186-9d89-4da9-95de-fce055c28895,eea8a864-fcda-4602-9569-38ab446decd6,7739b88f-8d40-4af5-b4d4-5e5e53755fd5, ,0,"https://www.bbc.co.uk/programmes/p009n8kc
"
0,Ian Hislop,Fri 14 Jan 1994,Civilisation - Kenneth Clark,Frosties,Se vuol ballare (from The Marriage of Figaro),The Hippotoamus Song,Everybody Needs Somebody (To Love),"Zadok the priest, HWV 258 (feat. Neville Marriner & Academy of St Martin in the Fields)",One Step Beyond,The Holy City,Goodnight Vienna,Exulta Filia Sion,Wolfgang Amadeus Mozart,Flanders and Swann,Dan Ackroyd & John Belushi,"Academy of St. Martin in the Fields Chorus, George Frideric Handel, Academy of St Martin in the Fields & Sir Neville Marriner",Madness,Jessye Norman,Jack Buchanan,Claudio Monteverdi,Le Nozze Di Figaro. ,At The Drop Of A Hat. ,The Blues Brothers Original Soundtrack. ,Coronation Anthems. ,Complete Madness. ,The Jessye Norman Collection. ,Jack Buchanan. ,Monteverdi Madrigals & Sacred Concertos. ,"
Sue Lawley's castaway is the editor of Private Eye - Ian Hislop.

Show more

", ,b972f589-fb0e-474e-b64a-803b0364fa75,969dc50b-baf0-4d90-911b-35a0e9f95915,,f55c90e1-e7ad-4834-9e64-89fab1d3cf5a,5f58803e-8c4c-478e-8b51-477f38483ede,bde64de3-01d4-4ed9-afe9-88b7d9db922d,8ca11ab0-d3e9-444d-b9c8-908d443aebbe,9a33a7ad-f725-473a-b50a-1d1796183af1, ,0,"https://www.bbc.co.uk/programmes/p0093r0y
"
