,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,J B Morton,Tue 23 Nov 1943,,,Plaisir D'Amour,"Study in C major, Op 10 No 1",Panis Angelicus,"Evening in the Mountains (from Lyric Pieces Book 9, Op. 68)",Minuet (from Don Giovanni),"Prelude In A Flat Minor (Opus 28, No. 17)",Intermezzo (from L'Arlésienne Suite No. 2),In the Shade of the Palm,John McCormack,Frédéric Chopin,César Franck,Edvard Grieg,Wolfgang Amadeus Mozart,Frédéric Chopin,Georges Bizet,Dennis Noble,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is journalist J B Morton.
", ,22c3d1de-793c-4094-b60a-26775617c14b,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,69802473-e361-4e15-bbd8-53fe83cd1587,013c8e5b-d72a-4cd3-8dee-6c64d6125823,b972f589-fb0e-474e-b64a-803b0364fa75,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,9bd20e6a-b41d-4983-a5b6-c0ff849fa235,f4eb87e1-813e-4563-95c6-a945bc087eaa, ,0,"https://www.bbc.co.uk/programmes/p009y09c
"
0,J G Ballard,Fri 4 Sep 1992,Moby Dick - Herman Melville,Unicycle,The Teddy Bear's Picnic,Don't Fence Me In,Put The Blame On Mame,Falling In Love Again,Non so più cosa son (from The Marriage of Figaro),The Girl from Ipanema,The Barber of Seville (Overture),Let's Do It,Henry Hall,Bing Crosby & The Andrews Sisters,Rita Hayworth,Marlene Dietrich,Wolfgang Amadeus Mozart,"Antônio Carlos Jobim, Astrud Gilberto, João Gilberto, Antônio Carlos Jobim, Stan Getz & Tommy Williams","The Chamber Orchestra of Europe, Gioachino Rossini & Claudio Abbado",Noël Coward,All Aboard! 24 Original All-Time Children's Favourites. ,The Singing Detective / Music From The BBC Serial. ,The Rita Hayworth Collection. ,Merlene. ,Le Marriage Of Figaro. ,Antonio Carlos Jobim. ,Barber Of Seville. ,Noel Coward At Las Vegas. ,"
Sue Lawley's castaway is writer J G Ballard.

Show more

", ,6e8f93a7-eb40-4dec-a781-69b6dd77d145,2437980f-513a-44fc-80f1-b90d9d7fcf8f,eae4e657-1944-482e-b0cf-204ab47d22d6,191cba6a-b83f-49ca-883c-02b20c7a9dd5,b972f589-fb0e-474e-b64a-803b0364fa75,7a8dbe84-f4c0-4457-bfa3-edced1f8cde0,846be3c9-5f94-46ab-97b9-531335dd3658,6aa4bb26-36f8-4a96-8328-4810a4e9a617, ,0,"https://www.bbc.co.uk/programmes/p0093yf6
"
0,J K Rowling,Fri 10 Nov 2000,SAS Survival Guide,Pen and unlimited paper,Come Together,Bigmouth Strikes Again,"Piano Sonata No.23 in F minor (Op.57) ""Appassionata""",Violin Concerto in D major - 1st movement,Everybody Hurts,Guilt,All Along The Watchtower,Requiem in D minor - Agnus Dei,The Beatles,The Smiths,Ludwig van Beethoven,Pyotr Ilyich Tchaikovsky,R.E.M.,Marianne Faithfull,The Jimi Hendrix Experience,Wolfgang Amadeus Mozart,The Beatles 1967-1970. ,Singles. ,"Piano Sonatas NOs. 21, 23. ",Violin Concertos. ,Everybody Hurts. ,Broken English. ,A Bronx Tale - Soundtrack. ,Mozart's Requiem. ,"
Sue Lawley's castaway is the writer and creator of Harry Potter J K Rowling.
Favourite track: First movement-Violin Concerto in D Major by Pyotr Ilyich TchaikovskyBook: SAS Survival GuideLuxury: Pen and unlimited paper
", ,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,1f9df192-a621-4f54-8850-2c5373b7eac9,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,ea4dfa26-f633-4da6-a52a-f49ea4897b58,14ed9dea-1bb0-4743-ba32-39674a71da89,33b3c323-77c2-417c-a5b4-af7e6a111cc9,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p00949j1
"
0,Jack Brabham,Mon 19 Dec 1966,Textbook on advanced mechanical engineering,Not required,Moon of Manakoora,Song of the Islands,The Moon Was Yellow,Love Is Here To Stay,Arrivederci Roma,We Never Talk Much (We Just Sit around),Don't Blame Me,"My Son, My Son",Royal Hawaiian Guitars & The Merry Melody Singers,Andy Williams,Frank Sinatra,Nat King Cole,Nat King Cole,Danielle Darrieux & Fernando Lamas,Frank Ifield,Eddie Calvert,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is racing driver Jack Brabham.
Favourite track: Our Love is Here to Stay by Nat King ColeBook: Textbook on advanced mechanical engineeringLuxury: Not required
", ,,57cb4257-9855-4a42-b1be-bfba1d9b520d,197450cd-0124-4164-b723-3c22dd16494d,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,fbe054ec-a143-4101-9e9e-64abc5ff5ac9,,7fb61f7b-2ad3-4d5b-96fd-5c5327456abb,cfc840a4-dfdc-40b9-9ed8-c8ec72739406, ,0,"https://www.bbc.co.uk/programmes/p009y33r
"
0,Jack Brymer,Tue 29 May 1979,The complete works - Charles Dickens,Piano,Le corsaire,String Quintet No. 4 in G minor,Violin Concerto in D minor Op. 47,"Nocturne in E flat major, Op. 55 No. 2",L'ho perduta (from The Marriage of Figaro),Have You Met Miss Jones?,"String Quartet No 14 in C sharp minor, Op 131",Don Quixote,BBC Scottish Symphony Orchestra & Hector Berlioz,Wolfgang Amadeus Mozart,BBC Symphony Orchestra & Jean Sibelius,"Fryderyk Chopin, Nikolaj Znaider & Daniel Gortler",Wolfgang Amadeus Mozart,The Oscar Peterson Trio,Ludwig van Beethoven & Belcea Quartet,Richard Strauss,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is clarinettist Jack Brymer.
Favourite track: String Quintet No. 3 in G Minor by Wolfgang Amadeus MozartBook: The collected works by Charles DickensLuxury: Piano
", ,274774a7-1cde-486a-bc3d-375ec54d552d,b972f589-fb0e-474e-b64a-803b0364fa75,691b0e9d-9e57-41cf-932d-a3d21b068e75,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,b972f589-fb0e-474e-b64a-803b0364fa75,b083ec9b-27e0-4fda-801d-cb40861a0578,1f9df192-a621-4f54-8850-2c5373b7eac9,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/p009mxf5
"
0,Jack Buchanan,Wed 21 Feb 1951,,,So Tell a Tree,Limehouse Blues,The Dashing White Sergeant,For Every Man There's A Woman,Who? (from Sunny),"Life Gets Tee-Jus, Don't It",Donkey Serenade (from Firefly),Swing Low Sweet Chariot,Bing Crosby,Duke Ellington & His Orchestra,Glasgow Orpheus Choir,Benny Goodman and His Orchestra,Guy Lombardo & His Royal Canadians,Peter Lind Hayes,The Melachrino Strings and Orchestra,Bing Crosby,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Jack Buchanan.
", ,2437980f-513a-44fc-80f1-b90d9d7fcf8f,3af06bc4-68ad-4cae-bb7a-7eeeb45e411f,4823c430-4b12-4620-8258-1c80772ffb42,a2019e51-9ce1-4c14-98d0-25428761e9f0,02ea8b81-2df1-48a1-a0bd-654ce0f75e76,084a74d1-1903-407e-8e40-10fad6946304,a0369a9c-2a02-457a-a408-fda888bfc680,2437980f-513a-44fc-80f1-b90d9d7fcf8f, ,0,"https://www.bbc.co.uk/programmes/p009ycw6
"
0,Jack de Manio,Boxing Day 1964,War and Peace - Leo Tolstoy,Scented soap,The Faithful Hussar,"Serenade (K.525) in G major, 'Eine Kleine Nachtmusik'",I'm Crazy 'Bout My Baby,The Last to Go from Pieces of Eight,Call Me Irresponsible,I Could Have Danced All Night,Where Did Our Love Go,Rhapsody on a theme of Paganini,Louis Armstrong & His All-Stars,"Wolfgang Amadeus Mozart, BBC National Orchestra of Wales & Grant Llewellyn",Fats Waller,Harold Pinter,Frank Sinatra,Julie Andrews,The Supremes,Sergei Rachmaninov,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is broadcaster Jack de Manio.
Favourite track: The Faithful Hussar by Louis Armstrong and his All StarsBook: War and Peace by Leo TolstoyLuxury: Scented soap
", ,f617ed55-7691-41cc-9671-c04a29641125,b972f589-fb0e-474e-b64a-803b0364fa75,569fc5bf-bcb6-4bc5-9a00-bd0d258e34f1,6d9fd654-71aa-4ce7-b344-bf77bb0c4f93,197450cd-0124-4164-b723-3c22dd16494d,16bdc7b3-6bfc-4f1c-89ad-d0756af40327,c1aa2ec9-53e7-4d90-8d36-bac75832e986,44b16e44-da77-4580-b851-0d765904573e, ,0,"https://www.bbc.co.uk/programmes/p009y4jm
"
0,Jack Dee,Fri 16 May 2014,A big comprehensive encyclopaedia,Acoustic guitar,My Back Pages,Introducing Tobacco to Civilisation,Downtown,Whatever Happened to The Likely Lads,Eddie Dont Like Furniture,Maggie's Farm,The Welcome Song,Good To See You,Bob Dylan,Bob Newhart,Petula Clark,Tony Rivers,John Hegley,Bob Dylan,"Mandia Basic School,",Neil Young,The Bob Dylan 30th anniversary Concert Celebration. ,Bob Newhart: Off the Record. ,Petula Clark the EP Collection. ,The A To Z Of British TV Themes Volume 2. ,Saint and Blurry. ,Hard  Rain. ,not commercially available.. ,Silver and Gold. ,"
Kirsty Young talks to comedian, actor and writer Jack Dee.

Show more

", ,72c536dc-7137-4477-a521-567eeb840fa8,14abda46-7ed4-4cf6-b4c6-f694166cd5f0,40e69149-45a7-4dab-8128-c5a4d9654eeb,4f1b21bc-7b94-49f8-bb2b-31289e33be46,aa42f5ff-cad6-4a6c-8872-12a4c5298e9e,72c536dc-7137-4477-a521-567eeb840fa8,,75167b8b-44e4-407b-9d35-effe87b223cf, ,0,"https://www.bbc.co.uk/programmes/b042z660
"
0,Jack Fingleton,Mon 14 Aug 1961,Imitation of Christ - Thomas à Kempis,Golf clubs and balls,"Frédéric Chopin - Prelude in C minor, Op. 28 No. 20",Catch A Falling Star,Thank Heaven For Little Girls,True Love,Frédéric Chopin - Les Sylphides,"Que Sera, Sera (Whatever Will Be, Will Be)",Ave Maria,Waltzing Matilda,Frédéric Chopin,Perry Como,Maurice Chevalier,Bing Crosby & Grace Kelly,Frédéric Chopin,Doris Day,Charles‐François Gounod,Peter Jackson,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is cricketer Jack Fingleton.
Favourite track: Ave Maria by Bach/GounodBook: Imitation of Christ by Thomas à KempisLuxury: Golf clubs and balls
", ,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,0182474b-8a1d-46d0-9d0f-e6df353335ea,e0371cd0-a5f8-420e-be17-bd980adc7393,2437980f-513a-44fc-80f1-b90d9d7fcf8f,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,3db5dfb1-1b91-4038-8268-ae04d15b6a3e,cd4636e1-06a3-41fc-848a-624b84bbb023,53976eaa-9d3a-4698-8ee9-8c7452746c44, ,0,"https://www.bbc.co.uk/programmes/p009y6hp
"
0,Jack Hawkins,Fri 8 May 1953,,,The Swan of Tuonela,Hark the echoing air (The Fairy Queen),"The Arrival of the Queen of Sheba (Solomon, HWV 67)",Preludes Nos. 1 and 2,Bess you is my woman now (Porgy and Bess),The Rite of Spring (feat. BBC Symphony Orchestra),Richard Wagner - Der Männer Sippe (from Die Walküre),"Zadok the priest, HWV 258 (feat. Neville Marriner & Academy of St Martin in the Fields)","Osmo Vänskä, Sinfonia Lahti & Jean Sibelius",Henry Purcell,"George Frideric Handel, Australian Brandenburg Orchestra & Paul Dyer",George Gershwin,George Gershwin,Игорь Фёдорович Стравинский & BBC Symphony Orchestra,Richard Wagner,"Academy of St. Martin in the Fields Chorus, George Frideric Handel, Academy of St Martin in the Fields & Sir Neville Marriner",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Jack Hawkins.
", ,691b0e9d-9e57-41cf-932d-a3d21b068e75,ddea5540-2c7d-4266-8507-b367c2635d35,27870d47-bb98-42d1-bf2b-c7e972e6befc,65744963-191a-44ef-a3c7-b693a808a158,65744963-191a-44ef-a3c7-b693a808a158,c278de2c-9696-4fdf-a919-0781cd945e2c,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,f55c90e1-e7ad-4834-9e64-89fab1d3cf5a, ,0,"https://www.bbc.co.uk/programmes/p009ybtj
"
