,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Kaffe Fassett,Sun 29 Mar 1992,Reflections - Hermann Hesse,Diary and pen,Symphony On A French Mountain Air (Part),Mary Hamilton,Scenes from Childhood,I Want To Hold Your Hand,Theodora S'est Assoupie,"Miserere mei, Deus",I Just Called To Say I Love You,Vespers 1610,Vincent d’Indy,Joan Baez,Robert Schumann,The Beatles,Ensemble of the Bulgarian Republic,"Gregorio Allegri, Tallis Scholars, Alison Stamp & Peter Phillips",Stevie Wonder,Claudio Monteverdi,Works By Franck D'Indy & Berlioz. ,The Joan Baez Ballad Book Vol 2. ,My Brilliant Career. ,The Beatles. ,Ensemble De La Republique Bulgare/Danse Chope. ,Allegri: Miserere. ,The Woman In Red. ,Monteverdi: Vespro Della Beata Vergine. ,"
Sue Lawley's castaway is decorative artist Kaffe Fassett.

Show more

", ,325f8afe-eb01-442c-bc09-65cc093ceaf3,92d37892-6186-4459-9cc1-f0dde57652d0,3cd3882c-00f8-4362-a0c2-ad89ed248533,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,477b6c78-c9e8-4f3a-9e72-44d5bd71565a,720f3f3f-49a2-47ae-a9ba-0d150ba4ee7a,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,9a33a7ad-f725-473a-b50a-1d1796183af1, ,0,"https://www.bbc.co.uk/programmes/p009402w
"
0,Karan Bilimoria,Fri 18 Jun 2004,The Alchemist - Paulo Coelho,Yes Minister and Yes Prime Minister videos,Nessun dorma,Soul,Amazing Grace,(I Can't Get No) Satisfaction,Samba Pa Ti,Organ Symphony No. 3 in E min Op. 13,What A Wonderful World,Raga,Giacomo Puccini,Shayan,Bands & Pipes of the Household Division,The Rolling Stones,Santana,Charles‐Marie Widor,Louis Armstrong,Ravi Shankar,You'll Never Walk Alone. ,Deliverance. ,Music from The Beating Retreat 2001. ,Out Of Our Heads. ,Reflections. ,Organ Concertos. ,This Is Louis - the Very Best Of. ,The Ravi Shankar Collection - 3 Ragas. ,"
Sue Lawley's castaway is businessman Karan Bilimoria.

Show more

", ,a693df4a-8762-4a45-b7fd-6695b558385e,,,b071f9fa-14b0-4217-8e97-eb41da73f598,9a3bf45c-347d-4630-894d-7cf3e8e0b632,b1cf260d-0862-4e1b-91b8-7da537130261,eea8a864-fcda-4602-9569-38ab446decd6,697f8b9f-0454-40f2-bba2-58f35668cdbe, ,0,"https://www.bbc.co.uk/programmes/p00936jm
"
0,Karen Armstrong,Fri 17 Feb 2006,Complete Works - John Milton,Continuous supply of very cold & dry white wine,Suite for Solo Cello No. 1 in G Major - 1st movement,Christus factus est,"Piano Concerto No. 5 in E flat major ""Emperor"": 2nd and 3rd movements",Visions of Johanna,"String Quartet No. 15 in A minor, Op. 132 - 2nd movement",The Destiny Sura,Clarinet Quintet in A major - 2nd movement,"String Quartet No. 14, 'Death and the Maiden', 2nd movement",Johann Sebastian Bach,The monks of the Benedictine Monastry of Santo Domingo de Silos de Silos,Ludwig van Beethoven,Bob Dylan,Ludwig van Beethoven,Seemi Bush Ghazi,Wolfgang Amadeus Mozart,Franz Schubert,Six Cello Suites. ,Canto Gregoriano. ,Beethoven:Concerto No 5 Emperor/Symphony No 4. ,Blonde on Blonde. ,String Quartets. ,None,Mozart: Weber: Clarinet Quintets. ,Schubert:Trout Quintet/Death & the Maiden. ,"
Sue Lawley's castaway is writer Karen Armstrong.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,,1f9df192-a621-4f54-8850-2c5373b7eac9,72c536dc-7137-4477-a521-567eeb840fa8,1f9df192-a621-4f54-8850-2c5373b7eac9,,b972f589-fb0e-474e-b64a-803b0364fa75,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p0093vvb
"
0,Karl Jenkins,Fri 15 Dec 2006,The Michelin Guide to France - Michelin,A piano,Prize Song (from Die Meistersinger von Nürnberg),Concerto  for Oboe and Violin in C minor - 1st movement,Blue In Green,The Goodbye Look,Symphony No. 5 in C sharp minor- 4th movement (Adagietto),Birdland,The Benedictus from the Armed Man: A Mass for Peace,Marie Theres'! Hab' mir's gelobt (Act 3 Trio) (from Der Rosenkavalier),Richard Wagner,Johann Sebastian Bach,Miles Davis,Donald Fagen,Gustav Mahler,Weather Report,Karl Jenkins,Richard Strauss,Die Meistersinger. ,Mozart: J.S.Bach: Vivaldi: the Chamber Orchestra of Europe. ,Kind of Blue. ,Nightfly. ,Symphony No.5. ,Cool Cuts:14 of the Jazziest Funkiest Sounds. ,The Armed Man (a Mass for Peace). ,Der Rosenkavalier. ,"
Kirsty Young's castaway is composer Karl Jenkins.

Show more

", ,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,24f1766e-9635-4d58-a4d4-9413f9f98a4c,561d854a-6a28-4aa7-8c99-323e6ce46c2a,70047e57-0153-4117-b0fc-a1d2e322e5ef,8d610e51-64b4-4654-b8df-064b0fb7a9d9,0f9997bd-e079-429e-8ccd-9378c9b0c746,8f88db93-5914-4754-82ee-7d889bbc573e,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/p0093tt1
"
0,Karren Brady,Fri 4 Jan 2008,Pride and Prejudice - Jane Austen,My own pillow,(You Make Me Feel Like) A Natural Woman,Dancing Queen,Last Christmas,A Town Called Malice,I'd Do Anything For Love (But I Won't Do That),Heaven Help,Total Eclipse Of The Heart,I'll Be Missing You (feat. 112),Carole King,ABBA,Wham!,The Jam,Meat Loaf,Lenny Kravitz,Bonnie Tyler,Puff Daddy & Faith Evans,The Ode Collection 1968-1976. ,Abba Gold: Greatest Hits. ,Wham: The Final. ,Compact Snap. ,Bat Out of Hell 11. ,Are You Gonna Go My Way: Lenny Kravitz. ,18 Rock Classics: Volume 3. ,Huge Hits 1997. ,"
Kirsty Young's castaway is businesswoman Karren Brady.

Show more

", ,bf6c29f5-b69f-4842-9031-37f9645d365d,d87e52c5-bb8d-4da8-b941-9f4928627dc8,d570bb31-b9ca-45a4-a2d9-11b186d9c159,23228f18-01d5-493e-94ce-cfcde82a8db2,b134d1bf-c7c7-4427-93ac-9fdbc2b59ef1,0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,0aa8294b-6332-4b65-b677-e3a1f8591d3b,049e3c43-9c6e-491f-9fe3-4f8003afc224, ,0,"https://www.bbc.co.uk/programmes/b008hyk1
"
0,Kate Adie,Sun 5 Feb 1995,Canterbury Tales - Geoffrey Chaucer,Large Victorian bath with claw feet,"Violin Concerto No 1 in G minor, Op 26 (feat. Sakari Oramo & Royal Stockholm Philharmonic Orchestra)",Bailero from Songs of the Auvergne,Estuans interius (from Carmina Burana) ,The Wasps (Overture),Follow You Follow Me,"La Bohème, Act 3 finale",I Wonder As I Wander,Symphony No. 6 in E minor,"Daniel Hope, Max Bruch, Kungliga Filharmonikerna & Sakari Oramo",Joseph Canteloube,Carl Orff,"London Symphony Orchestra, Ralph Vaughan Williams & André Previn",Genesis,Giacomo Puccini,Durham Cathedral Choir,Ralph Vaughan Williams,Menuhin: The Early Victor Recordings. ,None,Carmina Burana. ,None,And Then There Were Three. ,None,Carols From Durham Cathedral. ,None,"
Sue Lawley's castaway is broadcaster Kate Adie.

Show more

", ,b932f5eb-dd3d-479d-b2a0-694cb61327bb,fb144a8f-99fc-4227-9ed1-5bbb54013484,0b3ee6cd-a2df-4144-adf9-7807ee7ecc4f,4f3b96ed-f1f1-4a68-be73-0e0657837096,8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,a693df4a-8762-4a45-b7fd-6695b558385e,cf931446-c8d6-4344-ada9-1e33ffb51809,4f3b96ed-f1f1-4a68-be73-0e0657837096, ,0,"https://www.bbc.co.uk/programmes/p0093qlf
"
0,Katharine Hamnett,Fri 26 May 1989,The I Ching,Aircraft carrier (to decorate),Rise To The Occasion,Big Head,The Trail Of The Lonesome Pine,You Can't Always Get What You Want,Walk This Way,Un bel dì vedremo ('One fine day') from Madame Butterfly Act 2,Bonjour Titi: Salut Sylvestre,Jerusalem,Climie Fisher,Max Bygraves,Laurel & Hardy With The Avalon Boys,The Rolling Stones,Run‐D.M.C. & Aerosmith,Giacomo Puccini,Titi & Sylvestre,"Hubert Parry, BBC National Chorus of Wales, BBC National Orchestra of Wales, Neeme Järvi & Amanda Roocroft",Now That What I Call Music I I/ Various. ,Max Bygraves/ Big Head. ,Single. ,None,None,Fans. ,Titi Et Ses Amis. ,All Through The Night. ,"
Sue Lawley's castaway is designer Katharine Hamnett.

Show more

", ,3f1f765d-8b6a-403f-a953-5a828a87ae28,5140b8a0-767d-4eec-a46e-701758996b8a,,b071f9fa-14b0-4217-8e97-eb41da73f598,5ecc3f72-20a6-47a0-8dc5-fb0b3dadeea0,a693df4a-8762-4a45-b7fd-6695b558385e,,e58a0544-2b32-47b2-955c-fa51887ec6c7, ,0,"https://www.bbc.co.uk/programmes/p009mdv2
"
0,Katharine Whitehorn,Fri 6 May 2005,A Short History of Nearly Everything - Bill Bryson,A machine to distil whatever is there,Follow Me,"Waltz in A flat major, Op. 42",Je Tire Ma Reverence,"Finlandia, Op 26",Ev'ry Time We Say Goodbye,Concerto for Two Violins in D minor - 2nd movement,Violin Concerto No. 3 in G major - 1st movement,"Impromptu in F minor, D 935 No 4",John Denver,Frédéric Chopin,Pascal Bastia,"Jean Sibelius, Oslo-Filharmonien & Mariss Jansons",Ella Fitzgerald,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Franz Schubert & Alfred Brendel,John Denver's Greatest Hits. ,Chopin: the Complete Waltzes. ,Je Tire Ma Révérence. ,Sibelius: Finlandia. ,Cool Summer Jazz. ,J S Bach: Concertos pour violin. ,Mozart. ,Schubert: Impromptus D.899 and D.935. ,"
Sue Lawley's castaway is journalist Katharine Whitehorn.

Show more

", ,34e10b51-b5c6-4bc1-b70e-f05f141eda1e,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,691b0e9d-9e57-41cf-932d-a3d21b068e75,54799c0e-eb45-4eea-996d-c4d71a63c499,24f1766e-9635-4d58-a4d4-9413f9f98a4c,b972f589-fb0e-474e-b64a-803b0364fa75,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p00935ql
"
0,Katharine Whitehorn,Mon 10 Oct 1966,Her favourite works - William Faulkner,Negligee,"Horn concerto No.3 in E flat major, K.447",Je Tire Ma Reverence,Violin Concerto No. 2 in E major,I'm Just A Country Boy,Piano Concerto No 21 In C,"Symphony No 7 in A major, Op 92",One Never Knows,"Concerto for Two Violins in D minor, BWV 1043","Wolfgang Amadeus Mozart, James Sommerville, CBC Radio Orchestra & Mario Bernardi",Jean Sablon,Johann Sebastian Bach,Harry Belafonte,Wolfgang Amadeus Mozart,"Ludwig van Beethoven, Daniel Barenboim & West-Eastern Divan Orchestra",The Modern Jazz Quartet,Johann Sebastian Bach & Arpad Gérecz,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is newspaper columnist Katharine Whitehorn.
Favourite track: Horn Concerto No 3 in E Flat Major by Wolfgang Amadeus MozartBook: Her favourite works by William FaulknerLuxury: Negligee
", ,b972f589-fb0e-474e-b64a-803b0364fa75,f3a6367f-ee45-43ce-856a-eccd8c538468,24f1766e-9635-4d58-a4d4-9413f9f98a4c,49c48b7f-1ff1-4f02-a1aa-ca1254b46ef2,b972f589-fb0e-474e-b64a-803b0364fa75,1f9df192-a621-4f54-8850-2c5373b7eac9,75472b2f-55ca-47bb-a192-5ac8601350ba,6d7f136d-985a-4189-80c1-e5ea92144803, ,0,"https://www.bbc.co.uk/programmes/p009y37g
"
0,Kathleen Hale,Fri 5 Jun 1998,A La Recherche Du Temps Perdu - Marcel Proust,"A djellaba, a robe made of gold cloth",Experiment,Rumba Azul,Maple Leaf Rag,La Sardana De Les Monges,Café Mozart Waltz,Khitay!,Annie's Song,"Well-Tempered Clavier, Book 1 - Fugue in C major",Gertrude Lawrence,Lecuona Cuban Boys,Scott Joplin (Joshua Rifkin - piano),La Principal De Perelada,Anton Karas,Chiraz,James Galway,Johann Sebastian Bach,None,None,The Scott Joplin Collection. ,None,None,None,Annie's Song And Other Galway Favorites. ,The Well Tempered Clavier. ,"
Sue Lawley's castaway is children's author Kathleen Hale.

Show more

", ,932a668a-b3b2-4a83-a45c-bf59758d4393,2ee580b9-1ee5-4bc2-8d28-2fdc1c5e8ede,aec8a328-d2e8-4780-b2ea-318c7f8d6f75,,c635851e-7da6-41cf-9a8a-4674f2c27d4a,,84045b93-beb0-4bc8-a855-93266ec6bbdc,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/p0093q57
"
