,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,L Hugh Newman,Mon 17 Sep 1962,Plays and Prefaces - George Bernard Shaw,Bed,Lazy,Eileen Oge,Du bist wie eine Blume (from Myrthen),"Piano Sonata in C minor, Op 13, 'Pathétique'",Lend me your aid (from The Queen of Sheba),East Side of Heaven,This is my lovely day,Stranger On The Shore,Layton & Johnstone,Barbara Mullen,Robert Schumann,Daniel Barenboim & Ludwig van Beethoven,Charles‐François Gounod,Bing Crosby,Georges Guetary & Lizbeth Webb,Acker Bilk,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is butterfly farmer L Hugh Newman.
Favourite track: Piano Sonata No 8 in C Minor by Ludwig van BeethovenBook: Plays and Prefaces by George Bernard ShawLuxury: Bed
", ,8d77193d-e064-4d2f-b33d-98e23613e3de,,3cd3882c-00f8-4362-a0c2-ad89ed248533,1f9df192-a621-4f54-8850-2c5373b7eac9,cd4636e1-06a3-41fc-848a-624b84bbb023,2437980f-513a-44fc-80f1-b90d9d7fcf8f,,47b06d12-32f0-4ef3-b2ce-7eab942eab8c, ,0,"https://www.bbc.co.uk/programmes/p009y5w2
"
0,L Marsland Gander,Mon 17 Mar 1969,Encyclopaedia,Telescope,Where the bee sucks (from The Tempest),Dinah,"Waltz in A flat major, Op. 42",For the merriest fellows (from The Gondoliers),Ride of the Valkyries (Die Walküre),English Country Garden,Why Must The Show Go On?,Fantasia on British Sea Songs,Robert Johnson,Savoy Orpheans,Frédéric Chopin,Gilbert & Sullivan,Richard Wagner,Jimmie Rodgers,Noël Coward,Henry Wood,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is journalist L Marsland Gander.
Favourite track: English Country Garden by Jimmie RodgersBook: EncyclopaediaLuxury: Telescope
", ,8162fd70-fb10-4747-b0d3-a556d3f5d3d2,4b3f47dd-391e-47ce-b37f-6136a6059b9c,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,d5bc8537-5bc5-4e37-915a-008c88436092,6aa4bb26-36f8-4a96-8328-4810a4e9a617,9c1a1171-1c95-472e-bb1f-9da89d19ea4a, ,0,"https://www.bbc.co.uk/programmes/p009y18b
"
0,Lady Antonia Fraser,Mon 2 Jun 1969,Aeneid (in Latin) - Virgil,Typewriter and paper,Grand March (Aida),Serbami ognor from Semiramide,La Mer,E lui! desso! L'infante! (from Don Carlos,A Scottish Soldier,"Brunnhilde's Immolation scene [from ""Gotterdammerung""]",Viola Sonata No. 1 in F minor,"Symphony no. 9 (Op.125) in D minor ""Choral""","Giuseppe Verdi, New York Philharmonic & Leonard Bernstein",Gioachino Rossini,"Charles Trenet, Charles Trenet & Guy Luypaert and His Orchestra",Giuseppe Verdi,Andy Stewart,Richard Wagner,Johannes Brahms,Ludwig van Beethoven,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Lady Antonia Fraser.
Favourite track: Symphony No 9 by Ludwig van BeethovenBook: Aeneid (in Latin) by VirgilLuxury: Typewriter and paper
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,846be3c9-5f94-46ab-97b9-531335dd3658,cf97f8c4-f287-4c0c-a07e-6ca2fdd8e8c2,f1bedf1f-4445-4651-9c35-f4a3f3860a13,4ad66ba7-770b-4cbb-b5b3-c489aa708101,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009y13b
"
0,Lady Diana Cooper,Mon 24 Mar 1969,Volumes of her autobiography - Lady Diana Cooper,"Bag of pillows, in which she will smuggle in her dog",Au Clair de Lune,Symphony No. 5 in C minor (feat. BBC Scottish Symphony Orchestra),Wotan puts Brünnhilde to sleep (from Die Walküre),The Miracle,The Two Grenadiers from Romances and Ballads Op.49 no.1,Les Sylphides (feat. Eugene Ormandy & Roy Douglas),Andaluza (Dance No. 5) (from Danzas españolas),Mad Dogs & Englishmen,Yvonne Printemps,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Richard Wagner,Engelbert Humperdinck,Robert Schumann,"The Philadelphia Orchestra, Fryderyk Chopin, Eugene Ormandy & Roy Douglas",Enrique Granados,Noël Coward,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer and actress Lady Diana Cooper.
Favourite track: Die Walkure - Wotan Puts Brunnhilde to Sleep by Richard WagnerBook: Volumes of her autobiographyLuxury: Bag of pillows, in which she will smuggle in her dog
", ,39ae962a-8747-4b0a-8a63-719dfd1b188c,1f9df192-a621-4f54-8850-2c5373b7eac9,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,30060b66-4ed3-47a5-89d7-cb4f13437441,3cd3882c-00f8-4362-a0c2-ad89ed248533,ff3fcff7-6c85-49d6-b954-ed7011a44e5a,e378c6b3-7d74-48b5-ab04-9aac0df7562c,6aa4bb26-36f8-4a96-8328-4810a4e9a617, ,0,"https://www.bbc.co.uk/programmes/p009y17t
"
0,Lady Eleanor Smith,Tue 5 Oct 1943,,,Tango Flamenco,Swan Lake,Prélude à l'après-midi d'un faune,Petrushka (feat. Josep Pons & BBC Symphony Orchestra),Air de la Lettre,The Three-Cornered Hat,La boutique fantasque,Forest Murmers from Siegfried,La Niña de los Peines,Pyotr Ilyich Tchaikovsky,"Claude Debussy, Philharmonia Orchestra & Pierre Boulez","Игорь Фёдорович Стравинский, BBC Symphony Orchestra & Josep Pons",Yvonne Printemps,Manuel de Falla,"BBC Philharmonic, Gioachino Rossini & Ottorino Respighi",Richard Wagner,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Lady Eleanor Smith.
", ,00010eb3-ebfe-4965-81ef-0ac64cd49fde,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,be50643c-0377-4968-b48c-47e06b2e2a3b,c278de2c-9696-4fdf-a919-0781cd945e2c,39ae962a-8747-4b0a-8a63-719dfd1b188c,17268036-f51c-427c-a8a2-241fac69d39f,92fc1517-7e49-44a0-9ca2-644e35b424c5,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f, ,0,"https://www.bbc.co.uk/programmes/p009y09w
"
0,Lady Margaret Tebbit,Fri 5 Jul 1996,Hillier's Dictionary of Plants - Hillier,An endless team of Man Fridays!,String of pearls,"Ach, ich fühl's (from The Magic Flute)",Just an Old-Fashioned Girl,Morning Has Broken,God Be In My Head,Trumpet Voluntary,My Way,Nocturne,Glenn Miller,Wolfgang Amadeus Mozart,Eartha Kitt,Cat Stevens,Harry Secombe,The Band of the Coldstream Guards,Frank Sinatra,Evert Taube,The Unforgettable. ,Die Zauberflote. ,Eartha-Quake Vol 2. ,Greatest Hits. ,I'll Walk With God. ,Regimental Marches Of The British Army. ,New York New York. ,Travels With My Cello Vol 2. ,"
Sue Lawley's castaway is wife of Norman Tebbit - Lady Margaret Tebbit.

Show more

", ,7b353d3c-2bd9-40e3-a21d-b7da3f941339,b972f589-fb0e-474e-b64a-803b0364fa75,02b4a39e-04c0-4eb7-a0eb-c919f3d14154,e2345fdf-2be7-47c5-a6dd-be64353ad134,adcfccd9-30fa-449b-a4bb-4c1e3312912c,c7cdb399-a9f6-45b7-9602-b9515723813d,197450cd-0124-4164-b723-3c22dd16494d,1bc834da-eb1d-4ee2-87df-0d04daceed08, ,0,"https://www.bbc.co.uk/programmes/p0093nzl
"
0,Lady Mosley,Fri 1 Dec 1989,A La Recherche Du Temps Perdu - Marcel Proust,Soft pillow,Symphony no. 41 in C major K.551 (Jupiter) (feat. English Chamber Orchestra & Daniel Barenboim),Casta Diva from Norma,Symphony No. 9 in D minor 'Choral' - Ode to Joy,Die Walküre,Liebestod (from Tristan and Isolde),L'amour est un oiseau rebelle (Habanera)(from Carmen),A Whiter Shade Of Pale,Polonaise in F sharp minor op.44,"Wolfgang Amadeus Mozart, Daniel Barenboim & English Chamber Orchestra",Vincenzo Bellini,Ludwig van Beethoven,Richard Wagner,Richard Wagner,Georges Bizet,Procol Harum,Frédéric Chopin,Mozart Symphony No. 41. ,Norma - Callas/Corelli. ,None,None,None,Bizet: Carmen. ,None,None,"
Sue Lawley's castaway is British Union of Fascists supporter Lady Mosley.

Show more

", ,b972f589-fb0e-474e-b64a-803b0364fa75,6f5bfd20-84cc-4879-8a40-05631ad576c7,1f9df192-a621-4f54-8850-2c5373b7eac9,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,9bd20e6a-b41d-4983-a5b6-c0ff849fa235,44119570-4d53-46e7-a447-bd18608c28d8,09ff1fe8-d61c-4b98-bb82-18487c74d7b7, ,0,"https://www.bbc.co.uk/programmes/p009mdck
"
0,Lady Natasha Spender,Fri 1 Feb 2008,,,Partita for Keyboard No. 1 in B flat major - 3rd movement,String Quintet in G minor K516: 1st movement,Unde ob die Wolke (from Der Freischütz),The Prisoners Chorus (from Fidelio),Piano Concerto No.2 in B Flat,"Gee, Officer Krupke (from West Side Story)",Piano Sonata - 1st movement,Clarinet Quintet in A major,Johann Sebastian Bach,Wolfgang Amadeus Mozart,Carl Maria von Weber,Ludwig van Beethoven,Ludwig van Beethoven & Christian Ihle Hadland,Leonard Bernstein,Samuel Barber,Wolfgang Amadeus Mozart,Bach: Piano Works. ,Mozart: String Quintets. ,"Tiana Lemnitz: Arias by Mozart, Weber, Wagner & Verdi. ",Beethoven: Fidelio. ,"Beethoven: Concerto No 2 in B flat recorded at the Royal Albert Hall, 26 July 1957. ",West Side. ,Horowitz plays Prokofiev - Barber-Kabalevsky. ,Mozart/Brahms: Clarinet Quintets. ,"
Kirsty Young invites the former classical pianist and widow of Sir Stephen Spender, Lady Natasha Spender, to choose eight records to take to Radio 4's mythical desert island.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,b972f589-fb0e-474e-b64a-803b0364fa75,c2d17829-1424-435b-9386-c77d3a920abe,1f9df192-a621-4f54-8850-2c5373b7eac9,1f9df192-a621-4f54-8850-2c5373b7eac9,fa39bc82-9b27-4bbb-9425-d719a72e09ac,74ed34ce-ee95-44e9-a87d-4d2d5056c24a,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/b00772lv
"
0,Lady Redgrave,Fri 5 May 1989,Jane Eyre - Charlotte Bronte,Case of champagne,"Piano Quintet in A major, D667 'Trout'",Water Music - Andante,If the Heart of a Man,The Four Seasons: 'Spring',What Do The Simple Folk Do?,Adam lay i-bounden (from Ceremony of Carols),Symphony No. 5 in C sharp minor- 4th movement (Adagietto),Werther Overture,Vienna Piano Trio & Franz Schubert,George Frideric Handel,Michael Redgrave,Antonio Vivaldi,Richard Harris,Benjamin Britten,Gustav Mahler,Jules Massenet,Schubert:Quintet In A Major. ,Handel: Water Music. ,None,Vivaldi: Four Seasons. ,Camelot. ,Britten: Ceremony Of Carols. ,Death In Venice. ,Massenet: Werther. ,"
Sue Lawley's castaway is actress Lady Redgrave.

Show more

", ,f1b5bad1-582c-4808-811c-603f7bfb5e3d,27870d47-bb98-42d1-bf2b-c7e972e6befc,4c088473-b572-417a-97b3-a9ced38449d9,ad79836d-9849-44df-8789-180bbc823f3c,9a976838-8e77-4065-bdbb-748d17ad773b,49ae5227-605a-47a8-9b8e-cd89bf01a97c,8d610e51-64b4-4654-b8df-064b0fb7a9d9,85d783d6-6795-4726-b817-9d83095ad7be, ,0,"https://www.bbc.co.uk/programmes/p009mdxb
"
0,Lady Soames,Fri 3 Sep 1993,Memories From Beyond The Grave - Chateaubriand,Supply of fine Havana cigars,Symphony no. 6 in F major  Op.68 (Pastoral) (feat. Frans Brüggen),Cantata No.147 'Herz und Mund und tat und Leben' p00n3hg6,A nightingale sang in Berkeley Square,To His Coy Mistress,The Battle Hymn of the Republic,"Impromptu in A flat major, D 899 No 4 (feat. Maria João Pires)",Let the bright seraphim from Act 3 of Samson,O Worship The King,"Orchestra of the Eighteenth Century, Ludwig van Beethoven & Frans Brüggen",Johann Sebastian Bach,Carroll Gibbons,Richard Pasco,Julia Ward Howe,Franz Schubert & Maria João Pires,George Frideric Handel,Huddersfield Choral Society,Beethoven: The Nine Symphonies. ,John Ogdon And Brenda Lucas: Music For 2 Pianos. ,The Vintage Bands. ,Best Loved Verse Read By Gwen Watford And Richard Pasco. ,God Bless America. ,Schubert: Impromptus D 899 & D 935. ,Kiri Te Kanawa 'Ave Maria'. ,The Hymns Album - Huddersfield Choral Society. ,"
Sue Lawley's castaway is the writer Mary Soames.

Show more

", ,818b4526-69e0-4ce8-96ff-4586af1ef1f4,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4e7dd2df-b290-4586-a5dc-7576885c662d,,ed923caf-b8cc-4a37-8c1c-4ca94805e29a,f91e3a88-24ee-4563-8963-fab73d2765ed,27870d47-bb98-42d1-bf2b-c7e972e6befc,20bfe444-0cc4-400e-a986-7a28c300a38e, ,0,"https://www.bbc.co.uk/programmes/p0093y56
"
