,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,M M Kaye,Fri 6 Jan 1984,Indian Tales - Rudyard Kipling,Writer's kit,Valse Bleu,Rustle Of Spring,Me And My Shadow,Parlez-Moi D'Amour,Nola,A Bench In The Park,Je Tire Ma Reverence,Julie's Theme,Orchestra Mascotte,John Ogdon,“Whispering” Jack Smith,Lucienne Boyer,The Billy Mayerl Rhythm Ensemble,Bing Crosby & The Rhythm Boys,Pascal Bastia,Jerry Lanning,None,None,1928. ,Das Grosse Wunschkonzert. ,None,The King of Jazz. ,Gentlemen of Paris. ,None,"
Roy Plomley's castaway is illustrator M M Kaye.

Show more

", ,,a9725139-c789-4e4f-9278-62d39d14198f,a7cbadfc-4caa-4f64-b40f-a548e1b4c78f,794f27ad-ad32-4a88-b390-79d0141773ca,,,,078b47c4-04dd-4211-858a-90f6bec1e686, ,0,"https://www.bbc.co.uk/programmes/p009mhwj
"
0,Mabel Constanduros,Mon 20 Mar 1944,,,Träumerei (from Scenes from Childhood),Water Boy,Andaluza (Dance No. 5) (from Danzas españolas),Stately Homes Of England,"Etude In F major, Op. 25/3",Prelude in D flat major Op.28 No.15 'Raindrop',Serenade (from Hassan),The Road to the Isles,Robert Schumann,Paul Robeson,Enrique Granados,Noël Coward,Frédéric Chopin,Frédéric Chopin,Frederick Delius,Stuart Robertson,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Mabel Constanduros.
", ,3cd3882c-00f8-4362-a0c2-ad89ed248533,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,e378c6b3-7d74-48b5-ab04-9aac0df7562c,6aa4bb26-36f8-4a96-8328-4810a4e9a617,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,2a006dfe-a7af-46d1-b38f-8c1d90dd230d,3b700f20-d164-49e3-915a-c728351f72e9, ,0,"https://www.bbc.co.uk/programmes/p009y072
"
0,MacDonald Hastings,Mon 16 Aug 1965,Field guide to flora and fauna on the island,Handkerchiefs,Echo Song,The Mikado,Song of the Flea,Song of the Vagabonds from The Vagabond King,La vie en rose,A Bachelor Gay from The Maid of the Mountains,La Mer,Mass in B minor  - Gloria in excelsis,Amelita Galli-Curci,Gilbert & Sullivan,Modest Mussorgsky,Alfred Drake,Édith Piaf,John Hanson,"Charles Trenet, Charles Trenet & Guy Luypaert and His Orchestra",Johann Sebastian Bach,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is journalist and novelist MacDonald Hastings.
Book: Field guide to flora and fauna on the islandLuxury: Handkerchiefs
", ,df255da5-82a8-4a5e-b79c-a07c86bba92c,,c1380b12-3909-47d8-a5fd-d20e76123310,453810ec-0d43-4c54-afe8-fc319119c4fb,4f8ef4a3-40fa-46b5-8773-97686a8424f4,,cf97f8c4-f287-4c0c-a07e-6ca2fdd8e8c2,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/p009y3yy
"
0,Madame (Lilian) Stiles-Allen,Mon 25 Jan 1971,The Science of Mind - Ernest Holmes,Piano,Serenade to Music,Rhapsody in Blue,Lazy Afternoon,"Symphony No 8 in B minor, 'Unfinished' (2nd mvt) (feat. Carlos Kleiber)",Vissi d'arte from Tosca,Standchen from Schwanengesang,Liebestod (from Tristan and Isolde),Hallelujah Chorus - Messiah,Ralph Vaughan Williams,"George Gershwin (Benjamin Grosvenor - piano, Royal Liverpool Philharmonic Orchestra, coducted by James Judd)",Julie Andrews,"Wiener Philharmoniker, Franz Schubert & Carlos Kleiber",Giacomo Puccini,Franz Schubert,Richard Wagner,George Frideric Handel,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is soprano Madame (Lilian) Stiles-Allen.
Favourite track: Liebestod by Richard WagnerBook: The Science of Mind by Ernest HolmesLuxury: Piano
", ,4f3b96ed-f1f1-4a68-be73-0e0657837096,65744963-191a-44ef-a3c7-b693a808a158,16bdc7b3-6bfc-4f1c-89ad-d0756af40327,d770374d-05e9-4ed3-a068-3fbd4e6e4dd6,a693df4a-8762-4a45-b7fd-6695b558385e,f91e3a88-24ee-4563-8963-fab73d2765ed,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,27870d47-bb98-42d1-bf2b-c7e972e6befc, ,0,"https://www.bbc.co.uk/programmes/p009ndc0
"
0,Madhur Jaffrey,Fri 1 Feb 1985,Blank book,Whiskey,"Organ Concerto in B flat, Op.7 no.3 (feat. Menuhin Festival Orchestra, Yehudi Menuhin & Simon Preston)",La vie en rose,Don't Be Cruel,Sindhu Bhairavi,Orpheus,Violin Concerto - 1st Movement,My favourite things,Funeral Music for Queen Mary: March,"George Frideric Handel, Menuhin Festival Orchestra, Yehudi Menuhin & Simon Preston",Victor Silvester & His Ballroom Orchestra,Elvis Presley,Ravi Shankar,Igor Stravinsky,Roque Cordero,Richard Rodgers & Oscar Hammerstein II,"Henry Purcell, Sir John Eliot Gardiner, Monteverdi Choir, Monteverdi Orchestra & Equale Brass Ensemble",None,None,None,Duets. ,None,None,None,None,"
Roy Plomley's castaway is actress and broadcaster Madhur Jaffrey.

Show more

", ,27870d47-bb98-42d1-bf2b-c7e972e6befc,6f006aa9-47ed-488d-b76f-7a2ef40d77d7,01809552-4f87-45b0-afff-2c6f0730a3be,697f8b9f-0454-40f2-bba2-58f35668cdbe,c278de2c-9696-4fdf-a919-0781cd945e2c,,,ddea5540-2c7d-4266-8507-b367c2635d35, ,0,"https://www.bbc.co.uk/programmes/p009mn8y
"
0,Maeve Binchy,Fri 15 Jun 1990,Teach Yourself Bridge,Photograph album,Carrickfergus,Take Five,Non Je Ne Regrette Rien,The Brendan Theme,They'll Never Believe Us,American Pie,St. Louis Blues,Carmina Burana,Sean O'Se,The Dave Brubeck Quartet,Édith Piaf,Liam O’Flynn,The Cast Of Oh! What A Lovely War,Don McLean,Ella Fitzgerald,Carl Orff,O Riada Sa Gaiety. ,Time Out: The Dave Brubeck Quartet. ,The Legendary Edith Piaf. ,The Brendan Voyage. ,Oh! What A Lovely War/ Soundtrack. ,Born On The 4th July. ,Ella In Rome. ,Orff/Carmina Burana. ,"
Sue Lawley's castaway is novelist Maeve Binchy.

Show more

", ,4821114b-39b8-4e19-b3a6-25525c951449,7bf711e9-4e69-4e08-b6e8-c0cb5805f1e7,4f8ef4a3-40fa-46b5-8773-97686a8424f4,ca0e1bd6-541b-4a47-851f-35750b332783,,fa19ee38-c2a9-4ed1-9b24-a18100cf9db3,54799c0e-eb45-4eea-996d-c4d71a63c499,0b3ee6cd-a2df-4144-adf9-7807ee7ecc4f, ,0,"https://www.bbc.co.uk/programmes/p009404y
"
0,Maggi Hambling,Fri 23 Dec 2005,The Complete Works of Just William - Richmal Crompton,"A wine cellar from All Soul's, Oxford",Lady Bracknell's Speech,Then I'll Be Happy (with the John Chilton's Feetwarmers),Dear Lord and Father of mankind,You Don't Have To Say You Love Me,"String Quartet No 14 in C sharp minor, Op 131",Let's Do It,Lacrimosa (from War Requiem),Running Wild,Micháel mac Liammóir,George Melly,St Paul’s Cathedral Choir,Dusty Springfield,Ludwig van Beethoven & Belcea Quartet,Noël Coward,Benjamin Britten,Marilyn Monroe,From The Importance of Being Oscar - one man show. ,Anything Goes. ,Music of St Paul’s Cathedral. ,25 Years of Rock and Roll: 1966. ,Beethoven: The Complete String Quartets. ,The Noël Coward Album. ,War Requiem. ,Some Like It Hot Soundtrack. ,"
Sue Lawley's castaway is artist Maggi Hambling.

Show more

", ,,7f8e0c3d-c901-4fc9-b4c0-ae0c46fbe814,287ae3b9-72af-4a45-94eb-ef51473d635f,b896aa8c-2761-40ce-b485-0e1fffd26167,1f9df192-a621-4f54-8850-2c5373b7eac9,6aa4bb26-36f8-4a96-8328-4810a4e9a617,49ae5227-605a-47a8-9b8e-cd89bf01a97c,6e60deeb-a666-42c5-95cb-a5eada6bbbe5, ,0,"https://www.bbc.co.uk/programmes/p009385k
"
0,Maggie Aderin-Pocock,Fri 12 Mar 2010,Star Maker - Olaf Stapledon,A telescope,Moondance,"Brandenburg Concerto no 2 in F major, BWV 1047",The First and Second Law of Thermodynamics,(Something Inside) So Strong,When I am laid in earth (Dido's Lament) (from Dido and Aeneas),As,Where's Your Head At,Fragile,Van Morrison,Benjamin Britten & Johann Sebastian Bach,Flanders and Swann,Labi Siffre,Henry Purcell,Stevie Wonder,Basement Jaxx,Sting,Van Morrison: Still on Top –The Greatest Hits. ,Bach: Brandenburg Concertos/Suites for Orchestra. ,Complete Flanders and Swann. ,The Best of Labi Siffre. ,Dido and Aeneas. ,Stevie Wonder: Songs in the Key of Life – Vol 1 & 2. ,Basement Jaxx. Where’s Your Head At. ,Fields of Gold – the Best of Sting 1984-1994. ,"
Kirsty Young's castaway is space scientist Maggie Aderin-Pocock.

Show more

", ,a41ac10f-0a56-4672-9161-b83f9b223559,24f1766e-9635-4d58-a4d4-9413f9f98a4c,969dc50b-baf0-4d90-911b-35a0e9f95915,6838ca8e-da88-436c-a0fd-6d3a7e832f1f,ddea5540-2c7d-4266-8507-b367c2635d35,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,28cbf94d-0700-4095-a188-37e373b069a7,7944ed53-2a58-4035-9b93-140a71e41c34, ,0,"https://www.bbc.co.uk/programmes/b00r33mq
"
0,Maggie Fitzgibbon,Mon 27 Jan 1969,The Birdman of Alcatraz - Robert Stroud,Alabaster cherub,I Won't Dance,"Polonaise in A major, Op.40'1 ""Military""",Let's Do It,"Ah, fors' è lui (from La traviata)",Where is the Life That Late I Led?,Courtroom Scene (from A Man for All Seasons),Paddlin' Madelin' Home,Romeo & Juliet Fantasy Overture,Frank Sinatra & Count Basie,Frédéric Chopin,Noël Coward,Giuseppe Verdi,Alfred Drake,Paul Scofield,Graham 'Smacka' Fitzgibbon,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Maggie Fitzgibbon.
Favourite track: Paddlin' Madelin' Home by Graham 'Smacka' FitzgibbonBook: The Birdman of Alcatraz by Robert StroudLuxury: Alabaster cherub
", ,,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,6aa4bb26-36f8-4a96-8328-4810a4e9a617,f1bedf1f-4445-4651-9c35-f4a3f3860a13,453810ec-0d43-4c54-afe8-fc319119c4fb,,,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009y1c4
"
0,Maggie Smith,Mon 13 Nov 1972,Encyclopaedia Britannica,Sun-barrier cream and a straw hat,Clarinet Quintet in A major,Kathleen Mavourneen,Raindrops Keep Falling on my Head,Let Me Not to the Marriage of True Minds (Sonnet 116),Azualao,La vie en rose,A Bar On The Piccola Marina,Concerto for Oboe and violin – 2nd mvt,Wolfgang Amadeus Mozart,John McCormack,Sacha Distel,William Shakespeare,Salli Terri,Édith Piaf,Noël Coward,Johann Sebastian Bach,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Maggie Smith.
Favourite track: Let Me Not To The Marriage Of True Minds by William ShakespeareBook: Encyclopaedia BritannicaLuxury: Sun-barrier cream and a straw hat
", ,b972f589-fb0e-474e-b64a-803b0364fa75,22c3d1de-793c-4094-b60a-26775617c14b,ed1798ac-118a-4c3e-97d3-47aa1fa0a76a,a4ba11db-ae2b-4ec3-9084-2136db11acfa,25d99c93-9ed9-4ff8-9fa8-2e2951839d47,4f8ef4a3-40fa-46b5-8773-97686a8424f4,6aa4bb26-36f8-4a96-8328-4810a4e9a617,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/p009nb2d
"
