,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,Oda Slobodskaya,Mon 5 Dec 1960,The plays - Sheridan,Radio receiver,Battle of Kershenetz (from The Legend of the Invisible City of Kitezh),Russian Maiden's Song (from Mavra),Richard Wagner - Tannhauser: Overture,Fanfare (from Les Illuminations),"On the golden cornfields, Op.57/2","Vocalise, Op 34 No 14 (feat. Alexei Grynyuk)",The Miller's Aria (from The Rusalka),"Powder and Paint, Op.41/3",Nikolai Rimsky-Korsakov,Igor Stravinsky,Richard Wagner,Benjamin Britten,Pyotr Ilyich Tchaikovsky,"Leonard Elschenbroich, Сергей Васильевич Рахманинов & Alexei Grynyuk",Feodor Chaliapin,Sergei Rachmaninov,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is soprano Oda Slobodskaya.
Favourite track: Powder and Paint by Sergei RachmaninovBook: The plays by SheridanLuxury: Radio receiver
", ,4cfe7051-f649-4d07-83b3-7a732abe7249,c278de2c-9696-4fdf-a919-0781cd945e2c,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,49ae5227-605a-47a8-9b8e-cd89bf01a97c,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,d49d7747-5d61-4b56-a765-52b14d696c42,0ffcc552-fc9d-4b79-a6d5-b78912a7cdfb,44b16e44-da77-4580-b851-0d765904573e, ,0,"https://www.bbc.co.uk/programmes/p009y6ww
"
0,Oleg Gordievsky,Fri 15 Feb 2008,Encyclopaedia Britannica,Good toiletries for my bath,Piano Concerto No. 21 in C major - 2nd movement (feat. Murray Perahia & English Chamber Orchestra),Song of the Volga Boatmen,Liebestod (from Tristan and Isolde),Peter,Herma,1st Movement of String Quartet in E flat Major,St Matthew Passion 'Erbarme Dich',Berliner Luft,"Wolfgang Amadeus Mozart, English Chamber Orchestra & Murray Perahia",Feodor Chaliapin,Richard Wagner,Marlene Dietrich,Iannis Xenakis,Ludwig van Beethoven,Johann Sebastian Bach,Paul Lincke,Mozart: Piano Concertos Nos 23 & 27. ,Bass of the Century. ,Tristan und Isolde. ,The Essential Marlene Dietrich. ,Chamber Works 1955-1990. ,Beethoven: quartets op 59 & op 74. ,Bach: St Matthew Passion. ,Classical Spectacular: Berlin Philharmonic. ,"
Kirsty Young's castaway is former spy Oleg Gordievsky.

Show more

", ,b972f589-fb0e-474e-b64a-803b0364fa75,0ffcc552-fc9d-4b79-a6d5-b78912a7cdfb,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,191cba6a-b83f-49ca-883c-02b20c7a9dd5,4083d781-7973-4717-8e1b-0f8786437709,1f9df192-a621-4f54-8850-2c5373b7eac9,24f1766e-9635-4d58-a4d4-9413f9f98a4c,2c2af4be-6209-42d8-866f-235209ad7372, ,0,"https://www.bbc.co.uk/programmes/b008wv25
"
0,Oliver Ford,Mon 7 Mar 1977,Volume on tropical flora and fauna,Orchid collection,Aquarius,Royal Air Force March Past,In questa reggia (Turandot),Little Old Lady,What Kind Of Fool Am I?,Jerusalem,"Wing Commander Hancock, Test Pilot (from Hancock's Half Hour)",Pomp & Circumstance March No 1 in D major (Land of Hope and Glory),The Button Down Brass,Central Band of the Royal Air Force,Giacomo Puccini,Turner Layton,Anthony Newley,"Hubert Parry, BBC National Chorus of Wales, BBC National Orchestra of Wales, Neeme Järvi & Amanda Roocroft",Tony Hancock & Kenneth Williams,Sir Edward Elgar & BBC Symphony Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is designer Oliver Ford.
Favourite track: Pomp and Circumstance March No. 1 in D Major by Edward ElgarBook: Volume on tropical flora and faunaLuxury: Orchid collection
", ,00d3c986-5e57-40d1-beed-eb1e8f6b6ca4,57553273-8d0b-43be-8a94-10f1598f3ab3,a693df4a-8762-4a45-b7fd-6695b558385e,5750d86a-bea0-4361-8147-f32b04fe73df,9a93190b-3e24-4586-bc10-aefd1ad8de01,e58a0544-2b32-47b2-955c-fa51887ec6c7,,4e60a56a-514a-4a19-a3cc-49927c96b3cb, ,0,"https://www.bbc.co.uk/programmes/p009mzwl
"
0,Oliver Messel,Mon 5 May 1958,,,Introducing Marlene Dietrich at the Café de Paris,Sleeping Beauty- Rose Adagio (Act 1),I Am In Love,"Zeffiretti lusinghieri (from Idomeneo) (feat. Glyndebourne Festival Orchestra, Sena Jurinac & Fritz Busch)",O voto trememdo (from Idomeneo),"Porgi, amor (The Marriage of Figaro)","The Marriage of Figaro, Act II finale",Bamboo Cage,Noël Coward,Pyotr Ilyich Tchaikovsky,Ella Fitzgerald,"Wolfgang Amadeus Mozart, Sena Jurinac, Glyndebourne Festival Orchestra & Fritz Busch",Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Dolores Harper & Ada Moore,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is stage designer Oliver Messel.
Luxury: Painting materials
", ,6aa4bb26-36f8-4a96-8328-4810a4e9a617,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,54799c0e-eb45-4eea-996d-c4d71a63c499,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,b972f589-fb0e-474e-b64a-803b0364fa75,, ,0,"https://www.bbc.co.uk/programmes/p009y89d
"
0,Oliver Postgate,Fri 20 Jul 2007,Huge book of English Poetry,A comfortable bed,"Brandenburg Concerto no 2 in F major, BWV 1047",The Lass with the Delicate Air,Summer Evening,When the Saints Come Marching In,Graculus's Memory Music,"Steppe, Oh Steppe Around",Introspection Two,Non Je Ne Regrette Rien,Benjamin Britten & Johann Sebastian Bach,Josh White,Frederick Delius,Pete Fountain,The Vernon Elliot Ensemble,Pyatnitsky State Russian Folk Choir,Thijs van Leer,Édith Piaf,Brandenburg Concertos Nos 1- Bath Festival Orchestra. ,Ballads & Blues. ,Delius - Orchestral Works. ,Pete Fountain’s New Orleans. ,Graculus’s Memory Music. ,Moonlight Over Moscow. ,Thijs Van Leer/Introspection. ,Edith Piaf: Legends of the 20th Century. ,"
Kirsty Young's castaway is animator Oliver Postgate.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,f0b3af36-a38b-4e5e-bf9a-d25ae11ca741,2a006dfe-a7af-46d1-b38f-8c1d90dd230d,8c72d1ca-f10e-44db-8c8c-b7176313eaf8,96cded8f-7f8b-466d-a549-0611f59b2b8d,,df5689df-ee1c-4ed8-801c-6c5494e95981,4f8ef4a3-40fa-46b5-8773-97686a8424f4, ,0,"https://www.bbc.co.uk/programmes/b007snc7
"
0,Oliver Reed,Mon 2 Dec 1974,Winnie the Pooh - A.A. Milne,Inflatable rubber woman,Soliloquy,Piano Concerto No 21 In C,Jardins sous la pluie (No.3 from Estampes),In The Heat Of The Night,Ecstasy,The Lady Came From Baltimore,Singin' in the Rain,The First Noel,Frank Sinatra,Wolfgang Amadeus Mozart,Claude Debussy & Leif Ove Andsnes,Ray Charles & Quincy Jones,Ben E. King,Tim Hardin,Gene Kelly,King's College Chapel Choir,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Oliver Reed.
Favourite track: Jardins Sous La Pluie by Claude DebussyBook: Winnie the Pooh by A.A. MilneLuxury: Inflatable rubber woman
", ,197450cd-0124-4164-b723-3c22dd16494d,b972f589-fb0e-474e-b64a-803b0364fa75,be50643c-0377-4968-b48c-47e06b2e2a3b,,837555ba-012e-45f1-9a9c-9628da13ee54,8f4be405-84d5-4cac-bdf9-bf02d9e04962,aaff7c7e-5793-4fa7-9a7c-9af3b45e8132,, ,0,"https://www.bbc.co.uk/programmes/p009n73z
"
0,Oliver Sacks,Fri 9 Sep 1994,Dictionary of Musical Themes,Scuba diving kit,The Golden Road (To Unlimited Devotion),Mass in B Minor: Et Incarnatus est,Chu Chin Chow Here Be Oysters,Mazurka in B flat major Op 7'1,"Don Giovanni Act 2, Scene 5",The Encantadas,"13 Variations on Trockne Blumen, D802","String Quartet No 14 in C sharp minor, Op 131",Grateful Dead,Johann Sebastian Bach,Martin Lawrence,Frédéric Chopin,Wolfgang Amadeus Mozart,Tobias Picker,Franz Schubert,Ludwig van Beethoven & Belcea Quartet,The Best Of Skeletons In The Closet. ,Mass In B Minor. ,Chu Ching Chow. ,The Chopin Collection - The Mazurkas. ,Don Giovanni. ,Tobias Picker: The Encantadas/Romances & Interlude. ,None,Beethoven: The String Quartets. ,"
Sue Lawley's castaway is neurologist and writer Oliver Sacks.

Show more

", ,6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,24f1766e-9635-4d58-a4d4-9413f9f98a4c,40e45458-559a-4081-beec-6bfb587ab704,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,b972f589-fb0e-474e-b64a-803b0364fa75,a347300b-3506-4718-a8ce-b7dfc00b39b1,f91e3a88-24ee-4563-8963-fab73d2765ed,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p0093r1l
"
0,Olivia Manning,Mon 25 Aug 1969,Growth and Form - D'Arcy Thompson,Clue to buried treasure,Romany Violin,She moved through the fair,The Swan of Tuonela,Clarinet Quintet in A major,Penny Lane,Allegro Bouzouki,Dance of the Blessed Spirits (Orpheus and Euridice),Song of the Plains,Laszio Tabor and his Orchestra,John McCormack,"Osmo Vänskä, Sinfonia Lahti & Jean Sibelius",Wolfgang Amadeus Mozart,The Beatles,Γιώργος Ζαμπέτας,Wilhelm Kempff & Christoph Willibald Gluck,Alexandrov Song & Dance Ensemble,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is novelist Olivia Manning.
Favourite track: The Swan of Tuonela (Opus 22 No 2) by Jean SibeliusBook: Growth and Form by D'Arcy ThompsonLuxury: Clue to buried treasure
", ,,22c3d1de-793c-4094-b60a-26775617c14b,691b0e9d-9e57-41cf-932d-a3d21b068e75,b972f589-fb0e-474e-b64a-803b0364fa75,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,3f6f7251-c21a-468f-8e7c-ef862aa96016,095311b3-786f-4905-af19-03ae6b242a57,, ,0,"https://www.bbc.co.uk/programmes/p009y0z1
"
0,Omar Sharif,Tue 17 Jan 1978,The Little Prince - Antoine de Saint-Exupery,Several decks of cards,All The Way,Wasted,Nevertheless (I'm in Love With You),Wish You Were Here,La vie en rose,Seul Sur Son Etoile,Don't Rain On My Parade,Let The Music Play,Frank Sinatra,Donna Summer,Liza Minnelli,Pink Floyd,Édith Piaf,Gilbert Bécaud,Barbra Streisand,Barry White,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Omar Sharif.
Favourite track: All The Way by Frank SinatraBook: The Little Prince by Antoine de Saint-ExuperyLuxury: Several decks of cards
", ,197450cd-0124-4164-b723-3c22dd16494d,b60527cc-54f3-4bbe-a01b-dcf34c95ae14,34cdf83c-0ba8-4411-814f-c3ef44588521,83d91898-7763-47d7-b03b-b92132375c47,4f8ef4a3-40fa-46b5-8773-97686a8424f4,e9a4b76a-cf82-46f5-a166-e93473624189,56cd15a1-0d74-438b-8244-c96ffe1cae03,b904d624-9e05-4398-8f4f-88fbcf022f79, ,0,"https://www.bbc.co.uk/programmes/p009mz30
"
0,Osian Ellis,Mon 1 Jul 1974,Collection of Welsh Poetry,Electronic pipe organ,Watching The Wheat,"Symphony no. 9 (Op.125) in D minor ""Choral""",Just one of those things,Ist ein Traum (Act 3 Duet Finale) from Der Rosenkavalier),Daphnis and Chloe,"Concerto for Two Violins in D minor, BWV 1043",Deo Gracias (from Ceremony of Carols),Madwoman's prayer (from Curlew River),Brychan Powell,Ludwig van Beethoven,Frank Cordell and his Orchestra,Richard Strauss,Maurice Ravel,Johann Sebastian Bach & Arpad Gérecz,Benjamin Britten,Benjamin Britten,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is harpist Osian Ellis.
Favourite track: Mad Woman's Prayer by Benjamin BrittenBook: Collection of Welsh PoetryLuxury: Electronic pipe organ
", ,,1f9df192-a621-4f54-8850-2c5373b7eac9,,4cb43d82-824e-4034-b03d-1a98f36f6e16,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,6d7f136d-985a-4189-80c1-e5ea92144803,49ae5227-605a-47a8-9b8e-cd89bf01a97c,49ae5227-605a-47a8-9b8e-cd89bf01a97c, ,0,"https://www.bbc.co.uk/programmes/p009n7q3
"
