,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,P D James,Fri 1 Nov 2002,War and Peace - Leo Tolstoy,Pencils and paper,"St Matthew Passion - Kommt, ihr Töchter",Agnus Dei (from Requiem),A String of Pearls,J'attendrai,Concerto for Two Trumpets in C major,Extract from Importance of Being Earnest,Ave Verum Corpus,Is life a boon? (from The Yeoman of the Guard),Johann Sebastian Bach,Gabriel Fauré,Gerry Grey,Jean Sablon,Antonio Vivaldi,Oscar Wilde,Wolfgang Amadeus Mozart,Gilbert & Sullivan,St Matthew Passion. ,Faure's Requiem. ,The Glen Miller Story. ,25 Continental All Time Greats. ,Baroque Weekend. ,Voice of Poetry. ,Classics - Carols. ,None,"
Sue Lawley's castaway is crime writer and conservative life peer P D James.

Show more

", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,fa19a8b6-e7f4-40d4-af15-7a7c41ac7d8f,,f3a6367f-ee45-43ce-856a-eccd8c538468,ad79836d-9849-44df-8789-180bbc823f3c,ca8acd72-3ea4-4b15-baf0-49bf9ab60d53,b972f589-fb0e-474e-b64a-803b0364fa75,, ,0,"https://www.bbc.co.uk/programmes/p00947h9
"
0,P D James,Fri 26 Nov 1982,Middlemarch - George Eliot,Claret,Agnus Dei (from Requiem),"Come again, sweet love",Lady Bracknell Interviews John Worthing (from The Importance Of Being Earnest),The Dream of Gerontius Op.38,Mad Dogs & Englishmen,St Matthew Passion:  Wir setzen uns mit Tränen nieder,Tom Bowling,Trumpet Concerto in D major,Gabriel Fauré,John Dowland,Oscar Wilde,Edward Elgar,Noël Coward,Johann Sebastian Bach,Charles Dibdin,Georg Philipp Telemann,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer P D James.
Favourite track: St Matthew Passion (First Chorus) by Johann Sebastian BachBook: Middlemarch by George EliotLuxury: Claret
", ,fa19a8b6-e7f4-40d4-af15-7a7c41ac7d8f,7c6ef060-fe44-4c66-ae6d-a86791abaf09,ca8acd72-3ea4-4b15-baf0-49bf9ab60d53,4e60a56a-514a-4a19-a3cc-49927c96b3cb,6aa4bb26-36f8-4a96-8328-4810a4e9a617,24f1766e-9635-4d58-a4d4-9413f9f98a4c,d86be77c-532a-47bf-bfb3-5228d2bfc842,8f831f50-e409-47c3-8598-71a61bc8cfb3, ,0,"https://www.bbc.co.uk/programmes/p009mk60
"
0,P J Kavanagh,Mon 9 Dec 1974,Collected poems - Edward Thomas,Pair of shoes,Biddy Mulligan,Partita for solo violin no.2 in D minor (BWV.1004),Knickerbocker Holiday,At Dawning,Cosi fan Tutte,Do It The Hard Way,"Piano Sonata No.23 in F minor (Op.57) ""Appassionata""",Balinese Gamelan Music,Jimmy O'Dea & Harry O'Donovan,Johann Sebastian Bach,Walter Huston,Paul Robeson,Wolfgang Amadeus Mozart,Kenneth Remo,Ludwig van Beethoven,Gamelan Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is novelist P J Kavanagh.
Favourite track: Partita No 2 in D Minor by Johann Sebastian BachBook: Collected poems by Edward ThomasLuxury: Pair of shoes
", ,,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4ee8c019-7952-427d-af09-378df44c9302,bbc5febe-0321-4bb2-adcd-8dafbf8d8841,b972f589-fb0e-474e-b64a-803b0364fa75,,1f9df192-a621-4f54-8850-2c5373b7eac9,, ,0,"https://www.bbc.co.uk/programmes/p009n73p
"
0,P L Travers,Mon 23 May 1977,Thick blank book and a pen,Little marble Buddha,The Little Black Boy,The Outcast,The Lake Isle of Innisfree,God's Grandeur,The Cow,Choose Something Like A Star,Little Gidding,Fear No More the Heat O' the Sun (from Cymbeline),William Blake,AE (George W Russell),William Butler Yeats,Gerard Manley Hopkins,Robert Louis Stevenson,Robert Frost,T. S. Eliot,William Shakespeare,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is creator of Mary Poppins P L Travers.
Favourite track: Fear No More The Heat O' The Sun (from Cymbeline) by William ShakespeareBook: Thick blank book and a penLuxury: Little marble Buddha
", ,f095ce11-8664-4489-a55a-8ecdb94d3031,,60ab738d-ffe9-45f6-bc08-f9ef5d4f7731,,c7379dd2-0908-4ef0-9bd5-9910b16aaaad,e99ee665-584d-4f1e-8f12-c85f35c294b8,ae90c453-e8ed-4fb7-9d27-35b81fd0fdac,a4ba11db-ae2b-4ec3-9084-2136db11acfa, ,0,"https://www.bbc.co.uk/programmes/p009mzp2
"
0,Paco Peña,Fri 16 Apr 1999,An Anthology of Poetry - 'Las Mil Mejores Poesia’ Dela Lengua Castellana - Jose Bergua,Virtual reality module,Portro de Rabia y Miel,Kyrie from Missa O Magnum Mysterium,Piano Sonata No 14 in C sharp minor Op 27 No 2 'Moonlight',A li Esta Riyendo!,Gavotte,Piano Concerto No.2 in C minor,Afonsina y el Mar,Requiem IN D Minor,Camarón de la Isla,Tomás Luis de Victoria,Ludwig van Beethoven,Victoria de los Ángeles,Johann Sebastian Bach,Sergei Rachmaninov,Mercedes Sosa,Wolfgang Amadeus Mozart,Portro de Rabia y Miel. ,None,Beethoven: Piano Sonatas. ,La Vida Breve. ,Lute Suite No. 4. ,Piano Concertos 1 & 2. ,Mujeres Argentinas. ,Karl Böhm Conducts. ,"
Sue Lawley's castaway is flamenco guitarist Paco Peña.

Show more

", ,1f25c419-4084-40bc-9bac-c39f375384c5,09170b4d-9a28-4d6a-9070-9c8c725826ec,1f9df192-a621-4f54-8850-2c5373b7eac9,6f10f924-50bd-4492-ba08-5777ffa51ca6,24f1766e-9635-4d58-a4d4-9413f9f98a4c,44b16e44-da77-4580-b851-0d765904573e,324b9329-7be6-491f-9ee1-65bfa10c7577,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p00942dc
"
0,Paco Peña,Tue 7 Mar 1978,Collected poetry - Frederico Garcia Lorca,Painting of his family by Aurelio,Fiesta Por Bulerias,Missa Solemnis - Agnus Dei,Hier Encore,"Prelude, Fugue and Allegro in E flat major, BWV 998",Violin Concerto in D major,"Waltz in C Sharp Minor, Opus 64",Killing Me Softly (With His Song),Ya Vienen Los Reyes,La Perla de Cádiz,Ludwig van Beethoven,Charles Aznavour,Sean Shibe & Johann Sebastian Bach,Johannes Brahms,Frédéric Chopin,Cleo Laine & John Williams,Choir Of Los Pedroches,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is guitarist Paco Pena.
Favourite track: Prelude, Fugue and Allegro In E Flat Major by Johann Sebastian BachBook: Collected poetry by Frederico Garcia LorcaLuxury: Painting of his family by Aurelio
", ,0d54ad04-b79d-4f71-b7c8-2ecec4ff9ddc,1f9df192-a621-4f54-8850-2c5373b7eac9,5f264b87-d5f6-487d-aa3e-ae4c5f0c6fc9,aa231e7e-3672-4600-ac19-0d936c79dc06,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,,, ,0,"https://www.bbc.co.uk/programmes/p009myz2
"
0,Paddy Ashdown MP,Fri 15 Feb 1991,The collected works - John Donne,Laptop computer,String Quintet in C major - 2nd movement,Come unto him all ye that labour (from Messiah),"Concerto in G major for two mandolins, RV 532",Birdsong on Kung Mountain,Che gelida manina (Your tiny hand is frozen) (from La Bohème Act 1),Me And Robert Foster,Sea Pictures – Sabbath Morning at Sea,Don't Let It Bother You,Franz Schubert,George Frideric Handel,Antonio Vivaldi,Art-Tune Co Hong Kong,Giacomo Puccini,The Becketts,Edward Elgar,Fats Waller,Schubert/String Quintet. ,Handel/Messiah. ,Vivaldi: Double Concertos. ,None,Puccini: La Boheme Callas. ,None,Elgar: Cello Concerto Sea Pictures. ,The Fats Waller Collection/ 20 Golden Greats. ,"
Sue Lawley's castaway is leader of the Liberal Democrats Paddy Ashdown MP.

Show more

", ,f91e3a88-24ee-4563-8963-fab73d2765ed,27870d47-bb98-42d1-bf2b-c7e972e6befc,ad79836d-9849-44df-8789-180bbc823f3c,,a693df4a-8762-4a45-b7fd-6695b558385e,ee51e600-8d77-4f39-93fb-82d181c304ee,4e60a56a-514a-4a19-a3cc-49927c96b3cb,569fc5bf-bcb6-4bc5-9a00-bd0d258e34f1, ,0,"https://www.bbc.co.uk/programmes/p0093zhp
"
0,Paddy Moloney,Fri 16 Jul 1999,The Book of Lempster (old Irish textbook currently in the Hague),Tin whistle,Full of Joy,I Dreamt I Dwelt in Marble Halls,Coast of Malabar,Puttin' on the Style,Rondeau Ecossais,Barcelona,Piano Concerto in E flat major - 3rd movement,Long Journey Home,The Chieftains,Margaret Sheridan,The Chieftains with Ry Cooder,Lonnie Donegan,Derek Bell,Freddie Mercury & Montserrat Caballé,Wolfgang Amadeus Mozart,Elvis Costello and the Chieftains,The Chieftains in China. ,Margaret Sheridan 1889-1958 Centenary. ,The Long Black Veil. ,The EP Collection. ,Derek Bell plays with himself. ,None,None,Long Journey Home. ,"
Sue Lawley's castaway is founder of the Chieftans Paddy Moloney.

Show more

", ,fce5eb9a-95a7-4a54-b9e4-fe1b036fbe57,7b6676c7-7078-4020-af31-d16b9ee274ed,,a021814d-8911-481d-903a-bbbfc6d24068,294eadc8-56a0-4a49-aa47-16786003adc9,022589ac-7177-460d-a178-9976cf70e29f,b972f589-fb0e-474e-b64a-803b0364fa75,, ,0,"https://www.bbc.co.uk/programmes/p0094236
"
0,Pam Ayres,Fri 10 Aug 2018,BOOK CHOICE,LUXURY ITEM,Only Remembered,Master of the House,The Times They Are A-Changin' ,Happy Birthday Sweet Sixteen,Independence Day,The Best,When You Were Sweet Sixteen,Vesti la Giubba,John Tams & Members of the War Horse Company Chorus,Alun Armstrong & Original 1985 London Cast,Bob Dylan,Neil Sedaka,Bruce Springsteen,Tina Turner,The Fureys & Davey Arthur & Davey Arthur,"Ruggero Leoncavallo, Luciano Pavarotti, Vienna Volksoper Orchestra & Leone Magiera",War Horse - Original music and songs from the National Theatre production. ,Master of the House. ,The Times They Are A-Changin'. ,Neil Sedaka: All Time Greatest Hits. ,The River. ,Foreign Affair. ,Festival Of Irish Folk Music Volume 2. ,The Essential Pavarotti. ,"
Pam Ayres, poet and broadcaster, is interviewed by Kirsty Young for Desert Island Discs.

Show more

", ,6cbe7611-47af-47af-a1e9-509689911ca6,39dd5a70-6e27-4859-9337-588513b735d9,72c536dc-7137-4477-a521-567eeb840fa8,577d92bd-32ac-48b6-86df-4db6b0b52fbf,70248960-cb53-4ea4-943a-edb18f7d336f,9072df14-b61e-42e2-b4f4-6bbb7fdb5586,e4e94f73-a8b1-488a-aaba-c406dced7d29,9bfbcb17-bd72-444e-be7d-0129b6389ca1, ,0,"https://www.bbc.co.uk/programmes/b0bd763r
"
0,Pam Ayres,Fri 5 Oct 1979,The Day of the Jackal - Frederick Forsyth,Large basket of sugared almonds,The Battle of New Orleans,The New St George,Non Je Ne Regrette Rien,Mountain Of The Women,A Weekend In New England,Misalliance,The Hard-Knock Life,21st Speech,Lonnie Donegan,John & Chris Leslie,Édith Piaf,The Gaels,Randy S. Edelman,Flanders and Swann,Ann-Marie Gwatkin,Fred Dagg,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is poet and broadcaster Pam Ayres.
Favourite track: The New St George by John & Chris LeslieBook: The Day of the Jackal by Frederick ForsythLuxury: Large basket of sugared almonds
", ,a021814d-8911-481d-903a-bbbfc6d24068,,4f8ef4a3-40fa-46b5-8773-97686a8424f4,0710fa5b-fc39-4d43-a156-73b1c80e1ffb,7cbdfc61-30a9-4f17-b2fc-dcae3757adba,969dc50b-baf0-4d90-911b-35a0e9f95915,,6f6aa9b4-fc39-42a8-8852-b68bd125fb2d, ,0,"https://www.bbc.co.uk/programmes/p009mx0z
"
0,Pamela Brown,Fri 13 Mar 1953,,,On Your Toes,Papaveri E Papere,Romeo & Juliet Fantasy Overture,Embraceable You,Cole Porter Fantasy,Alfred Drake & Joan Roberts - People Will Say We're In Love,Deed I Do,Prélude à l'après-midi d'un faune,Carroll Gibbons,Clelia Grisoni,Pyotr Ilyich Tchaikovsky,Judy Garland,George Melachrino and His Orchestra,Alfred Drake & Joan Roberts,Len Harone,"Claude Debussy, Philharmonia Orchestra & Pierre Boulez",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Pamela Brown.
Luxury: Encyclopaedia
", ,4e7dd2df-b290-4586-a5dc-7576885c662d,,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,b9348d59-b91b-423f-847b-8db155a0653b,c17af2a6-aa60-4b31-8b49-ada6c4fe6c70,,,be50643c-0377-4968-b48c-47e06b2e2a3b, ,0,"https://www.bbc.co.uk/programmes/p009ybwy
"
0,Pamela Frankau,Sat 29 Jan 1944,,,Sanctus,When I am laid in earth (Dido's Lament) (from Dido and Aeneas),Brandenburg Concerto No. 6 in B flat major,The Magic Flute,Piano Concerto no. 5 in E flat Op.73 (Emperor) (feat. Juanjo Mena & BBC Philharmonic),"Trio in A minor, Op.114",Symphony no.5 in E minor,"Fêtes, from Nocturnes",Giovanni Pierluigi da Palestrina,Henry Purcell,Johann Sebastian Bach,Wolfgang Amadeus Mozart,"Ashley Wass, Ludwig van Beethoven, BBC Philharmonic & Juanjo Mena",Johannes Brahms,Pyotr Ilyich Tchaikovsky,Claude Debussy,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Pamela Frankau.
", ,4daeb526-6c4c-4f77-bdf5-4a0fcb714bfe,ddea5540-2c7d-4266-8507-b367c2635d35,24f1766e-9635-4d58-a4d4-9413f9f98a4c,b972f589-fb0e-474e-b64a-803b0364fa75,06500ad2-62c0-4be0-8eb3-d1bd99768549,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,be50643c-0377-4968-b48c-47e06b2e2a3b, ,0,"https://www.bbc.co.uk/programmes/p009y082
"
