,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,R C Sherriff,Tue 23 Aug 1955,,,Prelude In A Flat,It Happened in Monterey,La Traviata Prelude to Act 1,Eton Boating Song,Goyescas,Misere (from Il trovatore),Valse Grise,Richard Wagner - Magic Fire Music (from Die Walküre),Dmitri Shostakovich,John Boles,"Philharmonia, Giuseppe Verdi & Carlo Maria Giulini",Eton College Musical Society,Enrique Granados,Giuseppe Verdi,Orchestre symphonique de Paris,Richard Wagner,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is playwright R C Sherriff.
Luxury: Scotch whisky
", ,519dd32e-8f30-4380-8826-7aa99169e1bb,bbeba23a-ad7d-49f3-b9c8-eb18a5b5f405,f1bedf1f-4445-4651-9c35-f4a3f3860a13,,e378c6b3-7d74-48b5-ab04-9aac0df7562c,f1bedf1f-4445-4651-9c35-f4a3f3860a13,86064f68-db46-404f-bf93-f2324ea1c704,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f, ,0,"https://www.bbc.co.uk/programmes/p009y9qp
"
0,R F Delderfield,Mon 3 Sep 1962,The French Revolution - Thomas Carlyle,Typewriter and paper,Missouri Waltz,Tara's Theme (from Gone With The Wind),The Student Prince,La Marseillaise,The Merry Peasant (from Album for the Young),Forty Years On,Tales from the Vienna Woods (feat. Willi Boskovsky & Johann Strauss Orchestra),Ride of the Valkyries (Die Walküre),Cyril Stapleton & His Orchestra,Sinfonia of London,Marek Weber und sein Orchester,Musique de la Garde Republicaine,Robert Schumann,Harrow School Boys,"Johann Strauss II, Johann Strauss Orchestra & Willi Boskovsky",Richard Wagner,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is playwright and novelist R F Delderfield.
Favourite track: Tales from the Vienna Woods by Johann Strauss IIBook: The French Revolution by Thomas CarlyleLuxury: Typewriter and paper
", ,ac67a9f4-000f-4a94-8ddb-bea21c81295b,4be87db4-5deb-4b06-b952-9f659711ca0b,c71f5979-d09f-4183-a1a9-58bb6e7cb703,,3cd3882c-00f8-4362-a0c2-ad89ed248533,,8255db36-4902-4cf6-8612-0f2b4288bc9a,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f, ,0,"https://www.bbc.co.uk/programmes/p009y5w8
"
0,Rabbi Hugo Gryn,Fri 17 Feb 1995,Biography of Churchill - Martin Gilbert,A parking space,"Symphony No 38 in D major, K 504, 'Prague' (3rd mvt)",Szol A Kakas Mar,Sinfonietta (5th mvt),Zog Nit Keinmol (Never Say This Is The Last Road),Shema Koleinu,Gat Kirwani,St Louis Blues,Kol Haoalm Kulo Gesher Tzar M' Od,"René Jacobs, Wolfgang Amadeus Mozart & Freiburger Barockorchester",Muzsikás,Jiří Bělohlávek & Leoš Janáček,The Polish Army's Central Artistic Ensemble,The Choir From The West London Synagogue,Ravi Shankar,Kid Oryʼs Creole Jazz Band,Israel Zohar,Mozart Symphonies 38 & 39. ,Muzikas Maramaros - The Lost Jewish Music. ,Dvorak: Legends. ,Piesni Zydowskie (Jewish Songs). ,Choral Music From The West London Synagogue. ,Portrait Of Genius. ,New Orleans Jubilee. ,Jewish Soul Music With The Clarinet Wizard. ,"
Sue Lawley's castaway is Rabbi Hugo Gryn.

Show more

", ,b972f589-fb0e-474e-b64a-803b0364fa75,7b85a62b-1d39-4580-bfcc-8668a70fcfcd,edfced8a-01bc-4c22-96b2-da58edd6b8af,,,697f8b9f-0454-40f2-bba2-58f35668cdbe,72222d63-c85a-458f-bb90-f60df5cf3af1,d9bb8075-ac65-4adc-ac86-2ac35d31dd8b, ,0,"https://www.bbc.co.uk/programmes/p0093qd5
"
0,Rabbi Lionel Blue,Fri 4 Aug 1989,The biggest value of pure maths,Toilet bag,My Yiddishe Momme,Why Has A Cow Got Four Legs?,Ich Hab Noch Eine Koffer in Berlin,Der Rosenkavalier,Up Above My Head I Hear Music In The Air,Nobody Knows You When You're Down and Out,Officium Defunctorum Requiem,Quartet for the End of Time ,Sophie Tucker,Cicely Courtneidge & Wilson Hallett,Marlene Dietrich,Richard Strauss,Sister Rosetta Tharpe & Marie Knight,Bessie Smith,Prague Madrigalists,Olivier Messiaen,None,None,None,None,None,None,None,None,"
Sue Lawley's castaway is Rabbi Lionel Blue.
Favourite track: Why Has A Cow Got Four Legs? by Cicely Courtneidge & Wilson HallettBook: The biggest value of pure mathsLuxury: Toilet bag
", ,1404fcf2-5c92-434b-8d37-7f9b0c8f986f,,191cba6a-b83f-49ca-883c-02b20c7a9dd5,4cb43d82-824e-4034-b03d-1a98f36f6e16,,ffa28768-ecda-42c6-ac49-6ce5c7d33043,,c6e5c5f4-984e-432a-87b8-b6afa288bca1, ,0,"https://www.bbc.co.uk/programmes/p009mg38
"
0,Rachael Heyhoe,Mon 28 Jul 1969,Book on desert island cookery,Ukelele,Harm's our delight (from Dido and Aeneas),Hey Jude,Nursery School,Ten Guitars,Pokarekare Ana,Love Is a Many Splendored Thing,Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),Georgy Girl,Henry Purcell,The Beatles,Joyce Grenfell,Engelbert Humperdinck,The St Joseph's Maori Girls Choir,Ray Conniff,Antonín Dvořák & BBC National Orchestra of Wales,The Seekers,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is women's cricket captain Rachael Heyhoe.
Favourite track: Nursery School by Joyce GrenfellBook: Book on desert island cookeryLuxury: Ukelele
", ,ddea5540-2c7d-4266-8507-b367c2635d35,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,3838a15d-56f2-468d-b7ee-2f68e1c41c49,62c28bc0-f696-4c50-8e54-5f8e9120bdb8,0be1a0ea-a1d4-4ab9-b36b-43cce880b49e,b84dfb67-c437-4ccc-b512-1073fd4612eb,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,2c07a0d6-b71f-4530-8059-065137ee2a10, ,0,"https://www.bbc.co.uk/programmes/p009y108
"
0,Rachel Billington,Fri 7 Jan 1983,Anna Karenina - Leo Tolstoy,Writing materials,Tantum ergo,Aria (from Zaïde),Mr. Tambourine Man,"Symphony No 3 in A minor, Op 44",Concerto for 2 Pianos in E flat major (Piano Concerto No. 10),To love both young and old (Gremin's aria) (from Eugene Onegin),Siegfried's Funeral March (from Götterdämmerung),Rosamunde,Benedictine Nuns Of St Cecilia Abbey,Wolfgang Amadeus Mozart,Bob Dylan,"Сергей Васильевич Рахманинов, L'Orchestre de la Suisse Romande & Paul Kletzki",Wolfgang Amadeus Mozart,Pyotr Ilyich Tchaikovsky,Richard Wagner,Franz Schubert,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer Rachel Billington.
Favourite track: Symphony No. 2 in E Minor by Sergei RachmaninovBook: Anna Karenina by Leo TolstoyLuxury: Writing materials
", ,,b972f589-fb0e-474e-b64a-803b0364fa75,72c536dc-7137-4477-a521-567eeb840fa8,44b16e44-da77-4580-b851-0d765904573e,b972f589-fb0e-474e-b64a-803b0364fa75,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/p009mk2y
"
0,Rachel Whiteread,Fri 3 Mar 2006,A reference book on the natural history of the island,"Ink, pen, paper and correction fluid",We Float,Light Flight,ABC,"Köln, January 24, 1975 Part I",Where the Wild Roses Grow (feat. Kylie Minogue),Ave Maria,Oliver!,Would You Lay With Me (In A Field Of Stone),PJ Harvey,Pentangle,The Jackson 5,Keith Jarrett,Nick Cave & The Bad Seeds,Charles‐François Gounod,Lionel Bart,Johnny Cash,"Stories from the City, Stories from the Sea. ",Pentangle Anthology. ,Essential Michael Jackson. ,The Köln Concert. ,Where the Wild Roses Grow. ,Voices from Heaven: Bartoli/Bocelli/Terfel/Chung. ,Oliver - 1994 London Palladium cast recording. ,American 111: Solitary Man. ,"
Sue Lawley's castaway is artist Rachel Whiteread.

Show more

", ,e795e03d-b5d5-4a5f-834d-162cfb308a2c,a4e31e59-e662-4cf4-bd4f-d7bf712bc21f,e5257dc5-1edd-4fca-b7e6-1158e00522c8,061c4920-3ea6-4835-98f6-02f3b82f5e3a,172e1f1a-504d-4488-b053-6344ba63e6d0,cd4636e1-06a3-41fc-848a-624b84bbb023,d679f260-95f6-4b4e-8ec0-e3c64065e493,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86, ,0,"https://www.bbc.co.uk/programmes/p0093vs3
"
0,Rae Jenkins,Mon 6 Sep 1965,The Way of a Trout with a Fly - G E M Skues,Fly-tying materials,Partita in E,When Evening's Twilight Falls,Morning Bird,All the Things You Are,Klänge der Heimat (Czardas) (from Die Fledermaus) ,Alborada del gracioso from Miroirs,Horn Concerto no. 2 in E flat major K.417,Dies Irae (from Requiem),Johann Sebastian Bach/Wood,Massed Choirs,Fanica Luca & Barbu Lautaru,André Kostelanetz & His Orchestra,Johann Strauss II,Imogen Cooper & Maurice Ravel,Wolfgang Amadeus Mozart,Giuseppe Verdi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is conductor Rae Jenkins.
Favourite track: All the Things You Are by André Kostelanetz OrchestraBook: The Way of a Trout with a Fly by G E M SkuesLuxury: Fly-tying materials
", ,,,,6a3702f3-a912-43bc-b621-69830287defa,8255db36-4902-4cf6-8612-0f2b4288bc9a,d94df794-1aa3-4b2c-96a7-0ea56cd71bd8,b972f589-fb0e-474e-b64a-803b0364fa75,f1bedf1f-4445-4651-9c35-f4a3f3860a13, ,0,"https://www.bbc.co.uk/programmes/p009y3xj
"
0,Raja Shehadeh,Fri 20 Jun 2014,The Arabian Nights (1001 Nights),A packet of seeds,Nehna Wl Amar Jiran,It Don't Mean a Thing (If It Ain't Got That Swing),"Scheherazade, Symphonic Suite, Op. 35","Concerto for Piano and Orchestra No. 2 in C Minor, Op. 18",Rheingold! Rheingold!,Piano Quintet No. 1 in A Major  the finale,Isoldes Liebestod,Fantasy in F minor for Piano Four Hands,Fairouz,Ella Fitzgerald with Duke Ellington & His Orchestra,"Nikolai Rimsky-Korsakov, London Symphony Orchestra & Pierre Monteux","Sergei Rachmaninov, Lang Lang, Valery Gergiev & Orchestra of the Mariinsky Theatre","Richard Wagner, Georg Solti, Oda Balsborg, Hetty Plümacher, Ira Malaniuk & Vienna Philharmonic","Antonín Dvořák, Goldner String Quartet & Piers Lane","Richard Wagner, Philharmonia Orchestra, Birgit Nilsson & Leopold Ludwig","Franz Schubert, Edward Said & Diane Walsh",Reminiscing With Fairuz. ,Duke Ellington & Friends. ,Rimsky-Korsakov Scheherazade. ,Rachmaninov Piano Concerto No. 2 Paganini Rhapsody. ,Wagner: Das Rheingold. ,Dvorak  Piano Quintets. ,"Birgit Nilsson, Opera Arias. ",Selves and Others: A Portrait of Edward Said. ,"
Kirsty Young talks to Palestinian lawyer and writer Raja Shehadeh, founder of the human rights organisation Al-Haq.

Show more

", ,,54799c0e-eb45-4eea-996d-c4d71a63c499,4cfe7051-f649-4d07-83b3-7a732abe7249,44b16e44-da77-4580-b851-0d765904573e,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,f91e3a88-24ee-4563-8963-fab73d2765ed, ,0,"https://www.bbc.co.uk/programmes/b046j44b
"
0,Ralph Fiennes,Fri 5 Nov 1999,A la Recherche du Temps Perdu - Marcel Proust,Pen and limited supplies of ink and paper,Blow the Wind Southerly,Ziggy Stardust,Requiem IN D Minor,"Piano Sonata in C minor, Op 111 (feat. Maurizio Pollini)",When My Sugar Walks Down The Street,Mir ist so wunderbar from Fidelio,Feeling Good,"St Matthew Passion – Mache dich, mein Herze, rein",[traditional] & Kathleen Ferrier,David Bowie,Wolfgang Amadeus Mozart,Ludwig van Beethoven & Maurizio Pollini,Turk Murphy's Jazz Band,Ludwig van Beethoven,Nina Simone,Johann Sebastian Bach,The World of Kathleen Ferrier. ,Ziggy Stardust. ,Mozart Requiem K626. ,Beethoven Piano Sonatas. ,Favourites. ,fidelio. ,The 60s Volume 1. ,St Matthew Passion. ,"
Sue Lawley's castaway is actor Ralph Fiennes.

Show more

", ,9be7f096-97ec-4615-8957-8d40b5dcbc41,5441c29d-3602-4898-b1a1-b77fa23b8e50,b972f589-fb0e-474e-b64a-803b0364fa75,1f9df192-a621-4f54-8850-2c5373b7eac9,ad52386e-c877-4606-82e9-6da5a5e7558a,1f9df192-a621-4f54-8850-2c5373b7eac9,2944824d-4c26-476f-a981-be849081942f,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/p00941wp
"
