,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,S P B Mais,Mon 4 Jan 1960,Original Greek works - Homer,Writing materials,Glorious Devon,On Ilkla Moor Baht 'at,Skye Boat Song,Sussex by the Sea  (March),D' Ye Ken John Peel,Sea Fever,Smoke Gets In Your Eyes,Who Would True Valour See,Harold Williams and Male Chorus,Leslie Sarony,John McHugh,HM RAF Band,Stuart Robertson,Frederick Harvey,Eartha Kitt,Sutton High School Choir,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer S P B Mais.
Book: Original Greek works by HomerLuxury: Writing materials
", ,,3809bf44-c11a-4855-9dc6-c84a8b184022,,,3b700f20-d164-49e3-915a-c728351f72e9,,02b4a39e-04c0-4eb7-a0eb-c919f3d14154,, ,0,"https://www.bbc.co.uk/programmes/p009y7gw
"
0,Sacha Distel,Fri 20 Feb 2004,The Alchemist: A Fable About Following Your Dream - Paulo Coelho,Grand piano,These Foolish Things (Remind Me Of You),La valse,Ebb Tide,When Lights Are Low,Corcovado,My Funny Valentine,Airegin,Come Rain Or Come Shine,Tony Bennett,"Maurice Ravel, Boston Symphony Orchestra & Charles Munch",Frank Sinatra,The Miles Davis Quintet,Stan Getz & João Gilberto,Sacha Distel,Wes Montgomery,Frank Sinatra,Tony Bennett - On Holiday. ,Bolero: La Valse. ,Only The Lonely. ,Cookin' with Miles Davis Quintet. ,Getz/Gilberto. ,When I Fall In Love. ,Incredible Jazz Guitar. ,The Reprise Years. ,"
Sue Lawley's castaway is singer Sacha Distel.

Show more

", ,8be0594f-8c13-46bb-ab06-f93ffba5c776,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,197450cd-0124-4164-b723-3c22dd16494d,561d854a-6a28-4aa7-8c99-323e6ce46c2a,,ed1798ac-118a-4c3e-97d3-47aa1fa0a76a,663f8232-8c46-4851-803f-a91d31593b14,197450cd-0124-4164-b723-3c22dd16494d, ,0,"https://www.bbc.co.uk/programmes/p00936vl
"
0,Sacha Distel,Mon 4 Jan 1971,English Dictionary,Guitar,Mack The Knife,Parker's Mood,La valse,Israel,Georgia On My Mind,People,To Wait For Love,Only The Lonely,Louis Armstrong,Charlie Parker,"Maurice Ravel, Boston Symphony Orchestra & Charles Munch",Miles Davis and His Orchestra,Ray Charles,Dionne Warwick,Sacha Distel,Frank Sinatra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is singer Sacha Distel.
Favourite track: Parker's Mood by Charlie ParkerBook: English DictionaryLuxury: Guitar
", ,eea8a864-fcda-4602-9569-38ab446decd6,c7356af9-9ea6-4a78-a55b-c73775716312,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,c52ff92e-b338-4815-bd63-4e9b89795e84,2ce02909-598b-44ef-a456-151ba0a3bd70,6784ee31-6d79-4a37-9e1f-01d6ef31940e,ed1798ac-118a-4c3e-97d3-47aa1fa0a76a,197450cd-0124-4164-b723-3c22dd16494d, ,0,"https://www.bbc.co.uk/programmes/p009nddx
"
0,Saeed Jaffrey,Fri 15 Aug 1997,Complete Works - Mirza Ghalib,Case of Black Label and Dom Perignon,Raga Puriya Dhamasbri,Summer Holiday,Clair de Lune,I Will Always Love You,Phir Mujhe Deeda-E-Tar Yaad Aaya,Honky Tonk Train Blues,Nikita,Hobo Blues,Ravi Shankar,Cliff Richard & The Shadows,Claude Debussy,Whitney Houston,Lata Mangeshkar,Meade Lux Lewis,Elton John,John Lee Hooker,India's Master Musician. ,Summer Holiday. ,"Debussy: Suite Bergamasque, Pour Le Pian. ",The Bodyguard - Original Soundtrack Album. ,Lata Mangeshkar Sings Ghalib. ,None,Ice On Fire. ,The Very Best Of John Lee Hooker. ,"
Sue Lawley's castaway is actor Saeed Jaffrey.

Show more

", ,697f8b9f-0454-40f2-bba2-58f35668cdbe,b5c2fdfc-d037-45b8-84f9-09ebb7ff8aa1,be50643c-0377-4968-b48c-47e06b2e2a3b,0307edfc-437c-4b48-8700-80680e66a228,aeb71bd8-447d-4415-8ea1-2b7d664f67e1,abb415f3-a991-4fa7-b47a-674ab86fe060,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,b0122194-c49a-46a1-ade7-84d1d76bd8e9, ,0,"https://www.bbc.co.uk/programmes/p00944hp
"
0,Sally Ann Howes,Tue 18 Sep 1951,,,Fantasia on Greensleeves,"Oh, What a Beautiful Mornin'",God be in my head,Jeux d'eau,"Betty Hutton, Howard Keel - There's No Business Like Show Business",Daphnis et Chloé Suite No 2 (feat. Philharmonia Orchestra & Carlo Maria Giulini),She's My Lovely,Swan Lake,"London Symphony Orchestra, Ralph Vaughan Williams & Bryden Thomson",Howard Keel,Templars Octet,Maurice Ravel,"Betty Hutton, Howard Keel","Philharmonia, Maurice Ravel & Carlo Maria Giulini",Bobby Howes,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Sally Ann Howes.
Luxury: Garlic
", ,4f3b96ed-f1f1-4a68-be73-0e0657837096,d78afc01-f918-440c-89fc-9d546a3ba4ac,,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,4929b068-3305-48e3-8667-9dde82721190,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009ycmc
"
0,Sally Wainwright,Fri 10 Oct 2014,"Female Fortune: Land, Gender and Authority - Jill Liddington",A small art shop full of goodies,Fourteen Again,The Band who Wouldn't Die,Maple Leaf Rag,"Two Rhapsodies, Op 79",Comedy Suite (Exploits for Orchestra) from 'The Belles of St Trinian's,"Sinfonia, 'Arrival of the Queen of Sheba' (Solomon)",Hark! The herald angels sing,Ballade No. 1 g-moll op 23 in G minor,Victoria Wood,Rock Follies,Katia Labèque & Marielle Labèque,Martha Argerich & Johannes Brahms,"BBC Philharmonic, Rumon Gamba & Phillip Dyson","George Frideric Handel, Richard Baker & Raphael Terroni","Felix Mendelssohn, The Bach Choir, Royal Philharmonic Orchestra & John Rutter",Frédéric Chopin & Krystian Zimerman,Lucky Bag. ,Rock Follies of 77. ,Gladrags. ,Liszt: Sonate H-Moll in B minor. ,"The Film Music of Sir Malcolm Arnold, Volume 2. ",An Entertainment. ,The Colours of Christmas. ,Frederic Chopin Krystian Zimerman Andante . ,"
Kirsty Young talks to Sally Wainwright, screenwriter of Happy Valley and Last Tango in Halifax.

Show more

", ,d488fc33-69ac-40ed-a442-605740006d6c,632eba1c-7eab-4cb0-b198-628a7d21e208,3484fb2e-723e-4e12-97a6-6be69aa7bd7d,3bb8b89e-5700-4d7a-aa0b-d48f8706831d,92fc1517-7e49-44a0-9ca2-644e35b424c5,27870d47-bb98-42d1-bf2b-c7e972e6befc,0e85eb79-1c05-44ba-827c-7b259a3d941a,09ff1fe8-d61c-4b98-bb82-18487c74d7b7, ,0,"https://www.bbc.co.uk/programmes/b04k7b73
"
0,Salman Rushdie,Fri 23 Sep 1988,The Arabian Nights (1001 Nights),Unlisted radio telephone,Mera Joota Hai Japani,Heartbreak Hotel,I Feel Like I'm Fixing To Die Rag,Improvisation On The Theme Music From Patherpanchi,L'amour est un oiseau rebelle (Habanera)(from Carmen),Sympathy For The Devil,Tum Aaye Ho Na,Call Of The Valley,Mukesh,Elvis Presley,Country Joe and the Fish,Ravi Shankar,Georges Bizet,The Rolling Stones,Noor Jehan,Shivkumar Sharma,None,None,I Feel Like I'M Fixing To Die. ,Improvisations & Theme From Pather Panchali. ,None,None,Faiz. ,Shivkumar Sharma. ,"
Sue Lawley's castaway is writer Salman Rushdie.

Show more

", ,,01809552-4f87-45b0-afff-2c6f0730a3be,5c57506f-9967-4503-9dc0-0b9254b6697b,697f8b9f-0454-40f2-bba2-58f35668cdbe,9bd20e6a-b41d-4983-a5b6-c0ff849fa235,b071f9fa-14b0-4217-8e97-eb41da73f598,d423ecdc-242d-4fbb-aa04-eb69337e75e7,5d5b9113-9eff-41ac-abef-44966e1217b8, ,0,"https://www.bbc.co.uk/programmes/p009mfqc
"
0,Salvatore Accardo,Fri 2 May 1980,The Odyssey - Homer,Violin and strings,Dies Irae (from Requiem),Violin Concerto in D major,String Quartet in D minor - 'Death and the Maiden' (D810) ,Liebesleid (Old Viennese Dances),Variations on a Theme by Paganini,Zigeunerweisen,"String Quintet in C major, D 956 (feat. Takács Quartet)",Che farò senza Euridice (What is Life?) (from Orpheus and Euridice),Giuseppe Verdi,Johannes Brahms,Franz Schubert,Fritz Kreisler,Johannes Brahms,Pablo de Sarasate,Franz Schubert & Takács Quartet,Christoph Willibald Gluck,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is violinist Salvatore Accardo.
Favourite track: Che Faro Senza Euridice by Christoph Willibald Ritter von GluckBook: The Odyssey by HomerLuxury: Violin and strings
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,f91e3a88-24ee-4563-8963-fab73d2765ed,590fcad4-2ba4-43bc-a22f-a4bb9b496fe8,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,05f12d97-ecae-4fd6-bb03-53a4bd1322a8,f91e3a88-24ee-4563-8963-fab73d2765ed,22790383-30ea-4dcc-a8d6-882fb1eb4669, ,0,"https://www.bbc.co.uk/programmes/p009mw9k
"
0,Sam Costa,Mon 16 Jan 1956,,,Johann Strauss II - Brüderlein und Schwesterlein (from Die Fledermaus),Zapateado,Beat Out Dat Rhythm On A Drum,Johann Strauss II - Treasure Walts from 'The Gypsy Baron',Mel Tormé's California Suite,Aragón,Bess you is my woman now (Porgy and Bess),Violin Concerto No. 1 in E flat major/D major,Johann Strauss II,Ruggiero Ricci & Louis Persinger,Pearl Bailey,Johann Strauss II,Mel Tormé,Isaac Albéniz,George Gershwin,Nicolò Paganini,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is broadcaster Sam Costa.
Luxury: Painting, selected from The National Gallery
", ,8255db36-4902-4cf6-8612-0f2b4288bc9a,,312f7705-d15e-478d-aa13-0a5c05113c31,8255db36-4902-4cf6-8612-0f2b4288bc9a,4439c2fd-a754-4f6a-b3a6-791b47726156,0a46cf2a-61bd-447d-b8fd-a2b32eb20282,65744963-191a-44ef-a3c7-b693a808a158,d581b2f2-f945-4566-a249-2d0171466993, ,0,"https://www.bbc.co.uk/programmes/p009y9k7
"
0,Sam Taylor-Wood,Fri 21 Jan 2005,Birthday Letters - Ted Hughes,Karaoke machine,Tiny Dancer,Wild Is The Wind,Sympathy For The Devil,"Ah, se intorno a quest'urna funesta (from Orpheus and Euridice)",Tonada de Luna Llena,Black Hair,One,Vibrate,Elton John,Nina Simone,The Rolling Stones,Christoph Willibald Gluck,Simón Díaz,Nick Cave & The Bad Seeds,Johnny Cash,Rufus Wainwright,Madman Across the Water. ,Gold. ,Sympathy for the Devil. ,Orfeo and Euridice. ,Fina Estampa. ,The Boatman's Call. ,American. Vol 3: Solitary Man. ,Want One. ,"
Sue Lawley's castaway is artist Sam Taylor-Wood.

Show more

", ,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,2944824d-4c26-476f-a981-be849081942f,b071f9fa-14b0-4217-8e97-eb41da73f598,22790383-30ea-4dcc-a8d6-882fb1eb4669,36be047b-c4f2-443f-90b8-0453d6eaa339,172e1f1a-504d-4488-b053-6344ba63e6d0,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,78e46ae5-9bfd-433b-be3f-19e993d67ecc, ,0,"https://www.bbc.co.uk/programmes/p009363r
"
