,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,T E B Clarke,Fri 15 Oct 1954,,,The Trolley Song,Do Not Forsake Me Oh My Darling,Smoke Gets In Your Eyes,"The Derby, 17 June 1944",Memphis Blues,"String Quartet No. 15 in A minor, Op. 132",Eton Boating Song,Symphony No. 7 (Sinfonia Antartica),Judy Garland,Tex Ritter,Larry Adler,Raymond Glendenning,Ted Lewis and His Band,Ludwig van Beethoven,Eton College Musical Society,Ralph Vaughan Williams,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is screenwriter T E B Clarke.
Book: Ruff's Guide to the Turf
", ,b9348d59-b91b-423f-847b-8db155a0653b,f7c029f2-c082-4aaf-bfd2-d75e762b78a9,7cca660c-b6b4-410b-a988-afdca3ec87b2,,c7b74bb3-bf6a-4c32-ba45-784955749113,1f9df192-a621-4f54-8850-2c5373b7eac9,,4f3b96ed-f1f1-4a68-be73-0e0657837096, ,0,"https://www.bbc.co.uk/programmes/p009yb6l
"
0,T R Robinson,Mon 2 Dec 1963,Volume of illustrations of the English countryside,Marine chronometer,Ancient Airs and Dances Suite No. 1 - 2nd movement,Trumpet Concerto in E flat Major  (TM),Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),"Ave Maria (Ellens Gesang III, D839)",The Gods Go a-Begging - Hornpipe,Jack's Maggot,The Infant King,The Old Clockmaker,Ottorino Respighi,Joseph Haydn,Antonín Dvořák & BBC National Orchestra of Wales,Franz Schubert,George Frideric Handel/Beecham,Country Dance Players,King's College Chapel Choir,Queen’s Hall Light Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is clock expert T R Robinson.
Favourite track: Trumpet Concerto in E Flat by Franz Joseph HaydnBook: Volume of illustrations of the English countrysideLuxury: Marine chronometer
", ,788c380d-247b-42f0-b7a9-64881e1f0fd9,c130b0fb-5dce-449d-9f40-1437f889f7fe,819eaeb2-8dd8-48a5-ad07-0bcd137985ef,f91e3a88-24ee-4563-8963-fab73d2765ed,,,,c5aea269-c101-44c1-b8c5-8e7ef597b640, ,0,"https://www.bbc.co.uk/programmes/p009y52y
"
0,Taki,Fri 3 Dec 1993,Essential Hemingway - Ernest Hemingway,Boxing punchbag,Easy Come Easy Go,Lilli Marlene,"Madamina, il catalogo e questo', from Don Giovanni",Begin The Beguine,You're the Top,Radetsky March,West End Blues,"Voi, che sapete from The Marriage of Figaro (feat. Nikolaus Harnoncourt)",Al Bowlly,German Soldiers,Wolfgang Amadeus Mozart,Artie Shaw,Ethel Merman,"Johann Strauss, Berlin Philharmonic Orchestra & Herbert von Karajan",Louis Armstrong and His Hot Five,Wolfgang Amadeus Mozart & Nikolaus Harnoncourt,Pennies From Heaven. ,None,Don Giovanni. ,Cole Porter Original Casts Centenary Tribute. ,Cole Porter Original Casts Centenary Tribute. ,Radetzky March. ,Louis Armstrong Great Original Performances 1923. ,Le Nozze De Figaro. ,"
Sue Lawley's castaway is the journalist Taki.

Show more

", ,f747a4ff-d54f-41b1-be56-97abcf1eb688,,b972f589-fb0e-474e-b64a-803b0364fa75,85545102-7c29-4707-aea2-30ff55018df9,a17eed36-fd8f-4d71-898b-2da805ac7492,725fb443-0a26-42f8-b4b7-5257b3a61eb5,eea8a864-fcda-4602-9569-38ab446decd6,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p0093wmk
"
0,Talbot Duckmanton,Mon 3 Oct 1966,Diary - Samuel Pepys,Soap,String Quartet No. 2 in D major,Der Nussbaum [Myrthen],Twilight Time,"Jesu, Joy of Mans Desiring from Cantata BWV 147","Symphony No 8 in B minor, 'Unfinished' (2nd mvt) (feat. Carlos Kleiber)",If Ever I Would Leave You,Mimi,Camelot,Alexander Borodin,Robert Schumann,Bert Kaempfert & His Orchestra,Johann Sebastian Bach,"Wiener Philharmoniker, Franz Schubert & Carlos Kleiber",Robert Goulet,Maurice Chevalier,Richard Burton,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is broadcaster Talbot Duckmanton.
Favourite track: Symphony No 8 by Franz SchubertBook: Diary by Samuel PepysLuxury: Soap
", ,560b5e65-8d53-41b4-9913-83368f4721a0,3cd3882c-00f8-4362-a0c2-ad89ed248533,642e61c8-878c-4a7c-84e2-2a8a384a8f8e,24f1766e-9635-4d58-a4d4-9413f9f98a4c,d770374d-05e9-4ed3-a068-3fbd4e6e4dd6,6a365948-c640-4edf-ba9a-0bdf2c8f17ee,e0371cd0-a5f8-420e-be17-bd980adc7393,1684adc5-882b-42f2-bd26-bd33cefe0640, ,0,"https://www.bbc.co.uk/programmes/p009y37l
"
0,Tallulah Bankhead,Mon 14 Dec 1964,The Human Situation - MacNeill Dixon,Her portrait by Augustus John,On the Sunny Side of the Street,"""Vesti la giubba"" from ""Pagliacci""",My Funny Valentine,September Song (Knickerbocker Holiday),Strange Fruit,Love for Sale,Liebestod (from Tristan and Isolde),The Lord's Prayer,Louis Armstrong & His All-Stars,"Jonas Kaufmann, Ruggero Leoncavallo, Orchestra dell'Accademia Nazionale di Santa Cecilia & Antonio Pappano",Frank Sinatra,Walter Huston,Billie Holiday,Ella Fitzgerald,Richard Wagner,Perry Como,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Tallulah Bankhead.
Book: The Human Situation by MacNeill DixonLuxury: Her portrait by Augustus John
", ,f617ed55-7691-41cc-9671-c04a29641125,9bfbcb17-bd72-444e-be7d-0129b6389ca1,197450cd-0124-4164-b723-3c22dd16494d,4ee8c019-7952-427d-af09-378df44c9302,d59c4cda-11d9-48db-8bfe-b557ee602aed,54799c0e-eb45-4eea-996d-c4d71a63c499,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,0182474b-8a1d-46d0-9d0f-e6df353335ea, ,0,"https://www.bbc.co.uk/programmes/p009y4kk
"
0,Tamara Karsavina,Mon 8 Jul 1957,,,"Serenade (K.525) in G major, 'Eine Kleine Nachtmusik'","La spectre de la rose, from Les nuits d'ete","Piano Quintet in A major, D667 'Trout'",I Got Plenty Of Nuttin',The Shrovetide Fair (Petrushka),Che farò senza Euridice (What is Life?) (from Orpheus and Euridice),"Jupiter, Bringer of Jollity (The Planets, Op 32)",Along the St Petersburg Road,"Wolfgang Amadeus Mozart, BBC National Orchestra of Wales & Grant Llewellyn",Hector Berlioz,Vienna Piano Trio & Franz Schubert,Lawrence Winters,Igor Stravinsky,Christoph Willibald Gluck,Gustav Holst,Don Kosaken Chor,None,None,None,Porgy & Bess. ,None,None,None,None,"
Roy Plomley's castaway is prima ballerina Tamara Karsavina.
Luxury: Wooden statue of St Florian
", ,b972f589-fb0e-474e-b64a-803b0364fa75,274774a7-1cde-486a-bc3d-375ec54d552d,f1b5bad1-582c-4808-811c-603f7bfb5e3d,ac4bfb3e-acfd-4060-b637-1a5ff6b44961,c278de2c-9696-4fdf-a919-0781cd945e2c,22790383-30ea-4dcc-a8d6-882fb1eb4669,3ba68671-e3b5-4263-81dc-76b16b29bbc6,036c4748-8011-47f1-a84b-fe31a5f9f579, ,0,"https://www.bbc.co.uk/programmes/p009y8tk
"
0,Tamara Rojo,Fri 13 Jun 2014,Love in the time of Cholera - Gabriel Garcia Marquez,bed,Love Me Or Leave Me,Passacaglia and Fugue in C minor,Take This Waltz,The Crypt Scene  -  Epilogue,Como el Agua,Harmonies poetigues et religieuses,Back To Black,"Piano Concerto No 21 in C major, K 467 (2nd mvt)",Nina Simone,"Johann Sebastian Bach, The Neon Philharmonic Orchestra & Leopold Stokowski",Leonard Cohen,"Sergei Prokofiev, London Symphony Orchestra & André Previn",Paco de Lucía,Franz Liszt & Alfred Brendel,Amy Winehouse,"Wolfgang Amadeus Mozart, Alfred Brendel, Academy of St Martin in the Fields & Neville Marriner",The Best Of Nina Simone: My Baby Just Cares For Me. ,Toccato and Fugue . ,The Essential Leonard Cohen. ,Romeo and Juliet. ,Camaron de La Isla. ,Liszt: Piano Music. ,Back to Black. ,Alfred Brendel Collection Vol 5. ,"
Kirsty Young talks to Tamara Rojo, principal ballerina and artistic director of English National Ballet.

Show more

", ,2944824d-4c26-476f-a981-be849081942f,24f1766e-9635-4d58-a4d4-9413f9f98a4c,65314b12-0e08-43fa-ba33-baaa7b874c15,0e43fe9d-c472-4b62-be9e-55f971a023e1,7bc8dd01-35ea-4b18-a64d-3a364dc76a52,2cd475bb-1abd-40c4-9904-6d4b691c752c,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/b045xz2k
"
0,Tanni Grey Thompson,Fri 13 Apr 2001,A guide to edible foods on a desert island,Five juggling balls,Guide Me O Thou Great Jehovah - Bread of Heaven,Tainted Love,Waterloo,Theme from MASH - Suicide is Painless,No Rain,"Knowing Me, Knowing You",Personal Jesus,Waterloo Stuck in the Middle with You,Dunvant Male Choir with Band of Welsh Guards,Soft Cell,ABBA,Mash Company,Blind Melon,Steve Coogan,Depeche Mode,Stealers Wheel,A Welsh Celebration for Band & Choir. ,Non Stop Erotic Cabaret. ,Abba Gold: Greatest Hits. ,25 Years of Rock 'n Roll. ,No Rain. ,"Knowing Me, Knowing You with Alan Partridge. ","Indie Top 20, Vol 8. ",Resevoir Dogs Soundtrack. ,"
Sue Lawley's castaway is paralympian Tanni Grey Thompson.

Show more

", ,,7fb50287-029d-47cc-825a-235ca28024b2,d87e52c5-bb8d-4da8-b941-9f4928627dc8,,38c5cdab-5d6d-43d1-85b0-dac41bde186e,445b5fbd-4453-413a-9946-943f09a9555f,8538e728-ca0b-4321-b7e5-cff6565dd4c0,63200203-e2c6-4081-8e0d-00c9732c6b6f, ,0,"https://www.bbc.co.uk/programmes/p00948z1
"
0,Tariq Ali,Fri 21 Mar 2008,The collected works - Marcel Proust,A mini DVD player,Introitus (from Requiem),String Quartet No. 7 in F sharp minor - 3rd movement,"Prometheus, D 674 (feat. Florian Boesch & Malcolm Martineau)",Blues for Alice,"Si, pel ciel (Oath duet) (from Otello)",The Croppy Boy,Meda Ishq Vi Toon,Send the Marines,Gabriel Fauré,Dmitri Shostakovich,"Franz Schubert, Florian Boesch & Malcolm Martineau",Charlie Parker,Giuseppe Verdi,Cornelius Cardew,Pathane Khan,Tom Lehrer,Faure & Durufle: Requiems. ,"Shostakovich: String Quartets 3, 7 & 8. ",Dietrich Fischer-Dieskau/Gerald Moore. ,The original recordings of Charlie Parker. ,Don Carlos. ,Piano Music. ,The Flower of Rohi. ,Remains of Tom Lehrer. ,"
Kirsty Young's castaway is writer Tariq Ali.

Show more

", ,fa19a8b6-e7f4-40d4-af15-7a7c41ac7d8f,519dd32e-8f30-4380-8826-7aa99169e1bb,f91e3a88-24ee-4563-8963-fab73d2765ed,c7356af9-9ea6-4a78-a55b-c73775716312,f1bedf1f-4445-4651-9c35-f4a3f3860a13,33abf67b-debc-403e-a4d7-a2fbad9b201a,aebd271d-51dc-41af-b4ec-dbf9c246c18f,359363a8-1dc7-40c9-9337-f5aa507000b6, ,0,"https://www.bbc.co.uk/programmes/b0094zpg
"
0,Tasmin Little,Fri 4 May 2001,"Harry Potter - J K Rowling, Little Dorrit - Charles Dickens",Endless supply of coffee,St Matthew Passion 'Erbarme Dich',Money,Daphnis and Chloe,"String Quintet in C major, D 956 (feat. Takács Quartet)",Quando me'n vo' soletta (from La Bohème),Violin Concerto in D minor Op. 47,Ein Heldenleben - finale,Prelude & Fugue No. 3 in C major,Johann Sebastian Bach,Pink Floyd,Maurice Ravel,Franz Schubert & Takács Quartet,Giacomo Puccini,BBC Symphony Orchestra & Jean Sibelius,Richard Strauss,Marcel Dupré,Story of Great Music - The Baroque Era. ,Dark Side of the Moon. ,Daphnis and Chloe. ,String Quartet in C Major. ,La Boheme. ,Brahms/Sibelius: Violin Concertos. ,Ein Heldenleben/Don Juan. ,None,"
Sue Lawley's castaway is violinist Tasmin Little.
Favourite track: Daphnis & Chloe by Maurice RavelBook: Harry Potter book by J K Rowling or Little Dorrit by Charles DickensLuxury: Endless supply of coffee
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,83d91898-7763-47d7-b03b-b92132375c47,6fdd3b3e-1ea6-4da9-8d6f-8f8de01c133a,f91e3a88-24ee-4563-8963-fab73d2765ed,a693df4a-8762-4a45-b7fd-6695b558385e,691b0e9d-9e57-41cf-932d-a3d21b068e75,4cb43d82-824e-4034-b03d-1a98f36f6e16,e7f566af-3a66-48e3-9825-07e72812e475, ,0,"https://www.bbc.co.uk/programmes/p00948wn
"
