,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,V S Naipaul,Fri 11 Jul 1980,Teach yourself mathematics,The Enlightened Buddha,Poorbi-Dhun,Serenade for Strings in C major,Smoke Gets In Your Eyes,Lili Marlene,"Brandenburg Concerto No 5 in D major, BWV 1050",Symphony no. 1 in D major,"Piano Sonata in C minor, Op 111 (feat. Maurizio Pollini)",Des Malhar,Bismillah Khan,Pyotr Ilyich Tchaikovsky,Dinah Shore,Lale Andersen,"Johann Sebastian Bach, Lars Ulrik Mortensen & Ensemble 415",Gustav Mahler,Ludwig van Beethoven & Maurizio Pollini,Ustad Ali Akbar Khan & Shankar Gohosh,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is writer V S Naipaul.
Favourite track: Piano Sonata No. 32 in C Minor by Ludwig van BeethovenBook: Teach yourself mathematicsLuxury: The Enlightened Buddha
", ,5ef6fb81-7e5c-43df-86bb-822775300532,9ddd7abc-9e1b-471d-8031-583bc6bc8be9,1a329949-6586-47d2-994a-cd64e13cab68,60a7c3c2-aaea-40eb-a317-cb60635555a6,24f1766e-9635-4d58-a4d4-9413f9f98a4c,8d610e51-64b4-4654-b8df-064b0fb7a9d9,1f9df192-a621-4f54-8850-2c5373b7eac9,, ,0,"https://www.bbc.co.uk/programmes/p009mw36
"
0,Val Doonican,Mon 19 Jan 1970,A Big Anthology,Guitar,Bourrée Ii,Fantasia on a theme by Thomas Tallis,Four-O-Thirty-Three,"Concerto No 1 in D, Opus 99",People Will Say We're In Love,Symphony No. 8 in G major (feat. Andris Nelsons),Scarborough Fair/Canticle,As Praias Desertas,Johann Sebastian Bach,"Britten Sinfonia, Ralph Vaughan Williams & Nicholas Cleobury",George Jones,Mario Castelnuovo-Tedesco,Erroll Garner,"City of Birmingham Symphony Orchestra, Andris Nelsons & Antonín Dvořák",Simon & Garfunkel,Charlie Byrd With Strings,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is singer Val Doonican.
Favourite track: Scarborough Fair by Simon & GarfunkelBook: A Big AnthologyLuxury: Guitar
", ,24f1766e-9635-4d58-a4d4-9413f9f98a4c,4f3b96ed-f1f1-4a68-be73-0e0657837096,f2903be0-79a7-4334-8cc5-e45309482a97,2085b44c-f939-41cc-8745-9f7d63868118,75bd5186-9d89-4da9-95de-fce055c28895,ed526a9c-f88d-4e52-9518-6a5ce9a46e61,5d02f264-e225-41ff-83f7-d9b1f0b1874a,, ,0,"https://www.bbc.co.uk/programmes/p009nfxt
"
0,Val Gielgud,Sat 10 Nov 1962,The Corn King and the Spring Queen - Naomi Mitchison,Cigars,Le Beau Danube (Ballet),"Serenade for Strings in E minor, Op 20","Piano Concerto in A minor, Op 54 (feat. Philharmonia Orchestra & Kurt Sanderling)",Serenade (from Hassan),"Ballade No. 3 In A Flat Major, Op. 47",Violin Sonata in A Major,Our revels now are ended (from The Tempest),Symphony no. 6 in B minor Op.74 (Pathetique),Strauss/Desormiere,"Sir Edward Elgar, Sir Andrew Davis & BBC Symphony Orchestra","Alfred Brendel, Robert Schumann, Philharmonia Orchestra & Kurt Sanderling",Frederick Delius,Frédéric Chopin,César Franck,William Shakespeare,Pyotr Ilyich Tchaikovsky,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is head of BBC radio drama Val Gielgud.
Favourite track: Ballade No 3 in A Flat Major (Opus 47) by Frédéric ChopinBook: The Corn King and the Spring Queen by Naomi MitchisonLuxury: Cigars
", ,,4e60a56a-514a-4a19-a3cc-49927c96b3cb,4a37c64f-4151-4c4b-ab69-a58450f9967e,2a006dfe-a7af-46d1-b38f-8c1d90dd230d,09ff1fe8-d61c-4b98-bb82-18487c74d7b7,69802473-e361-4e15-bbd8-53fe83cd1587,a4ba11db-ae2b-4ec3-9084-2136db11acfa,9ddd7abc-9e1b-471d-8031-583bc6bc8be9, ,0,"https://www.bbc.co.uk/programmes/p009y5sf
"
0,Val McDermid,Fri 19 Jul 2013,Complete Works - Robert Louis Stevenson,Solar-powered laptop used solely for playing games,Dancing In The Dark,The Road and The Miles To Dundee,Shipbuilding,Brandenburg No 6 - Allegro,Free Man In Paris,"Hey, That's No Way To Say Goodbye",I Say A Little Prayer,The Downtown Lights,Bruce Springsteen,Kenneth McKellar,Elvis Costello & The Attractions,Johann Sebastian Bach,Joni Mitchell,Leonard Cohen,Aretha Franklin,Rab Noakes,Bruce Springsteen - Greatest Hits. ,The Romantic Scotland of Kenneth McKellar. ,The Man. ,Bach Brandenburg concertos. ,Dreamland. ,The Essential Leonard Cohen. ,The Ultimate Soul Collection. ,Rab Noakes: Standing Up. ,"
Crime writer Val McDermid is interviewed by Kirsty Young.

Show more

", ,70248960-cb53-4ea4-943a-edb18f7d336f,d66a99f5-8dd0-4c25-a141-8850b13cc50a,8a338e06-d182-46f2-bd16-30a09bc840ba,24f1766e-9635-4d58-a4d4-9413f9f98a4c,a6de8ef9-b1a1-4756-97aa-481bbb8a4069,65314b12-0e08-43fa-ba33-baaa7b874c15,2f9ecbed-27be-40e6-abca-6de49d50299e,f856a51d-5161-48d3-9e34-a75648ed532b, ,0,"https://www.bbc.co.uk/programmes/b036tqpl
"
0,Valentine Britten,Mon 17 Sep 1956,,,"Symphony No 8 in B minor, 'Unfinished' (2nd mvt) (feat. Carlos Kleiber)",The Snare,Stop and Shop At The Co-Op Shop,Symphony No. 2 in E Flat Major (BBC Proms 2014),O Vox Omnes,The Green Autumn Stubble,Salve Regina,Non so più cosa son (from The Marriage of Figaro),"Wiener Philharmoniker, Franz Schubert & Carlos Kleiber",James Stephens,Gracie Fields,"Edward Elgar (BBC Singers, Royal Liverpool Philharmonic Orchestra conducted by Vasily Petrenko)",Schola Cantorum De La Universidad Pontificia De Comillas,Kitty Gallagher,Monks of the Abbey of St Pierre de Solesmes,Wolfgang Amadeus Mozart,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is BBC gramophone librarian Valentine Britten.
Luxury: Photograph of Battersea Power Station
", ,d770374d-05e9-4ed3-a068-3fbd4e6e4dd6,99ec4195-6e95-4f07-aa90-dfe09f8b6082,e4a0e9ed-a318-4396-9f23-1d68ec924241,4e60a56a-514a-4a19-a3cc-49927c96b3cb,,c0e4b959-7444-404d-a2bc-b80605260e44,,b972f589-fb0e-474e-b64a-803b0364fa75, ,0,"https://www.bbc.co.uk/programmes/p009y96x
"
0,Valentine Dyall,Mon 7 Nov 1955,,,Che gelida manina (Your tiny hand is frozen) (from La Bohème Act 1),"Invitation to the Dance, Op. 65 (feat. Juanjo Mena)",Granada Arabe,Death of Boris (from Boris Godunov),La Derniere Bergere,Running Ragged,Sevillanas,Concerto for Trumpet and Orchestra in E Flat,Giacomo Puccini,"BBC Philharmonic, Carl Maria von Weber, Juanjo Mena & Hector Berlioz",Vicente Gómez,Modest Mussorgsky,Django Reinhardt & Alex Siniavine,Joe Venuti's Blue Four,Niño Ricardo,Georges Eskdale,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Valentine Dyall.
Luxury: Trumpet
", ,a693df4a-8762-4a45-b7fd-6695b558385e,92fc1517-7e49-44a0-9ca2-644e35b424c5,cb58bf04-e3e1-4ce0-962f-9ffd9f72971c,c1380b12-3909-47d8-a5fd-d20e76123310,,620b9844-666d-4c88-a0f3-14add78a2e63,dbc4006c-1732-48aa-b04a-84e0c64499fd,, ,0,"https://www.bbc.co.uk/programmes/p009y9p5
"
0,Valerie Hobson,Sat 3 Nov 1945,,,Rhapsody (A Shropshire Lad) (feat. Mark Elder),The Way You Look Tonight,Holiday for Strings,Phil The Fluter's Ball,Rhapsody on a theme of Paganini,I'll Follow My Secret Heart,Clair de Lune,Symphony no. 9 in E minor Op.95 (From the New World) (feat. BBC National Orchestra of Wales),"Hallé Orchestra, George Butterworth & Sir Mark Elder","Jerome Kern, Dorothy Fields & Fred Astaire",André Kostelanetz & His Orchestra,Brian Lawrence,Sergei Rachmaninov,Yvonne Printemps,Claude Debussy,Antonín Dvořák & BBC National Orchestra of Wales,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Valerie Hobson.
", ,e2e9da6e-de76-4a92-a9c7-347158d885df,3ae3fa20-d295-467c-b59f-969376a28470,6a3702f3-a912-43bc-b621-69830287defa,9c6e4b7e-4a66-4d7a-9a0c-df82c8a49b5c,44b16e44-da77-4580-b851-0d765904573e,39ae962a-8747-4b0a-8a63-719dfd1b188c,be50643c-0377-4968-b48c-47e06b2e2a3b,819eaeb2-8dd8-48a5-ad07-0bcd137985ef, ,0,"https://www.bbc.co.uk/programmes/p009y02h
"
0,Valerie Hobson,Fri 22 Oct 1954,,,A Shropshire Lad,Time On My Hands,Rhapsody on a theme of Paganini,Melanie's Aria,David Rose & His Orchestra - Holiday For Strings,Symphony no. 4 in E minor Op.98 (feat. BBC Symphony Orchestra),Que reste-t-il do nos amours? What remains of our love,Jerusalem,George Butterworth,Denny Dennis,Sergei Rachmaninov,Yvonne Printemps,David Rose & His Orchestra,Johannes Brahms & BBC Symphony Orchestra,Charles Trenet,Arnold Grier,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actress Valerie Hobson.
Luxury: The Albert Memorial
", ,8ee9f735-180f-42f6-aa59-97fd8d068020,afa4bd31-cf6b-438f-8c97-17684dfbf837,44b16e44-da77-4580-b851-0d765904573e,39ae962a-8747-4b0a-8a63-719dfd1b188c,8ee718ad-70a8-49f3-903f-057a6c0b649d,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,cf97f8c4-f287-4c0c-a07e-6ca2fdd8e8c2,, ,0,"https://www.bbc.co.uk/programmes/p009yb5y
"
0,Valerie Masterson,Mon 24 Feb 1975,Survival manual,Beauty products,Symphony in D minor M.48,Bridge Over Troubled Water,The Mikado Act 1,I'm A Little Teapot,Depuis Le Jour,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),No.11 La danse de Puck - from Preludes Book One,Sempre libera (La Traviata),César Franck,Simon & Garfunkel,Gilbert & Sullivan,"Children's Choir ""Pueri Cantores"", Merano",Ninon Vallin,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,Claude Debussy,Giuseppe Verdi,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is soprano Valerie Masterson.
Favourite track: Symphony in D Minor by César FranckBook: Survival manualLuxury: Beauty products
", ,69802473-e361-4e15-bbd8-53fe83cd1587,5d02f264-e225-41ff-83f7-d9b1f0b1874a,,0170de8f-9563-46e9-8e67-d71cadff2d6a,26de5706-5504-49f9-a5bc-4e1da78b813c,1f9df192-a621-4f54-8850-2c5373b7eac9,be50643c-0377-4968-b48c-47e06b2e2a3b,f1bedf1f-4445-4651-9c35-f4a3f3860a13, ,0,"https://www.bbc.co.uk/programmes/p009n6wy
"
0,Valerie Singleton,Mon 29 Jul 1974,The Outline of History - H G Wells,Small photographic darkroom,What's Going On,"Cello Concerto in E minor, Op 85 (feat. BBC Scottish Symphony Orchestra)",Symphony no. 4 in E minor Op.98 (feat. BBC Symphony Orchestra),Sergeant Stamoulis,Concerto for Oboe and violin – 2nd mvt,The Blue Danube,There Is Nothin' Like A Dame,Violin Concerto in D major Op.61 (feat. BBC Scottish Symphony Orchestra),Marvin Gaye,Sir Edward Elgar & BBC Scottish Symphony Orchestra,Johannes Brahms & BBC Symphony Orchestra,John Kalatzis,Johann Sebastian Bach,Johann Strauss II,Ray Walston,Ludwig van Beethoven & BBC Scottish Symphony Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is interviewer and reporter Valerie Singleton.
Favourite track: Violin Concerto in D by Ludwig van BeethovenBook: The Outline of History by H G WellsLuxury: Small photographic darkroom
", ,afdb7919-059d-43c1-b668-ba1d265e7e42,4e60a56a-514a-4a19-a3cc-49927c96b3cb,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,,24f1766e-9635-4d58-a4d4-9413f9f98a4c,8255db36-4902-4cf6-8612-0f2b4288bc9a,76803518-2cb2-4e54-a456-43e438608e9e,1f9df192-a621-4f54-8850-2c5373b7eac9, ,0,"https://www.bbc.co.uk/programmes/p009n7m2
"
