,Castaway,Date,Book,Luxury,Song1,Song2,Song3,Song4,Song5,Song6,Song7,Song8,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6,Artist7,Artist8,Album1,Album2,Album3,Album4,Album5,Album6,Album7,Album8,Short desc,Bio,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,Favourite,Error,Url
0,W MacQueen-Pope,Fri 31 Oct 1952,,,The Dancing Years,You Are My Hearts Delight,Dawn Chorus,If You Were the Only Girl in the World,A Midsummer Nights Dream (Overture),God Rest Ye Merry Gentlemen,Monckton Melodies,In the Shadows,Drury Lane Theatre Orchestra,Richard Tauber,Ludwig Koch,Violet Loraine & George Robey,Felix Mendelssohn,St Brandon's CDS Choir Bristol,BBC Theatre Orchestra,Tom Jones and his Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is theatre historian W MacQueen-Pope.
Luxury: Lucky charm
", ,f4750c11-b3ed-4bff-98c4-0b6ce47494c1,a52c2c88-0c51-46d5-b40d-76c8cd769a0c,,,0e85eb79-1c05-44ba-827c-7b259a3d941a,,,, ,0,"https://www.bbc.co.uk/programmes/p009yc2g
"
0,Wally Herbert,Mon 7 Dec 1970,,,Spring (ballet) (from I Vespri siciliani),Brownskin Sugarplum,"Piano Concerto No. 20 in D minor, K.466",Concerto for Oboe and violin – 2nd mvt,Besame mucho,Bourrée Ii,Symphony no. 4 in E minor Op.98 (feat. BBC Symphony Orchestra),Orchestral Suite No. 3 in D major - 2nd movement  (Air on a G string),Giuseppe Verdi,Blind Boy Fuller,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Los Paraguayos,Johann Sebastian Bach,Johannes Brahms & BBC Symphony Orchestra,Johann Sebastian Bach,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is polar explorer Wally Herbert.
Favourite track: Spring by Giuseppe VerdiBook: Anthology of World Poetry
", ,f1bedf1f-4445-4651-9c35-f4a3f3860a13,d9109c45-ddf6-4481-89ee-d6bee8306db3,b972f589-fb0e-474e-b64a-803b0364fa75,24f1766e-9635-4d58-a4d4-9413f9f98a4c,328e6421-233d-48c9-bc22-b9507c288fdd,24f1766e-9635-4d58-a4d4-9413f9f98a4c,c70d12a2-24fe-4f83-a6e6-57d84f8efb51,24f1766e-9635-4d58-a4d4-9413f9f98a4c, ,0,"https://www.bbc.co.uk/programmes/p009ndhh
"
0,Wangari Maathai,Sun 1 Jul 2007,The Koran,A huge basket of fruit,Ritwa Riaku,Day-O (The Banana Boat Song),Malaika,I Can't Complain,We Shall Overcome,Eyes on Tomorrow,Moon River,Ave Maria,Eric Wainaima,Harry Belafonte,Adam Salim & Angélique Kidjo,Patti LaBelle,Joan Baez,Miriam Makeba,Frank Sinatra,All Angels,Sawa Sawa. ,All Time Greatest Hits Vol 1. ,Angelique Kidjo: Logozo. ,Be Yourself. ,Joan Baez: In Concert Part 2. ,Miriam Makeba: Eyes on Tomorrow. ,My Way. ,All Angels. ,"
Kirsty Young's castaway is campaigner Wangari Maathai.

Show more

", ,,49c48b7f-1ff1-4f02-a1aa-ca1254b46ef2,,f319ec6a-9290-449b-baef-4244809c487a,92d37892-6186-4459-9cc1-f0dde57652d0,bc5c2918-4aba-4ef6-a245-100563a4487f,197450cd-0124-4164-b723-3c22dd16494d,aa2a86c4-e60e-4056-a7cc-419f1e297d14, ,0,"https://www.bbc.co.uk/programmes/b007rd3j
"
0,Warren Mitchell,Fri 3 Dec 1999,Master and Commander - Patrick O'Brian,Organ (from the Royal Albert Hall),Fugue For Tin Horns (from Guys and Dolls),Fantasia on a theme by Thomas Tallis,Four Quartets - ARCHIVE,The Song is Ended,Youth and Age on Beaulieu River - Hants,Cakewalking Babies from Home,Romanina Rhapsody,Marie Theres'! Hab' mir's gelobt (Act 3 Trio) (from Der Rosenkavalier),Frank Loesser,"Britten Sinfonia, Ralph Vaughan Williams & Nicholas Cleobury",Paul Scofield,Eddie Condon,Sir John Betjeman,Judith Durham,George Enescu,Richard Strauss,Guy and Dolls. ,Vaughan Williams. ,None,Dixieland Jam. ,Betjeman’s Banana Blush. ,Judith Durham and the Hottest Band in Town. ,Bartok/Weiner/Enescu. ,Strauss: Der Rosenkavalier (the knight of the rose). ,"
Sue Lawley's castaway is actor Warren Mitchell.

Show more

", ,0a0688ca-72c2-46d6-a3b9-b297e7dad6dc,4f3b96ed-f1f1-4a68-be73-0e0657837096,,2382bcb9-0f05-492e-b10c-2d6067a1955c,344cd91a-3714-49de-8e2d-e282a008a839,51a46524-73ea-4c90-9c04-64db667df5c8,30f53666-aa3b-44c1-80c1-4d09929e28e8,4cb43d82-824e-4034-b03d-1a98f36f6e16, ,0,"https://www.bbc.co.uk/programmes/p00941sh
"
0,Warren Mitchell,Mon 13 Nov 1967,Anthology of verse,Tenor saxophone,Clarinet Quintet in A major,Yesterdays,Kontra-Punkte,Runnin' Wild,"Toccata and Fugue in D minor, BWV 565",Liebestod (from Tristan and Isolde),Mack The Knife,Symphony no. 2 in D major Op. 43,Wolfgang Amadeus Mozart,Stan Getz,"Karlheinz Stockhausen, Recherche Ensemble & Rupert Huber",The Benny Goodman Quartet,"Johann Sebastian Bach, The Philadelphia Orchestra & Leopold Stokowski",Richard Wagner,Louis Armstrong,"BBC Scottish Symphony Orchestra, Jean Sibelius & Ilan Volkov",None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is actor Warren Mitchell.
Favourite track: Symphony No 2 in D Major (Opus 43) by Jean SibeliusBook: Anthology of verseLuxury: Tenor saxophone
", ,b972f589-fb0e-474e-b64a-803b0364fa75,8f2422ab-0ec6-4c92-80c4-afe9622fab32,fd09d776-ddfd-4558-afe7-814420d704ed,584a391e-d19a-4da8-8890-bc19f6824956,24f1766e-9635-4d58-a4d4-9413f9f98a4c,eefd7c1e-abcf-4ccc-ba60-0fd435c9061f,eea8a864-fcda-4602-9569-38ab446decd6,691b0e9d-9e57-41cf-932d-a3d21b068e75, ,0,"https://www.bbc.co.uk/programmes/p009y2ff
"
0,Warwick Davis,Fri 17 Jun 2016,BOOK CHOICE,LUXURY ITEM,Main Title (The Story Continues),When You Are A King,Oxygène Part IV,Lean On Me,A Groovy Kind Of Love,Everytime You Go Away,Monsters Theme,Always Look On The Bright Side Of Life,"John Williams, London Symphony Orchestra & John Williams",White Plains,Jean-Michel Jarre,Club Nouveau,Phil Collins,Paul Young,Jon Hopkins,Monty Python,Return of the Jedi: Original Motion Picture Soundtrack. ,My Baby Loves Lovin. ,The Essential Jean-Michel Jarre. ,"Life, Love & Pain. ",Buster  The Original Motion Picture Soundtrack. ,The Essential Paul Young. ,Monsters (Original Motion Picture Soundtrack). ,Monty Python Sings. ,"
Kirsty Young's castaway is the actor Warwick Davis, who chooses the eight records he would take with him to a desert island.

Show more

", ,53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,01304cd6-9a14-4943-9c93-d384c1d2eceb,86e2e2ad-6d1b-44fd-9463-b6683718a1cc,2146b803-52f4-4fc4-941a-528b9096dc77,401c3991-b76b-499d-8082-9f2df958ef78,967002b0-58ef-4b22-a58c-fbc631ff695c,0b0c25f4-f31c-46a5-a4fb-ccbf53d663bd,4a5c8526-f8ec-43f1-97af-49722ad88394, ,0,"https://www.bbc.co.uk/programmes/b07ff0hj
"
0,Wayne Marshall,Fri 26 Apr 2002,Grove's Dictionary of Music and Musicians,"A Steinway model D piano, specially conditioned to deal with all weathers",Piano Concerto in F major,Organ Symphony No. 2 in E Minor,I Wish,Symphonie Concertante,Mars (from The Planets),September,Turangalîla Symphony - 6th movement,The Lonely Goatherd,George Gershwin,Louis Vierne,Stevie Wonder,Joseph Jongen,Gustav Holst,"Earth, Wind & Fire",Olivier Messiaen,"Harry Connick, Jr.",Previn Plays Gershwin. ,Organ Music from France. ,Songs in the Key of Life. ,"Jongen, Symphonie Concertante. ","Holst, The Planet Suite. ",None,Turangalil Symphony. ,Songs I Heard. ,"
Sue Lawley's castaway is organist Wayne Marshall.

Show more

", ,65744963-191a-44ef-a3c7-b693a808a158,5e9177ed-7d3b-4344-b29f-ee4f63775ad1,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,65b2377a-59b7-4c39-8a92-926201985392,3ba68671-e3b5-4263-81dc-76b16b29bbc6,535afeda-2538-435d-9dd1-5e10be586774,c6e5c5f4-984e-432a-87b8-b6afa288bca1,fd23e684-270f-4507-9cb0-a0e0d7854d16, ,0,"https://www.bbc.co.uk/programmes/p00947v0
"
0,Wayne McGregor,Fri 20 Jan 2017,BOOK CHOICE,LUXURY ITEM,LA Variations (excerpt),"We Played Some Open Chords and Rejoiced, For the Earth Had Circled the Sun Yet Another Year",Have I Told You Lately That I Love You?,Impromptu in G Flat Major,Electric Counterpoint - III. Fast,Unknown Tongues,The First Time Ever I Saw Your Face,Send In The Clowns,"Esa‐Pekka Salonen, Los Angeles Philharmonic & Esa‐Pekka Salonen",A Winged Victory for the Sullen,Jim Reeves,Franz Schubert & Jenő Jandó,Steve Reich & Jonny Greenwood,Jlin,George Michael,Judi Dench,LA Variations. ,A Winged Victory for the Sullen. ,Memories Are Made of This. ,Impromptus (Complete). ,Radio Rewrite. ,Dark Energy. ,Songs From the Last Century. ,A Little Night Music. ,"
Kirsty Young talks to another castaway, choreographer Wayne McGregor.

Show more

", ,66b01c9c-3344-46b1-b5fe-cab3c2834e32,67c179d3-f358-43bf-8ecc-d9c560878b65,2c05faf7-5cc8-4476-9daa-d177ad75cd34,f91e3a88-24ee-4563-8963-fab73d2765ed,a3031680-c359-458f-a641-70ccbaec6a74,b6cfaa6e-71cf-4431-81e6-515a4b23a425,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,a69f5a73-e016-4069-989d-8c093ec63ec5, ,0,"https://www.bbc.co.uk/programmes/b088jj5y
"
0,Wayne Sleep,Tue 1 Nov 1977,Atlas of the stars,Poppy seeds,Choral Fantasy Op 80,All You Need Is Love,"Oh Thou that tellest good tidings to Zion (Messiah) (feat. Kathleen Ferrier, Adrian Boult & London Philharmonic Orchestra)",The Firebird (feat. Detroit Symphony Orchestra & Antal Doráti),As time goes by (feat. Gordon Jenkins & His Orchestra),Dies Irae (from Requiem),La Belle Histoire D'Amour,By the Sleepy Lagoon,Ludwig van Beethoven,The Beatles,"George Frideric Handel, London Philharmonic Orchestra, Sir Adrian Boult & Kathleen Ferrier","Игорь Фёдорович Стравинский, Detroit Symphony Orchestra & Antal Doráti",Harry Nilsson,Giuseppe Verdi,Édith Piaf,Glenn Miller Orchestra,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is dancer Wayne Sleep.
Favourite track: La Belle Histoire D'Amour by Edith PiafBook: Atlas of the starsLuxury: Poppy seeds
", ,1f9df192-a621-4f54-8850-2c5373b7eac9,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,27870d47-bb98-42d1-bf2b-c7e972e6befc,c278de2c-9696-4fdf-a919-0781cd945e2c,e5963d26-01fa-40f5-b200-e0127f410a45,f1bedf1f-4445-4651-9c35-f4a3f3860a13,4f8ef4a3-40fa-46b5-8773-97686a8424f4,ce8cacb6-c917-41f5-b403-8fb601c89e70, ,0,"https://www.bbc.co.uk/programmes/p009mz77
"
0,Webster Booth,Fri 3 Apr 1953,,,"Finlandia, Op 26",You Can't Get a Man With a Gun,Liebestraum No.3 in A flat,Chloe,The Lute Player,Gilbert & Sullivan - The Yeomen of the Guard: Overture,Ombra mai fu (Largo) (from Xerxes),Comfort ye my people (from Messiah),"Jean Sibelius, Oslo-Filharmonien & Mariss Jansons",Ethel Merman,Franz Liszt,Spike Jones and His City Slickers,Harold Williams,Gilbert & Sullivan,George Frideric Handel,George Frideric Handel,None,None,None,None,None,None,None,None,"
Roy Plomley's castaway is tenor Webster Booth.
Luxury: Ivory pig
", ,691b0e9d-9e57-41cf-932d-a3d21b068e75,a17eed36-fd8f-4d71-898b-2da805ac7492,2cd475bb-1abd-40c4-9904-6d4b691c752c,99e5bcc2-1792-472b-880e-7fd415700c35,fc88bac6-6859-4346-85ef-5bc29d2dbd18,,27870d47-bb98-42d1-bf2b-c7e972e6befc,27870d47-bb98-42d1-bf2b-c7e972e6befc, ,0,"https://www.bbc.co.uk/programmes/p009ybwl
"
